DIA,FECHA,HORA,NO_STA,ESTACION,VIAJES_TOTAL
MARTES   ,2019/01/01,04,12,Alameda,1
MARTES   ,2019/01/01,05,10,Ciencias de La Salud,3
MARTES   ,2019/01/01,05,11,Juan Alvarez,5
MARTES   ,2019/01/01,05,12,Alameda,5
MARTES   ,2019/01/01,05,13,San Juan de Dios,20
MARTES   ,2019/01/01,05,14,Bicentenario,16
MARTES   ,2019/01/01,05,16,Ninos Heroes,10
MARTES   ,2019/01/01,05,24,Clemente Orozco,2
MARTES   ,2019/01/01,05,25,Artes Plasticas,6
MARTES   ,2019/01/01,05,26,Escultura,3
MARTES   ,2019/01/01,05,27,Fray  Angelico,31
MARTES   ,2019/01/01,06,10,Ciencias de La Salud,8
MARTES   ,2019/01/01,06,11,Juan Alvarez,11
MARTES   ,2019/01/01,06,12,Alameda,7
MARTES   ,2019/01/01,06,13,San Juan de Dios,42
MARTES   ,2019/01/01,06,14,Bicentenario,11
MARTES   ,2019/01/01,06,16,Ninos Heroes,14
MARTES   ,2019/01/01,06,23,Lopez de Legazpi,4
MARTES   ,2019/01/01,06,24,Clemente Orozco,19
MARTES   ,2019/01/01,06,25,Artes Plasticas,9
MARTES   ,2019/01/01,06,26,Escultura,23
MARTES   ,2019/01/01,06,27,Fray  Angelico,86
MARTES   ,2019/01/01,07,10,Ciencias de La Salud,9
MARTES   ,2019/01/01,07,11,Juan Alvarez,36
MARTES   ,2019/01/01,07,12,Alameda,23
MARTES   ,2019/01/01,07,13,San Juan de Dios,58
MARTES   ,2019/01/01,07,14,Bicentenario,35
MARTES   ,2019/01/01,07,16,Ninos Heroes,50
MARTES   ,2019/01/01,07,23,Lopez de Legazpi,10
MARTES   ,2019/01/01,07,24,Clemente Orozco,19
MARTES   ,2019/01/01,07,25,Artes Plasticas,6
MARTES   ,2019/01/01,07,26,Escultura,36
MARTES   ,2019/01/01,07,27,Fray  Angelico,116
MARTES   ,2019/01/01,08,10,Ciencias de La Salud,17
MARTES   ,2019/01/01,08,11,Juan Alvarez,56
MARTES   ,2019/01/01,08,12,Alameda,18
MARTES   ,2019/01/01,08,13,San Juan de Dios,94
MARTES   ,2019/01/01,08,14,Bicentenario,33
MARTES   ,2019/01/01,08,16,Ninos Heroes,64
MARTES   ,2019/01/01,08,23,Lopez de Legazpi,12
MARTES   ,2019/01/01,08,24,Clemente Orozco,33
MARTES   ,2019/01/01,08,25,Artes Plasticas,18
MARTES   ,2019/01/01,08,26,Escultura,38
MARTES   ,2019/01/01,08,27,Fray  Angelico,175
MARTES   ,2019/01/01,09,10,Ciencias de La Salud,28
