FECHA,HORA,PARAM,ATM,OBL,LPIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-01,00:00,WD,270.3,306.9,177.7,204.0,133.5,251.9,291.1,206.0,239.4,
2016-01-01,01:00,WD,219.5,305.1,196.7,210.0,74.4,237.3,162.0,204.7,136.7,
2016-01-01,02:00,WD,215.5,195.0,219.3,168.7,218.4,191.9,53.7,175.7,191.8,
2016-01-01,03:00,WD,250.9,98.1,85.0,207.3,302.2,191.1,144.1,212.9,139.2,
2016-01-01,04:00,WD,180.6,93.9,106.1,252.5,143.3,184.4,160.4,178.0,188.1,
2016-01-01,05:00,WD,177.1,87.3,236.8,128.5,230.0,165.3,96.1,198.0,172.3,
2016-01-01,06:00,WD,256.7,93.6,121.9,212.9,199.2,200.3,115.8,185.8,175.7,
2016-01-01,07:00,WD,244.3,133.8,64.9,228.4,215.9,182.5,94.9,226.8,147.5,
2016-01-01,08:00,WD,161.5,94.9,92.2,247.0,171.9,196.1,92.7,243.3,67.1,
2016-01-01,09:00,WD,84.5,108.5,207.7,111.5,232.0,78.4,88.1,192.8,66.3,
2016-01-01,10:00,WD,91.7,107.4,102.3,92.9,241.7,63.5,73.4,119.0,92.8,
2016-01-01,11:00,WD,90.2,104.2,101.0,92.6,235.6,93.1,104.4,134.2,98.5,
2016-01-01,12:00,WD,140.8,167.0,279.8,152.1,192.6,136.9,110.4,183.4,136.9,
2016-01-01,13:00,WD,149.7,180.5,193.2,128.3,137.4,126.2,152.6,143.9,192.7,
2016-01-01,14:00,WD,208.3,200.5,183.1,209.9,134.4,164.2,184.9,177.5,179.8,
2016-01-01,15:00,WD,216.0,191.5,196.9,265.7,128.2,196.3,219.5,136.4,223.7,
2016-01-01,16:00,WD,232.4,236.9,200.6,252.0,165.1,261.5,238.3,215.9,264.3,
2016-01-01,17:00,WD,294.8,286.8,279.8,298.3,99.5,276.1,288.5,246.6,265.7,
2016-01-01,18:00,WD,306.0,316.1,314.4,295.7,111.6,264.2,296.6,243.1,295.7,
