FECHA,HORA,PARAM,ATM,OBL,LPIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2017-01-01,00:00,HR,60.4,72.0,61.7,,58.4,67.1,64.8,67.0,60.6,60.5
2017-01-01,01:00,HR,69.3,79.4,68.7,,63.4,72.6,70.5,70.8,66.2,68.2
2017-01-01,02:00,HR,75.8,86.4,73.4,,67.1,76.5,77.6,70.3,73.7,72.3
2017-01-01,03:00,HR,78.1,88.7,76.6,,71.1,76.8,80.8,69.9,81.4,73.6
2017-01-01,04:00,HR,78.8,85.1,80.7,,74.0,77.9,81.4,75.7,78.8,75.1
2017-01-01,05:00,HR,79.5,84.7,83.2,,74.8,78.5,79.9,77.8,79.4,75.6
2017-01-01,06:00,HR,80.4,83.8,85.0,,75.9,78.2,81.3,76.3,79.8,77.1
2017-01-01,07:00,HR,80.3,84.0,84.9,,76.9,76.6,80.5,77.6,80.8,78.8
2017-01-01,08:00,HR,76.9,83.4,81.7,,77.2,74.5,78.1,76.5,78.0,78.1
2017-01-01,09:00,HR,66.8,78.7,69.1,,73.4,70.0,72.4,69.8,72.0,70.4
2017-01-01,10:00,HR,53.8,70.3,60.8,,56.2,58.3,62.0,61.4,62.4,64.7
2017-01-01,11:00,HR,41.7,56.8,46.5,,40.0,48.6,48.3,49.6,48.9,50.8
2017-01-01,12:00,HR,35.7,46.4,37.0,,32.6,40.2,42.0,38.2,39.6,38.9
2017-01-01,13:00,HR,32.1,42.6,28.6,,26.3,34.0,36.9,33.6,34.6,32.0
2017-01-01,14:00,HR,25.6,38.1,25.4,,24.7,29.7,32.2,31.4,30.9,30.7
2017-01-01,15:00,HR,24.8,35.6,24.8,,25.3,30.2,31.5,32.8,30.0,30.2
2017-01-01,16:00,HR,28.3,38.4,28.2,,27.9,32.3,33.5,34.3,31.1,32.2
2017-01-01,17:00,HR,30.7,40.7,30.2,,29.6,34.1,35.4,35.1,33.6,34.1
2017-01-01,18:00,HR,35.8,46.5,34.0,,33.6,40.4,41.3,37.7,36.1,36.0
2017-01-01,19:00,HR,39.2,49.7,37.8,,38.4,43.2,43.8,43.5,40.7,40.8
2017-01-01,20:00,HR,46.2,57.3,43.8,,43.3,49.6,49.9,49.0,46.0,46.6
2017-01-01,21:00,HR,53.5,63.8,48.5,,48.8,54.8,55.4,53.4,51.4,51.1
2017-01-01,22:00,HR,60.8,68.9,56.9,,53.2,57.1,60.8,54.5,55.4,54.4
2017-01-01,23:00,HR,66.9,76.3,59.4,,58.9,62.2,67.4,58.1,61.9,58.8
2017-01-02,00:00,HR,68.9,76.9,64.7,,64.0,67.1,71.6,59.5,68.1,62.4
2017-01-02,01:00,HR,71.3,78.8,70.5,,67.0,64.9,73.1,64.1,68.8,64.4
2017-01-02,02:00,HR,73.2,79.4,72.3,,68.9,64.0,70.3,67.4,69.0,66.6
2017-01-02,03:00,HR,74.2,79.3,77.9,,70.9,68.7,70.8,69.8,70.9,70.7
2017-01-02,04:00,HR,76.3,79.3,79.7,,72.5,73.7,76.1,71.8,76.8,72.5
2017-01-02,05:00,HR,77.0,79.3,82.0,,73.3,77.0,77.8,73.5,77.6,74.7
2017-01-02,06:00,HR,78.1,79.5,83.0,,72.9,79.0,75.4,74.6,77.1,76.8
2017-01-02,07:00,HR,79.3,82.5,84.3,,74.2,78.2,76.1,76.1,76.5,77.6
2017-01-02,08:00,HR,75.9,78.9,82.4,,76.8,73.9,74.5,73.5,73.5,74.8
2017-01-02,09:00,HR,60.5,71.9,68.7,,68.0,68.3,68.4,66.8,68.5,67.9
2017-01-02,10:00,HR,50.2,65.1,58.2,,51.3,58.5,59.7,57.7,61.9,60.8
2017-01-02,11:00,HR,43.7,56.6,47.4,,39.4,49.9,48.6,49.8,51.3,51.5
2017-01-02,12:00,HR,36.6,49.0,36.7,,32.8,45.1,42.5,44.7,42.2,43.0
2017-01-02,13:00,HR,32.7,44.2,30.2,,29.1,39.3,40.3,36.3,36.3,34.0
2017-01-02,14:00,HR,27.6,42.5,26.0,,26.8,33.7,37.4,34.1,35.2,30.8
2017-01-02,15:00,HR,23.5,39.1,23.5,,25.7,27.1,33.4,31.3,33.8,30.7
2017-01-02,16:00,HR,20.4,33.7,21.9,,23.0,23.8,28.9,26.4,33.3,29.1
2017-01-02,17:00,HR,21.4,33.5,24.0,,21.2,24.6,27.7,23.6,30.3,25.0
2017-01-02,18:00,HR,30.3,36.7,24.1,,25.1,33.5,32.8,30.6,29.9,27.7
2017-01-02,19:00,HR,36.1,41.4,31.5,,33.6,39.5,40.1,38.4,31.8,36.4
2017-01-02,20:00,HR,43.4,44.8,39.3,,38.7,40.6,43.5,41.8,36.5,41.9
2017-01-02,21:00,HR,48.0,51.1,41.4,,42.8,43.2,46.0,44.3,42.1,44.5
2017-01-02,22:00,HR,51.2,55.7,47.0,,46.0,46.0,48.1,47.7,47.1,46.8
2017-01-02,23:00,HR,52.8,59.2,51.0,,48.6,51.5,52.4,50.8,51.3,51.1
2017-01-03,00:00,HR,56.1,64.6,58.8,,52.9,54.1,57.5,53.0,53.5,56.2
2017-01-03,01:00,HR,58.9,67.5,64.8,,57.4,56.0,61.5,55.0,57.9,59.1
2017-01-03,02:00,HR,62.2,69.9,71.0,,59.7,58.0,64.0,56.7,60.6,62.5
2017-01-03,03:00,HR,64.6,67.0,75.3,,63.0,60.5,66.7,62.3,63.7,66.7
