FECHA,HORA,PARAM,ATM,OBL,LPIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2018-01-01,00:00,WS,3.4,0.73,0.86,0.4,0.18,2.8,2.19,3.51,193.3,0.87
2018-01-01,01:00,WS,0.6,0.16,0.67,0.4,0.01,1.7,1.38,2.28,184.8,0.46
2018-01-01,02:00,WS,2.2,0.12,0.42,0.1,0.02,0.3,1.44,0.98,195.0,0.01
2018-01-01,03:00,WS,1.3,0.06,0.78,0.3,0.01,0.6,0.9,1.61,224.6,0.32
2018-01-01,04:00,WS,0.3,0.15,0.62,0.0,0.0,0.2,0.85,1.17,134.2,0.88
2018-01-01,05:00,WS,0.9,0.73,1.97,0.7,0.09,0.6,2.58,2.66,121.9,1.09
2018-01-01,06:00,WS,1.4,0.37,1.23,0.1,0.02,0.7,2.06,2.19,183.1,1.08
2018-01-01,07:00,WS,0.3,0.36,0.52,0.0,0.02,0.3,1.39,2.12,141.7,1.8
2018-01-01,08:00,WS,0.6,0.8,0.71,0.1,0.03,0.6,1.73,1.84,129.3,0.32
2018-01-01,09:00,WS,0.7,2.08,0.73,0.9,0.36,1.1,3.43,2.29,70.9,0.88
2018-01-01,10:00,WS,2.1,2.84,1.45,1.0,0.6,2.5,3.51,2.39,76.6,1.84
2018-01-01,11:00,WS,4.6,1.75,1.43,1.2,1.6,3.6,4.58,4.24,101.7,3.03
2018-01-01,12:00,WS,4.8,2.12,1.57,1.3,1.83,3.4,3.75,4.51,133.1,2.88
2018-01-01,13:00,WS,3.5,1.33,1.16,1.2,1.2,2.5,4.11,3.62,126.5,3.03
2018-01-01,14:00,WS,3.6,1.81,1.45,0.6,0.91,2.7,3.47,3.52,149.0,2.84
2018-01-01,15:00,WS,3.1,2.17,1.69,0.6,1.26,3.0,3.41,3.27,169.0,2.19
2018-01-01,16:00,WS,2.7,1.56,1.28,0.6,1.47,2.3,3.79,3.07,164.2,1.98
2018-01-01,17:00,WS,3.0,0.88,1.53,0.4,0.71,1.9,3.36,0.99,196.7,1.02
2018-01-01,18:00,WS,1.4,0.65,1.39,0.9,0.45,0.6,1.72,2.47,188.7,1.33
2018-01-01,19:00,WS,1.9,0.55,1.09,1.0,0.24,0.8,2.0,2.0,167.1,1.84
