FECHA,HORA,PARAM,ATM,OBL,LPIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2019-01-01,00:00,CO,3.2239999999999998,,6.641,,,1.9680000000000002,,,3.8280000000000003,
2019-01-01,01:00,CO,3.84,,7.06,,,2.009,,,3.7880000000000003,
2019-01-01,02:00,CO,4.086,,6.224,,,1.777,,,4.125,
2019-01-01,03:00,CO,4.581,,6.724,,,1.473,,,4.118,
2019-01-01,04:00,CO,2.7760000000000002,,6.98,,,1.19,,,3.997,
2019-01-01,05:00,CO,3.154,,7.205,,,1.002,,,1.661,
2019-01-01,06:00,CO,3.637,,5.75,,,0.884,,,1.621,
2019-01-01,07:00,CO,3.525,,6.211,,,0.778,,,2.532,
2019-01-01,08:00,CO,3.3089999999999997,,5.982,,,0.698,,,1.338,
2019-01-01,09:00,CO,2.6060000000000003,,5.015,,,1.814,,,0.282,
2019-01-01,10:00,CO,1.535,,3.8789999999999996,,,1.9909999999999999,,,0.287,
2019-01-01,11:00,CO,1.012,,1.7890000000000001,,,1.159,,,0.392,
2019-01-01,12:00,CO,0.674,,0.604,,,0.937,,,0.35100000000000003,
2019-01-01,13:00,CO,0.512,,0.305,,,0.335,,,0.35600000000000004,
2019-01-01,14:00,CO,0.40700000000000003,,0.059000000000000004,,,0.222,,,0.434,
2019-01-01,15:00,CO,0.485,,0.207,,,0.153,,,0.521,
2019-01-01,16:00,CO,0.41200000000000003,,0.051,,,0.086,,,0.512,
2019-01-01,17:00,CO,0.56,,0.052000000000000005,,,0.129,,,0.516,
2019-01-01,18:00,CO,0.6659999999999999,,0.325,,,0.251,,,1.24,
2019-01-01,19:00,CO,1.588,,0.937,,,0.36,,,1.963,
2019-01-01,20:00,CO,1.851,,2.068,,,0.486,,,2.845,
2019-01-01,21:00,CO,1.393,,2.108,,,0.33899999999999997,,,3.38,
2019-01-01,22:00,CO,2.126,,2.635,,,0.431,,,2.531,
2019-01-01,23:00,CO,1.901,,2.565,,,0.519,,,2.1390000000000002,
2019-01-02,00:00,CO,1.6440000000000001,,2.4090000000000003,,,0.846,,,2.3480000000000003,
2019-01-02,01:00,CO,1.188,,2.676,,,0.774,,,1.7990000000000002,
2019-01-02,02:00,CO,0.867,,2.9730000000000003,,,0.7290000000000001,,,1.169,
2019-01-02,03:00,CO,0.8079999999999999,,2.283,,,0.474,,,1.014,
2019-01-02,04:00,CO,0.8440000000000001,,2.204,,,1.058,,,1.111,
2019-01-02,05:00,CO,1.216,,2.286,,,1.383,,,0.993,
2019-01-02,06:00,CO,1.5230000000000001,,2.988,,,1.0590000000000002,,,1.6059999999999999,
2019-01-02,07:00,CO,2.228,,3.636,,,1.338,,,2.207,
2019-01-02,08:00,CO,2.3080000000000003,,3.312,,,1.714,,,3.083,
2019-01-02,09:00,CO,2.6919999999999997,,2.786,,,2.119,,,1.47,
2019-01-02,10:00,CO,1.7109999999999999,,2.2840000000000003,,,1.801,,,1.171,
2019-01-02,11:00,CO,1.855,,1.534,,,1.626,,,0.943,
2019-01-02,12:00,CO,0.9079999999999999,,0.39799999999999996,,,0.74,,,0.792,
2019-01-02,13:00,CO,0.9640000000000001,,0.278,,,0.205,,,0.545,
2019-01-02,14:00,CO,0.501,,0.26,,,0.05,,,0.39,
2019-01-02,15:00,CO,0.41100000000000003,,0.171,,,0.019,,,0.35100000000000003,
2019-01-02,16:00,CO,0.355,,0.165,,,0.013000000000000001,,,0.36200000000000004,
2019-01-02,17:00,CO,0.392,,0.231,,,0.05,,,0.603,
