FECHA,HORA,PARAM,ATM,OBL,LPIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2019-01-01,00:00,PM10,173.6,171.0,343.7,,260.52,78.4,,,258.2,
2019-01-01,01:00,PM10,122.1,194.0,490.2,,306.19,92.8,,,246.9,
2019-01-01,02:00,PM10,128.3,137.3,443.0,,387.25,89.9,,,205.6,
2019-01-01,03:00,PM10,151.1,54.3,486.1,,517.59,83.0,,,221.4,
2019-01-01,04:00,PM10,121.7,86.2,540.0,,492.49,88.1,,,314.3,
2019-01-01,05:00,PM10,111.5,95.8,463.3,,371.74,67.7,,,222.3,
2019-01-01,06:00,PM10,121.6,63.7,465.4,,335.02,60.3,,,95.1,
2019-01-01,07:00,PM10,151.4,115.1,449.0,,334.27,52.4,,,133.2,
2019-01-01,08:00,PM10,126.4,54.1,453.0,,246.48,33.8,,,139.6,
2019-01-01,09:00,PM10,86.4,22.1,441.7,,66.52,38.9,,,48.4,
2019-01-01,10:00,PM10,65.2,19.5,398.5,,73.67,103.7,,,25.3,
2019-01-01,11:00,PM10,29.2,21.5,287.1,,171.99,71.2,,,23.5,
2019-01-01,12:00,PM10,5.3,14.1,164.2,,139.21,59.3,,,35.0,
2019-01-01,13:00,PM10,4.2,8.6,81.1,,72.54,49.7,,,35.3,
2019-01-01,14:00,PM10,14.9,15.1,29.6,,32.02,28.7,,,48.1,
2019-01-01,15:00,PM10,31.5,14.9,42.0,,30.93,24.2,,,50.5,
2019-01-01,16:00,PM10,42.7,14.1,30.0,,36.24,16.1,,,49.1,
2019-01-01,17:00,PM10,41.8,7.4,33.0,,25.57,4.8,,,45.3,
2019-01-01,18:00,PM10,41.7,13.9,36.1,,38.12,13.2,,,55.5,
2019-01-01,19:00,PM10,51.5,20.0,62.7,,67.8,19.7,,,76.7,
2019-01-01,20:00,PM10,55.8,28.6,83.3,,77.81,17.9,,,94.5,
2019-01-01,21:00,PM10,47.0,26.0,142.8,,73.63,7.4,,,101.8,
2019-01-01,22:00,PM10,35.7,24.1,144.4,,62.76,12.8,,,84.3,
2019-01-01,23:00,PM10,32.4,18.4,143.4,,68.47,24.6,,,51.1,
2019-01-02,00:00,PM10,22.9,27.0,151.4,,78.89,31.4,,,54.3,
2019-01-02,01:00,PM10,24.7,35.2,161.7,,77.34,30.2,,,67.4,
2019-01-02,02:00,PM10,15.3,30.3,159.0,,80.97,25.7,,,45.6,
2019-01-02,03:00,PM10,14.7,36.9,127.0,,98.33,14.1,,,44.0,
2019-01-02,04:00,PM10,9.4,32.0,111.1,,87.04,20.8,,,47.9,
2019-01-02,05:00,PM10,5.5,29.1,107.5,,62.33,30.5,,,58.3,
2019-01-02,06:00,PM10,11.2,24.8,120.5,,69.01,30.8,,,52.0,
2019-01-02,07:00,PM10,32.9,19.6,140.7,,88.23,34.5,,,75.6,
2019-01-02,08:00,PM10,38.0,27.9,137.5,,58.86,39.3,,,87.1,
2019-01-02,09:00,PM10,39.6,44.5,155.7,,53.48,61.3,,,74.7,
2019-01-02,10:00,PM10,40.2,38.0,172.2,,31.24,61.1,,,58.5,
2019-01-02,11:00,PM10,44.5,41.8,170.2,,12.76,87.3,,,63.1,
2019-01-02,12:00,PM10,38.3,47.0,83.4,,108.97,94.5,,,56.2,
2019-01-02,13:00,PM10,42.3,39.5,36.4,,96.52,61.6,,,32.7,
2019-01-02,14:00,PM10,47.1,33.9,29.8,,60.28,39.8,,,18.8,
2019-01-02,15:00,PM10,38.6,22.5,47.7,,35.73,25.9,,,13.6,
2019-01-02,16:00,PM10,38.8,27.9,52.4,,46.42,25.8,,,29.8,
2019-01-02,17:00,PM10,51.1,36.2,78.6,,62.82,31.0,,,60.5,
2019-01-02,18:00,PM10,42.6,26.7,71.5,,32.84,16.3,,,52.3,
2019-01-02,19:00,PM10,35.1,32.5,82.1,,29.96,28.2,,,41.5,
2019-01-02,20:00,PM10,37.8,26.8,72.3,,32.41,34.4,,,35.6,
2019-01-02,21:00,PM10,39.4,24.5,56.6,,18.66,36.1,,,45.9,
2019-01-02,22:00,PM10,28.9,22.7,54.4,,30.78,28.2,,,53.0,
2019-01-02,23:00,PM10,28.1,32.5,37.1,,32.62,26.7,,,43.5,
2019-01-03,00:00,PM10,29.8,24.8,33.7,,25.38,22.9,,,32.7,
2019-01-03,01:00,PM10,23.4,24.7,66.3,,39.97,19.2,,,34.4,
2019-01-03,02:00,PM10,20.5,27.9,93.0,,35.14,19.9,,,33.1,
2019-01-03,03:00,PM10,12.2,30.0,135.0,,38.36,19.8,,,32.4,
2019-01-03,04:00,PM10,7.8,28.0,115.7,,45.3,18.4,,,23.4,
2019-01-03,05:00,PM10,11.9,33.1,112.7,,39.08,27.0,,,32.9,
2019-01-03,06:00,PM10,23.7,32.6,113.0,,70.52,35.9,,,52.0,
2019-01-03,07:00,PM10,37.7,40.0,152.6,,85.66,45.5,,,44.7,
2019-01-03,08:00,PM10,43.9,37.5,157.6,,104.69,84.5,,,99.6,
2019-01-03,09:00,PM10,52.7,35.6,132.2,,79.27,63.4,,,113.5,
2019-01-03,10:00,PM10,51.5,42.4,86.6,,52.04,59.6,,,70.3,
2019-01-03,11:00,PM10,35.1,33.1,54.3,,74.8,75.2,,,44.3,
2019-01-03,12:00,PM10,33.5,36.1,28.5,,73.01,70.4,,,46.3,
2019-01-03,13:00,PM10,27.0,36.6,28.0,,57.13,40.2,,,45.7,
