FECHA,HORA,AGU_PM10,ATM_PM10,CEN_PM10,LDO_PM10,LPIN_PM10,MIR_PM10,OBL_PM10,SFE_PM10,TLA_PM10,VAL_PM10,HR,TMP,WS,PM10-2,PM10-1
2018-01-01 00:00:00,00:00,42.6,89.2,85.03,163.3,238.2,103.55,88.5,80.844,104.3,35.3,54.1,20.6,0.86,85.8,89.9
2018-01-01 02:00:00,02:00,64.6,71.5,137.62,215.0,223.2,244.17,115.0,104.96,174.1,34.6,62.2,20.8,0.42,238.2,224.3
2018-01-01 06:00:00,06:00,47.6,70.7,176.09,141.5,187.2,231.61,80.1,184.18,199.0,69.8,73.3,20.9,1.23,261.0,273.2
2018-01-01 07:00:00,07:00,40.6,60.1,170.03,151.9,102.5,250.93,72.5,180.06,159.9,64.8,72.0,20.9,0.52,273.2,187.2
2018-01-01 08:00:00,08:00,40.1,64.9,148.18,99.4,150.6,250.54,59.6,170.0,127.6,67.8,72.6,20.8,0.71,187.2,102.5
2018-01-01 09:00:00,09:00,52.8,59.5,87.18,83.5,102.2,141.7,30.7,165.13,61.6,98.5,52.7,20.6,0.73,102.5,150.6
2018-01-01 10:00:00,10:00,59.3,54.0,46.87,54.8,31.3,65.73,27.2,118.97,30.5,75.2,42.3,20.2,1.45,150.6,102.2
2018-01-01 11:00:00,11:00,42.1,37.7,35.32,40.2,27.3,43.3,26.5,66.73100000000001,27.2,41.1,36.4,20.7,1.43,102.2,31.3
2018-01-01 12:00:00,12:00,40.0,29.6,31.82,37.1,28.9,29.57,22.8,63.145,17.8,23.1,33.0,21.1,1.57,31.3,27.3
2018-01-01 13:00:00,13:00,41.5,20.0,29.68,33.0,26.7,30.32,19.1,60.001000000000005,17.2,27.3,30.7,21.3,1.16,27.3,28.9
2018-01-01 14:00:00,14:00,32.5,12.8,29.57,29.1,25.3,33.89,20.4,50.403,22.2,24.2,28.7,21.4,1.45,28.9,26.7
2018-01-01 15:00:00,15:00,37.8,17.2,28.19,32.3,25.0,34.95,23.4,40.044000000000004,30.6,33.5,25.1,21.4,1.69,26.7,25.3
2018-01-01 16:00:00,16:00,43.8,26.1,33.15,41.8,24.8,33.34,35.1,43.938,46.5,37.1,25.2,21.3,1.28,25.3,25.0
2018-01-01 17:00:00,17:00,39.9,36.1,34.95,40.9,28.1,31.36,37.0,38.66,50.0,44.9,25.2,21.3,1.53,25.0,24.8
2018-01-01 18:00:00,18:00,42.9,51.9,38.88,58.3,109.4,49.57,45.4,45.975,56.8,39.8,30.6,20.9,1.39,24.8,28.1
2018-01-01 19:00:00,19:00,56.7,61.0,51.91,94.4,225.3,67.44,42.7,69.96,73.8,63.7,36.1,20.7,1.09,28.1,109.4
2018-01-01 20:00:00,20:00,69.3,48.7,88.48,94.2,173.2,140.2,67.3,70.339,114.9,70.9,41.9,20.7,0.36,109.4,225.3
2018-01-01 21:00:00,21:00,71.6,38.5,107.9,102.6,200.8,173.3,86.4,136.82,100.4,67.4,47.8,20.8,0.09,225.3,173.2
2018-01-01 22:00:00,22:00,63.5,36.1,119.43,112.6,230.6,157.83,94.9,181.79,96.1,72.9,53.5,20.8,0.54,173.2,200.8
2018-01-01 23:00:00,23:00,51.3,34.7,104.14,71.2,219.3,200.72,84.3,119.69,86.5,63.7,57.5,21.0,1.64,200.8,230.6
2018-01-02 00:00:00,00:00,38.7,40.0,98.87,67.7,80.1,130.14,79.6,126.25,78.4,55.8,55.3,20.8,2.11,230.6,219.3
2018-01-02 01:00:00,01:00,36.8,52.6,83.16,57.6,82.7,85.01,74.5,78.71,70.0,68.0,57.1,21.0,0.84,219.3,80.1
2018-01-02 02:00:00,02:00,40.7,59.3,57.36,44.0,82.6,75.68,45.1,100.83,50.0,70.3,62.6,20.9,0.97,80.1,82.7
2018-01-02 03:00:00,03:00,44.2,52.4,49.44,37.7,46.7,57.82,25.7,84.53299999999999,47.5,45.7,62.8,20.9,0.44,82.7,82.6
2018-01-02 04:00:00,04:00,39.0,46.5,53.53,43.6,49.1,55.17,35.4,69.454,44.1,49.1,65.8,21.0,0.97,82.6,46.7
2018-01-02 05:00:00,05:00,37.3,47.7,50.06,36.7,64.3,51.19,43.2,91.387,41.7,60.0,68.3,21.1,1.29,46.7,49.1
2018-01-02 06:00:00,06:00,38.5,54.7,53.6,41.9,101.1,58.29,44.3,110.96,46.2,51.8,71.0,21.1,0.63,49.1,64.3
2018-01-02 07:00:00,07:00,55.2,52.3,53.74,43.4,138.9,86.6,46.8,146.16,49.2,52.9,75.5,21.2,0.24,64.3,101.1
2018-01-02 08:00:00,08:00,64.9,55.0,50.15,41.8,158.2,79.47,44.7,117.78,41.8,62.5,73.0,21.1,0.27,101.1,138.9
