FECHA,HORA,AGU_PM10,ATM_PM10,CEN_PM10,LDO_PM10,LPIN_PM10,MIR_PM10,OBL_PM10,SFE_PM10,TLA_PM10,VAL_PM10,HR,TMP,WS,PM10-2,PM10-1
2016-01-01 00:00:00,00:00,49.92,146.95,86.12,174.04,,69.75,197.67,115.54,143.4,17.08,79.8,19.4,0.9,,
2016-01-01 01:00:00,01:00,52.8,,46.49,115.27,,68.99,138.09,84.24,100.46,29.15,84.0,18.3,0.6,,
2016-01-01 02:00:00,02:00,52.71,113.44,63.93,99.0,,117.7,98.79,135.39,82.05,30.89,86.3,17.7,0.2,,
2016-01-01 03:00:00,03:00,51.24,73.3,60.75,83.65,,160.3,97.94,117.6,114.74,38.74,90.0,16.6,0.3,,
2016-01-01 04:00:00,04:00,58.84,52.55,108.09,49.7,,180.89,134.39,164.68,118.83,51.48,92.4,16.3,0.3,,
2016-01-01 05:00:00,05:00,36.1,58.28,183.2,151.01,,224.9,79.29,168.3,145.76,48.87,91.0,16.1,0.6,,
2016-01-01 06:00:00,06:00,26.94,78.42,168.35,153.58,,227.12,53.76,154.2,127.36,45.0,93.8,15.5,0.6,,
2016-01-01 07:00:00,07:00,27.16,84.0,123.02,136.17,,128.26,58.49,,108.72,43.07,94.4,15.2,0.4,,
2016-01-01 08:00:00,08:00,34.08,62.28,112.69,104.14,,114.2,46.85,165.4,114.46,55.71,90.3,16.4,0.3,,
2016-01-01 09:00:00,09:00,55.46,72.3,68.35,34.7,,66.11,31.98,236.37,71.27,62.45,75.1,19.6,0.6,,
2016-01-01 10:00:00,10:00,50.52,42.49,27.03,13.48,,85.32,19.44,187.17,14.06,50.24,62.9,22.5,0.9,,
2016-01-01 11:00:00,11:00,18.55,11.49,12.22,3.93,,59.13,17.41,137.63,4.04,23.36,54.8,24.4,1.5,,
2016-01-01 12:00:00,12:00,13.0,8.63,9.69,3.26,,47.62,17.37,82.98,4.68,13.53,47.8,26.4,1.2,,
2016-01-01 13:00:00,13:00,9.28,10.7,11.18,2.82,,42.97,10.24,69.75,2.66,7.24,41.0,28.0,1.1,,
2016-01-01 14:00:00,14:00,15.82,10.32,16.07,9.85,,74.05,12.98,70.76,7.4,13.93,36.3,29.5,1.2,,
