,datetime,date,PM2_5,PM10,PM1_0,CO2,pressure,humidity,battery,lux,dB,run_time,mslPressure,temperature_int,temperature,NO2,O3
0,01/05/2021 05:00,1619846530,17,18,7,300,840.9,55.6,2500,0,53,36000,840.9,21.475,21.825,0.008781126,0.013597432
1,01/05/2021 06:00,1619850893,16,16,6.5,315,840.9,58.85,2500,0,51.5,39600,840.9,20.26666667,20.51666667,0.008642293,0.008213659
2,01/05/2021 07:00,1619854318,14.33333333,14.33333333,6.333333333,326.6666667,840.85,66.25,2500,0,49,43200,840.85,19,19.14,0.008503296,0.002555528
3,01/05/2021 08:00,1619858061,14.66666667,14.66666667,6.333333333,320,840.65,70.8,2500,0,49.5,46800,840.65,17.925,18.075,0.008387484,0
4,01/05/2021 09:00,1619861588,12.66666667,12.66666667,5.333333333,310,840.4,67.65,2500,0,49.5,50400,840.4,17.43333333,17.63333333,0.008334997,0
5,01/05/2021 10:00,1619865159,12.66666667,12.66666667,6.333333333,316.6666667,840.4,69.4,2500,0,50,0,840.4,16.9,16.98333333,0.008278346,0
6,01/05/2021 11:00,1619868524,14.5,14.5,7.5,310,840.6,76.35,2500,0,49.5,54000,840.6,16.15,16.35,0.008197471,0
7,01/05/2021 12:00,1619871885,15,15,8.666666667,316.6666667,840.85,83.2,2500,2.5,50,57600,840.85,15.54,15.7,0.008131496,0
8,01/05/2021 13:00,1619875466,15,15,7.333333333,283.3333333,841.35,76.35,2500,25,51.5,61200,841.35,16.48333333,16.86666667,0.008233486,0
9,01/05/2021 14:00,1619879193,16.66666667,17,7.666666667,283.3333333,841.65,62.05,2500,25,56,64800,841.65,19.1,19.7,0.008514182,0.003583075
10,01/05/2021 15:00,1619883178,17,17.66666667,6.333333333,280,841.75,38.75,2500,47.5,57,68400,841.75,24.65,25.375,0.009110207,0.027904344
11,01/05/2021 16:00,1619886668,14.66666667,15.66666667,2.333333333,313.3333333,841.55,23.75,2500,57.5,57.5,72000,841.55,27.18333333,27.73333333,0.0093796,0.039765353
12,01/05/2021 17:00,1619890244,13.66666667,15.66666667,0.666666667,300,840.95,19.9,2500,70,59,75600,840.95,29.44,29.8,0.00960969,0.049949961
13,01/05/2021 18:00,1619893816,14,15,1,283.3333333,840.35,17.5,2500,80,61,79200,840.35,30.81666667,30.73333333,0.009742062,0.055614389
14,01/05/2021 19:00,1619897564,15.66666667,16.33333333,1.666666667,263.3333333,839.65,17.65,2500,97.5,62,82800,839.65,32.41666667,32.23333333,0.009904206,0.062735741
15,01/05/2021 20:00,1619901157,16.5,17.5,2,255,838.7,16.9,2500,100,62.5,86400,838.7,33.61666667,33.43333333,0.010025806,0.068061127
16,01/05/2021 21:00,1619904547,16,17,2,266.6666667,837.7,15.8,2500,102.5,61,90000,837.7,34.3,34.3,0.010095824,0.071103813
17,01/05/2021 22:00,1619908131,15,16,1.333333333,280,837.1,14.95,2500,52.5,61.5,93600,837.1,34.21666667,34.06666667,0.010086088,0.070727573
18,01/05/2021 23:00,1619911704,14.33333333,15.66666667,0.666666667,286.6666667,837.1,14.5,2500,75,63,97200,837.1,33.21666667,33.06666667,0.009980786,0.06630179
19,02/05/2021 00:00,1619915287,16,17.33333333,2.333333333,300,837.35,14.15,2500,47.5,60.5,100800,837.35,30.11666667,30.05,0.00965542,0.052539734
20,02/05/2021 01:00,1619918850,14.66666667,17.33333333,2.333333333,320,838.15,14.85,2500,2.5,60,104400,838.15,25.62,25.52,0.009181835,0.032555585
21,02/05/2021 02:00,1619922298,17.33333333,20.66666667,5.666666667,333.3333333,839.05,18.55,2500,0,54.5,108000,839.05,23.425,23.55,0.008954066,0.022811921
22,02/05/2021 03:00,1619926157,14.33333333,17.66666667,3.666666667,333.3333333,839.7,23.3,2500,0,53,111600,839.7,21.8,22.05,0.008789699,0.015613417
23,02/05/2021 04:00,1619929889,14.33333333,16.33333333,4,333.3333333,840.2,29.3,2500,0,51.5,115200,840.2,20.58333333,20.8,0.008668032,0.010210726
24,02/05/2021 05:00,1619933619,13,14.33333333,3,323.3333333,840.55,36.15,2500,0,50,118800,840.55,19.43333333,19.63333333,0.00855346,0.005032706
25,02/05/2021 06:00,1619937002,11.5,13.5,3,330,840.7,41.05,2500,0,49.5,122400,840.7,17.92,18.1,0.008396972,0.000158505
26,02/05/2021 07:00,1619940114,11.66666667,13.66666667,2.666666667,326.6666667,840.2,41.35,2500,0,49,126000,840.2,16.85,17.15,0.008285347,0
27,02/05/2021 08:00,1619944115,11,12.33333333,2.666666667,336.6666667,839.95,44.95,2500,0,49.5,129600,839.95,16.35,16.45,0.008232971,0
28,02/05/2021 09:00,1619947563,10,12.33333333,2,330,839.65,43.4,2500,0,49,133200,839.65,15.675,15.85,0.008159205,0
29,02/05/2021 10:00,1619951560,9.666666667,10.66666667,2,336.6666667,839.45,46.5,2500,0,48.5,136800,839.45,14.36666667,14.63333333,0.008016174,0
30,02/05/2021 11:00,1619955001,9,10.66666667,2,333.3333333,839.75,48.95,2500,0,49,140400,839.75,13.75,14.05,0.007948958,0
31,02/05/2021 12:00,1619958844,9.333333333,11,1.666666667,330,840,50.45,2500,2.5,49,144000,840,13,13.14,0.007867411,0
32,02/05/2021 13:00,1619962381,10.33333333,12.33333333,2.333333333,296.6666667,840.4,42.85,2500,30,52.5,147600,840.4,14.75,15.03333333,0.008054208,0
33,02/05/2021 14:00,1619965956,13.33333333,15.33333333,3.333333333,303.3333333,840.6,35.8,2500,25,54,0,840.6,18,18.56666667,0.008401306,0.001247279
34,02/05/2021 15:00,1619969328,16.5,18,5.5,320,840.65,28.9,2500,40,57.5,151200,840.65,22.2,22.95,0.008850575,0.017257388
35,02/05/2021 16:00,1619972702,17.66666667,20.33333333,5,313.3333333,840.4,20.25,2500,47.5,57.5,154800,840.4,26.14,26.76,0.009268531,0.035121989
36,02/05/2021 17:00,1619976553,14.66666667,16.66666667,1.666666667,310,839.6,7.3,2500,65,60,158400,839.6,29.425,29.625,0.009596473,0.049843401
37,02/05/2021 18:00,1619980047,15.66666667,18,1.333333333,290,838.7,7,2500,75,60,162000,838.7,31.4,31.58333333,0.009789283,0.058133539
38,02/05/2021 19:00,1619983796,14.66666667,17,0.333333333,286.6666667,837.9,6,2500,95,60.5,165600,837.9,33.76666667,33.61666667,0.010030084,0.068725566
39,02/05/2021 20:00,1619987379,15,17,0.333333333,270,837.25,6.1,2500,100,61,169200,837.25,34.74,34.56,0.010128064,0.073059951
40,02/05/2021 21:00,1619990958,17,18.66666667,2,276.6666667,836.35,6.2,2500,97.5,59.5,172800,836.35,35.3,35.16666667,0.01018664,0.075598172
41,02/05/2021 22:00,1619994708,16.66666667,18.33333333,2,286.6666667,835.65,5.9,2500,87.5,58.5,176400,835.65,34.86666667,35.01666667,0.010141409,0.07369567
42,02/05/2021 23:00,1619998303,17.5,19.5,2.5,295,835.3,6.75,2500,67.5,57.5,180000,835.3,34.43333333,34.53333333,0.010099264,0.071793779
43,03/05/2021 00:00,1620001691,20.66666667,23.33333333,5.666666667,300,835.35,8.2,2500,22.5,58,183600,835.35,31.88,31.7,0.009834344,0.060458572
44,03/05/2021 01:00,1620005271,19.33333333,22,6,320,835.6,10.75,2500,0,56,187200,835.6,27.41666667,27.28333333,0.009369128,0.040617692
45,03/05/2021 02:00,1620009006,16,19.33333333,4.333333333,333.3333333,836.25,15.35,2500,0,53,190800,836.25,24.26666667,24.41666667,0.009042601,0.02661465
46,03/05/2021 03:00,1620012550,12.66666667,16,1.666666667,330,836.8,18.7,2500,0,52,194400,836.8,22.05,22.175,0.008815454,0.016757796
47,03/05/2021 04:00,1620016133,18,21,7,336.6666667,837.45,21.15,2500,0,51,198000,837.45,20.73333333,20.96666667,0.008683171,0.010900135
48,03/05/2021 05:00,1620019685,20,23,8.666666667,320,837.75,24.8,2500,0,50.5,201600,837.75,19.58,19.86,0.008565846,0.00574029
49,03/05/2021 06:00,1620023249,18.66666667,22.33333333,8.333333333,333.3333333,837.75,30.3,2500,0,49,205200,837.75,17.71666667,17.65,0.008370854,0.000446491
50,03/05/2021 07:00,1620026823,13.66666667,17,5,333.3333333,837.6,33.7,2500,0,50,208800,837.6,16.38,16.36,0.008231928,0
