,datetime,CO,CO Estado,PM 10,PM 10 Estado,Temp Int,Temp Int Estado,Temp Ext,Temp Ext Estado,RH,RH Estado,WS,WS Estado,WD,WD Estado,Precipitacion,Precipitacion Estado,Radiacion Solar,Radiacion Solar Estado,Presion barometrica,Presion barometrica Estado,PM 2.5,PM 2.5 Estado,CO.1,CO Estado.1
0,26/06/2021 00:00,0.74173,144,19.337,144,25.416,144,18.338,144,82.502,144,0.56333,144,99.83,144,0,144,1.7217,144,628.30,144,9.070,144,0.78158,134.6
1,26/06/2021 01:00,0.84483,144,18.547,144,25.474,144,18.758,144,80.793,144,0.48333,144,240.26,144,0,144,1.5417,144,628.66,144,14.659,144,0.88455,144
2,26/06/2021 02:00,0.56007,139.2,27.019,139.2,25.431,139.2,17.973,139.2,82.528,139.2,0.03,139.2,138.09,139.2,0,139.2,1.56,139.2,628.11,139.2,10.959,139.32,0.6017,139.2
3,26/06/2021 03:00,0.42257,144,23.568,144,25.38,144,17.888,144,80.833,144,0.02,144,179.78,144,0,144,1.3883,144,627.03,144,15.742,144,0.46622,144
4,26/06/2021 04:00,0.47525,144,28.873,144,25.291,144,17.692,144,81.425,144,0.055,144,213.57,144,0,144,1.3783,144,626.5,144,13.458,144,0.51725,144
5,26/06/2021 05:00,0.63298,141.6,37.902,141.6,25.156,141.6,17.117,141.6,84.137,141.6,0.096667,141.6,176.09,141.6,0,141.6,1.3067,141.6,626.21,141.6,14.291,141.6,0.67282,141.6
6,26/06/2021 06:00,0.63133,144,40.706,144,25.116,144,16.932,144,85.27,144,0.15833,144,102.65,144,0,144,1.42,144,626.35,144,12.488,144,0.66892,144
7,26/06/2021 07:00,1.4123,144,32.505,144,25.052,144,16.725,144,86.047,144,0.05,144,129.59,144,0,144,26.713,144,626.71,144,19.352,144,1.4442,144
8,26/06/2021 08:00,1.1531,144,51.598,144,25.082,144,18.135,144,79.115,144,0.41,144,168.86,144,0,144,159.09,144,626.97,144,30.502,144,1.1866,134.6
9,26/06/2021 09:00,0.68613,144,69.291,144,25.345,144,20.403,144,68.085,144,0.71333,144,103.29,144,0,144,297.18,144,626.78,144,25.565,144,0.72688,144
10,26/06/2021 10:00,0.25887,144,69.011,144,25.594,144,23.585,144,53.78,144,2.1883,144,84.435,144,0,144,489.2,144,626.46,144,22.467,144,0.29792,144
11,26/06/2021 11:00,0.054883,144,30.93,144,25.596,144,24.915,144,46.172,144,3.75,144,88.557,144,0,144,581.35,144,625.86,144,11.768,144,0.033683,144
