,datetime,PM10,Temp,RHumidity,AtmoPressure
1,29/06/2021 15:00,6.8312,28.502,41.980,634
2,29/06/2021 16:00,2.5413,29.302,40.667,634
3,29/06/2021 17:00,2.6893,28.672,42.183,633.8
4,29/06/2021 18:00,1.2617,31.095,36.65,633.83
5,29/06/2021 19:00,0.99017,31.482,35.35,632.97
6,29/06/2021 20:00,1.0838,30.5,36,633.43
7,29/06/2021 21:00,1.4993,27.78,41.633,634
8,29/06/2021 22:00,2.1118,25.275,47.267,634
9,29/06/2021 23:00,5.1613,23.49,52.417,634
10,30/06/2021 00:00,5.7458,21.962,56.267,634.3
11,30/06/2021 01:00,5.7262,20.65,60.067,635.2
12,30/06/2021 02:00,3.2757,19.973,61.817,634.1
13,30/06/2021 03:00,0.7535,19.755,62,634
14,30/06/2021 04:00,0.687,20.148,61.7,634
15,30/06/2021 05:00,1.5888,20.598,60.7,634
16,30/06/2021 06:00,1.6787,21.047,60,634
17,30/06/2021 07:00,4.1772,21.252,60.267,634
18,30/06/2021 08:00,4.1848,21.068,61,634.07
19,30/06/2021 09:00,6.9588,21.313,59.617,635.43
20,30/06/2021 10:00,1.1327,23,53.083,636
21,30/06/2021 11:00,2.3093,26.153,46.1,636
22,30/06/2021 12:00,2.2377,28.915,39.017,636
23,30/06/2021 13:00,2.3492,30.005,36.917,636
24,30/06/2021 14:00,1.4233,31.647,33.05,636
25,30/06/2021 15:00,1.6062,32.877,30.25,634.53
26,30/06/2021 16:00,1.2908,34.308,28.683,634
27,30/06/2021 17:00,2.2995,35.317,27.983,634
28,30/06/2021 18:00,1.4458,35.645,27.417,633.97
29,30/06/2021 19:00,1.5348,34.853,28.117,633.4
30,30/06/2021 20:00,1.0495,33.682,28.65,633.87
31,30/06/2021 21:00,2.955,31.125,34.017,634
32,30/06/2021 22:00,6.7478,27.602,46.983,634
33,30/06/2021 23:00,3.4177,24.702,50.783,634
34,01/07/2021 00:00,3.9352,23.745,54.967,634
35,01/07/2021 01:00,9.2598,23.172,63.633,634.67
