,datetime,O3,STATUS,NO,STATUS2,NO2,STATUS3,NOX,STATUS4,SO2,STATUS5,CO,STATUS6,PM10,STATUS7,Temp Int,STATUS8,Temp Ext,STATUS9,RH,STATUS10,WS,STATUS11,WD,STATUS12,PRECIPITACION,STATUS13,Rad Solar,PM10 Analogico,STATUS14,PM2.5 Analogico,O32,STATUS15,NO3,STATUS16,NO22,STATUS17,NOX2,STATUS18,SO22,STATUS19,CO2,STATUS20,PM2.5 Digital,UV,UVI,STATUS21
0,2021-05-01 00:00:00,0.015,144.0,0.004,144.0,0.012,144.0,0.015,144.0,0.0019,144.0,0.652,144.0,31.6,151.0,24.2,144.0,23.7,144.0,54.0,144.0,6.4,144.0,265.6,144.0,0.0,144.0,7.0,31.3,144.0,7.0,0.015,144.0,0.003,144.0,0.012,144.0,0.015,144.0,0.0021,151.0,0.651,144.0,7.0,7.0,0.22,151.0
1,2021-05-01 01:00:00,0.015,144.0,0.003,144.0,0.011,144.0,0.013,144.0,0.0007,144.0,0.629,144.0,27.0,144.0,24.2,144.0,22.7,144.0,57.0,144.0,4.6,144.0,277.6,144.0,0.0,144.0,7.0,26.7,151.0,7.0,0.016,144.0,0.002,144.0,0.01,144.0,0.012,144.0,0.0009,144.0,0.63,144.0,7.0,7.0,0.22,151.0
2,2021-05-01 02:00:00,0.015,144.0,0.003,144.0,0.008,144.0,0.011,144.0,0.0003,146.0,0.646,144.0,26.3,144.0,24.2,144.0,21.4,144.0,63.9,144.0,2.8,144.0,265.1,144.0,0.0,144.0,7.0,26.1,144.0,7.0,0.016,144.0,0.003,144.0,0.008,144.0,0.011,144.0,0.0004,144.0,0.647,144.0,7.0,7.0,0.22,151.0
3,2021-05-01 03:00:00,0.014,144.0,0.002,144.0,0.009,144.0,0.011,144.0,0.0005,146.0,0.637,144.0,26.7,144.0,24.2,144.0,20.6,144.0,66.6,144.0,1.9,144.0,268.6,144.0,0.0,144.0,7.0,26.5,144.0,7.0,0.015,144.0,0.002,144.0,0.009,144.0,0.01,144.0,0.0007,144.0,0.637,144.0,7.0,7.0,0.22,151.0
4,2021-05-01 04:00:00,0.015,144.0,0.002,144.0,0.007,144.0,0.009,144.0,0.0004,146.0,0.615,144.0,19.4,151.0,24.3,144.0,20.0,144.0,64.7,144.0,3.9,144.0,294.8,144.0,0.0,144.0,7.0,19.2,144.0,7.0,0.015,144.0,0.002,144.0,0.007,144.0,0.008,144.0,0.0005,144.0,0.616,144.0,7.0,7.0,0.22,151.0
5,2021-05-01 05:00:00,0.015,144.0,0.003,144.0,0.008,144.0,0.01,144.0,0.0003,146.0,0.611,144.0,16.3,151.0,24.3,144.0,19.3,144.0,66.3,144.0,3.5,144.0,294.1,144.0,0.0,144.0,7.0,16.2,144.0,7.0,0.015,144.0,0.002,144.0,0.008,144.0,0.01,144.0,0.0004,144.0,0.614,144.0,7.0,7.0,0.22,151.0
6,2021-05-01 06:00:00,0.015,144.0,0.002,144.0,0.008,144.0,0.01,144.0,0.0003,146.0,0.627,144.0,18.2,151.0,24.2,144.0,18.9,144.0,72.9,144.0,3.2,144.0,279.6,144.0,0.0,144.0,7.0,18.0,144.0,7.0,0.015,144.0,0.002,144.0,0.008,144.0,0.01,144.0,0.0005,144.0,0.628,144.0,7.0,7.0,0.22,151.0
7,2021-05-01 07:00:00,0.012,144.0,0.004,144.0,0.014,144.0,0.017,144.0,0.0006,144.0,0.675,144.0,23.0,151.0,24.2,144.0,18.8,144.0,71.9,144.0,1.1,144.0,194.5,144.0,0.0,144.0,7.0,22.7,144.0,7.0,0.012,144.0,0.003,144.0,0.013,144.0,0.017,144.0,0.0009,144.0,0.674,144.0,7.0,7.0,0.26,151.0
8,2021-05-01 08:00:00,0.016,144.0,0.004,144.0,0.009,144.0,0.013,144.0,0.0004,146.0,0.663,144.0,22.3,151.0,24.2,144.0,19.3,144.0,68.4,144.0,2.7,144.0,275.7,144.0,0.0,144.0,7.0,22.1,151.0,7.0,0.016,144.0,0.004,144.0,0.009,144.0,0.012,144.0,0.0006,144.0,0.663,144.0,7.0,7.0,0.76,151.0
9,2021-05-01 09:00:00,0.02,144.0,0.005,144.0,0.01,144.0,0.015,144.0,0.0005,146.0,0.647,144.0,25.4,151.0,24.3,144.0,20.5,144.0,61.1,144.0,2.7,144.0,230.8,144.0,0.0,144.0,7.0,25.1,144.0,7.0,0.02,144.0,0.005,144.0,0.01,144.0,0.014,144.0,0.0008,144.0,0.647,144.0,7.0,7.0,2.13,151.0
