FECHA,HORA,PARAM,AGU,ATM,CEN,LDO,LPIN,MIR,OBL,SFE,TLA,VAL
2018-01-01,00:00,WD,112.19,253.5,200.53,,163.48,0.12,8.58,198.8,2.2,233.8
2018-01-01,01:00,WD,109.39,234.0,183.88,,220.94,0.12,5.55,208.0,3.57,168.7
2018-01-01,02:00,WD,108.19,254.8,233.58,,12.36,0.12,5.12,170.0,6.83,202.4
2018-01-01,03:00,WD,115.51,199.8,184.73,,183.18,0.12,3.01,227.1,2.64,177.3
2018-01-01,04:00,WD,137.73,212.5,141.12,,68.26,0.12,9.55,147.3,1.82,205.1
2018-01-01,05:00,WD,116.35,161.4,96.78,,154.7,0.12,8.83,195.8,6.21,161.1
2018-01-01,06:00,WD,106.42,235.0,167.06,,132.64,0.11,8.18,189.2,10.52,174.5
2018-01-01,07:00,WD,117.88,137.5,123.84,,133.59,0.12,7.81,218.4,6.29,167.1
2018-01-01,08:00,WD,99.18,166.4,85.13,,38.36,0.12,8.0,221.2,3.79,74.7
2018-01-01,09:00,WD,122.94,207.2,63.6,,68.58,0.12,9.0,74.7,3.48,142.6
2018-01-01,10:00,WD,94.32,128.6,70.69,,92.46,0.12,9.41,125.4,5.6,97.0
2018-01-01,11:00,WD,88.24,107.2,83.15,,125.75,0.12,9.73,125.3,6.6,88.4
2018-01-01,12:00,WD,67.78,118.7,123.55,,141.26,0.12,8.09,127.1,9.55,104.1
2018-01-01,13:00,WD,105.43,144.8,137.77,,178.93,0.11,9.11,116.7,12.91,108.8
2018-01-01,14:00,WD,90.41,173.4,192.67,,182.4,0.12,9.08,153.6,15.81,131.4
2018-01-01,15:00,WD,98.42,165.2,131.97,,173.61,0.12,10.41,131.3,16.51,167.7
2018-01-01,16:00,WD,92.89,204.1,213.41,,155.37,0.12,9.02,155.5,15.37,130.0
2018-01-01,17:00,WD,115.75,214.0,193.0,,174.79,0.12,7.8,144.2,10.19,163.4
2018-01-01,18:00,WD,106.1,246.6,181.55,,193.19,0.11,9.46,186.3,4.38,208.8
2018-01-01,19:00,WD,124.65,259.8,183.17,,201.8,0.12,9.15,225.8,3.08,230.0
2018-01-01,20:00,WD,135.75,239.2,197.26,,213.03,0.12,5.59,217.4,2.51,229.7
2018-01-01,21:00,WD,162.08,236.1,164.76,,231.67,0.11,8.43,210.5,1.75,211.2
2018-01-01,22:00,WD,126.27,241.6,173.66,,227.43,0.12,4.11,268.4,1.33,210.5
2018-01-01,23:00,WD,99.17,247.0,180.42,,246.94,0.12,8.33,272.1,1.14,233.4
2018-01-02,00:00,WD,136.45,126.8,99.15,,206.35,0.12,7.73,169.9,1.05,179.2
2018-01-02,01:00,WD,94.34,227.3,124.17,,120.97,0.12,9.02,126.4,0.94,93.1
2018-01-02,02:00,WD,122.7,221.3,138.08,,139.09,0.12,8.38,168.0,0.27,227.5
2018-01-02,03:00,WD,139.24,142.8,124.28,,200.22,0.12,9.98,230.0,0.22,111.4
2018-01-02,04:00,WD,110.29,228.6,150.53,,81.9,0.11,9.19,279.5,0.19,142.5
2018-01-02,05:00,WD,157.98,269.1,172.93,,54.05,0.12,6.39,240.2,0.05,212.4
2018-01-02,06:00,WD,127.5,181.1,104.89,,189.79,0.11,8.06,168.8,0.24,159.8
2018-01-02,07:00,WD,113.48,129.6,109.09,,252.98,0.12,9.27,237.7,,145.8
2018-01-02,08:00,WD,49.62,137.7,98.88,,163.61,0.12,10.21,155.5,0.33,117.7
2018-01-02,09:00,WD,52.3,129.0,91.07,,62.78,0.12,10.62,99.1,1.8,99.6
2018-01-02,10:00,WD,54.4,127.9,97.77,,176.74,0.11,9.53,104.2,2.9,101.9
2018-01-02,11:00,WD,99.18,94.2,125.03,,138.56,0.12,9.79,92.8,5.78,115.7
2018-01-02,12:00,WD,77.12,140.5,150.19,,153.95,0.12,8.97,138.7,11.15,156.0
2018-01-02,13:00,WD,102.94,143.3,138.23,,188.09,0.11,7.81,134.8,13.92,173.4
2018-01-02,14:00,WD,99.09,195.1,226.31,,165.03,0.12,8.25,156.2,16.66,209.2
2018-01-02,15:00,WD,98.59,192.6,176.73,,179.54,0.12,9.32,192.5,17.19,167.3
2018-01-02,16:00,WD,110.17,231.3,196.72,,232.91,0.12,9.13,200.9,16.71,216.4
2018-01-02,17:00,WD,149.59,260.8,235.2,,275.6,0.11,9.06,205.0,8.15,231.9
2018-01-02,18:00,WD,170.51,275.7,287.69,,282.15,0.12,10.33,293.8,3.61,264.2
2018-01-02,19:00,WD,150.01,270.9,283.99,,247.52,0.12,8.98,235.5,2.98,258.3
2018-01-02,20:00,WD,157.17,250.8,240.72,,257.68,0.12,12.82,280.7,2.8,242.9
2018-01-02,21:00,WD,148.71,230.3,196.38,,218.49,0.12,7.7,271.3,2.45,239.0
2018-01-02,22:00,WD,146.56,250.3,249.59,,239.02,0.12,7.6,164.6,1.64,240.5
2018-01-02,23:00,WD,163.74,231.2,190.83,,183.92,0.12,7.48,122.9,0.85,234.7
2018-01-03,00:00,WD,136.93,243.2,107.88,,224.58,0.12,5.32,170.1,0.6,251.6
