FECHA,HORA,PARAM,AGU,ATM,CEN,LDO,LPIN,MIR,OBL,SFE,TLA,VAL
2019-01-01,00:00,TMP,20.3,19.3,,19.6,19.8,20.3,21.9,,21.6,20.6
2019-01-01,01:00,TMP,20.5,19.3,,19.7,19.6,20.5,21.9,,21.7,20.7
2019-01-01,02:00,TMP,20.4,19.3,,19.8,19.7,20.4,21.9,,21.8,20.7
2019-01-01,03:00,TMP,20.5,19.3,,19.8,19.7,20.5,21.9,,21.8,20.7
2019-01-01,04:00,TMP,20.5,19.2,,19.9,19.8,20.5,21.9,,21.9,20.7
2019-01-01,05:00,TMP,20.4,19.3,,19.9,19.9,20.4,21.9,,21.9,20.7
2019-01-01,06:00,TMP,20.5,19.2,,19.9,19.9,20.5,21.9,,21.9,20.7
2019-01-01,07:00,TMP,20.5,19.2,,19.9,19.8,20.5,21.9,,21.9,20.7
2019-01-01,08:00,TMP,20.4,19.1,,19.8,19.7,20.4,21.9,,21.8,20.7
2019-01-01,09:00,TMP,20.2,19.2,,19.7,19.6,20.2,21.9,,21.6,20.7
2019-01-01,10:00,TMP,20.0,19.2,,19.6,19.9,20.0,21.9,,21.5,20.6
2019-01-01,11:00,TMP,19.8,19.5,,19.5,20.5,19.8,21.8,,21.5,20.5
2019-01-01,12:00,TMP,19.6,20.4,,19.4,21.1,19.6,21.7,,21.9,20.4
2019-01-01,13:00,TMP,19.5,21.1,,19.2,20.7,19.5,21.6,,23.1,20.3
2019-01-01,14:00,TMP,19.4,21.4,,19.1,21.0,19.4,21.6,,23.7,20.3
2019-01-01,15:00,TMP,19.5,21.5,,19.1,21.0,19.5,21.6,,23.8,20.3
2019-01-01,16:00,TMP,19.4,21.3,,19.1,21.2,19.4,21.7,,23.8,20.4
2019-01-01,17:00,TMP,19.7,21.1,,19.1,21.4,19.7,21.8,,23.7,20.5
2019-01-01,18:00,TMP,19.8,21.1,,19.1,21.4,19.8,21.8,,23.4,20.5
2019-01-01,19:00,TMP,19.9,20.6,,19.2,20.8,19.9,21.8,,22.7,20.5
