FECHA,HORA,PARAM,AGU,ATM,CEN,LDO,LPIN,MIR,OBL,SFE,TLA,VAL
2019-01-01,00:00,WS,1.03,,,,0.6,1.03,,0.3,0.33,1.0
2019-01-01,01:00,WS,1.81,,,,0.7,1.81,,0.5,0.34,1.3
2019-01-01,02:00,WS,0.95,,,,1.2,0.95,,0.2,0.47,1.3
2019-01-01,03:00,WS,0.27,,,,0.7,0.27,,0.6,0.56,1.5
2019-01-01,04:00,WS,1.59,,,,0.5,1.59,,0.5,0.3,1.9
2019-01-01,05:00,WS,0.72,,,,0.4,0.72,,0.3,0.54,0.5
2019-01-01,06:00,WS,0.5,,,,0.5,0.5,,0.4,0.27,0.3
2019-01-01,07:00,WS,0.71,,,,0.6,0.71,,0.2,0.55,0.9
2019-01-01,08:00,WS,0.38,,,,0.6,0.38,,0.4,1.36,0.7
2019-01-01,09:00,WS,0.7,,,,0.5,0.7,,0.4,1.15,1.7
2019-01-01,10:00,WS,0.95,,,,0.9,0.95,,0.6,1.09,1.0
2019-01-01,11:00,WS,1.39,,,,0.7,1.39,,0.5,1.05,1.2
2019-01-01,12:00,WS,2.25,,,,1.4,2.25,,1.0,2.14,2.3
2019-01-01,13:00,WS,2.02,,,,1.0,2.02,,1.0,2.61,2.2
2019-01-01,14:00,WS,2.07,,,,1.0,2.07,,1.1,2.1,2.6
2019-01-01,15:00,WS,3.6,,,,2.2,3.6,,1.3,3.11,3.4
2019-01-01,16:00,WS,5.25,,,,3.5,5.25,,2.5,4.15,4.4
2019-01-01,17:00,WS,4.02,,,,3.2,4.02,,1.7,3.09,3.0
2019-01-01,18:00,WS,2.6,,,,1.4,2.6,,0.9,1.42,2.3
2019-01-01,19:00,WS,2.44,,,,0.7,2.44,,0.5,0.55,1.9
2019-01-01,20:00,WS,2.22,,,,1.1,2.22,,0.2,0.72,1.9
2019-01-01,21:00,WS,2.11,,,,1.3,2.11,,0.9,0.43,3.0
