FECHA,HORA,PARAM,AGU,ATM,CEN,LDO,LPIN,MIR,OBL,SFE,TLA,VAL
2016-01-01,00:00,WS,2.7,2.2,1.3,1.1,0.9,1.9,3.3,0.2,0.6,2.4
2016-01-01,01:00,WS,1.9,0.4,0.3,0.0,0.6,0.4,2.2,0.1,0.3,1.2
2016-01-01,02:00,WS,0.9,0.6,0.0,0.0,0.2,0.7,0.5,0.4,0.3,1.1
2016-01-01,03:00,WS,0.6,1.7,0.1,0.0,0.3,1.4,0.8,0.2,0.1,0.8
2016-01-01,04:00,WS,0.8,0.2,0.3,0.1,0.3,0.3,1.3,0.3,0.3,1.1
2016-01-01,05:00,WS,0.5,0.3,0.8,0.0,0.6,0.7,1.6,0.4,0.7,1.1
2016-01-01,06:00,WS,0.0,0.7,0.2,0.0,0.6,0.9,1.1,0.3,0.1,0.1
2016-01-01,07:00,WS,0.0,0.6,0.2,0.1,0.4,0.9,0.9,0.0,0.1,0.0
2016-01-01,08:00,WS,0.3,0.6,0.4,0.5,0.3,0.4,2.0,0.0,0.5,0.4
2016-01-01,09:00,WS,1.8,1.4,2.1,1.1,0.6,1.1,1.7,0.8,2.3,2.0
2016-01-01,10:00,WS,3.2,2.8,3.9,1.6,0.9,2.2,4.1,1.3,2.9,4.2
2016-01-01,11:00,WS,3.0,4.0,4.6,1.8,1.5,2.3,3.6,1.1,3.3,5.0
2016-01-01,12:00,WS,2.4,3.5,3.5,1.4,1.2,2.2,2.2,1.3,2.1,3.0
2016-01-01,13:00,WS,2.6,3.4,3.1,0.6,1.1,1.8,3.0,1.2,2.4,3.7
2016-01-01,14:00,WS,3.3,3.5,3.8,0.9,1.2,2.8,3.3,1.5,3.1,3.9
2016-01-01,15:00,WS,3.3,4.4,3.8,1.2,1.2,1.8,2.7,1.8,2.6,3.3
2016-01-01,16:00,WS,3.1,4.8,4.0,2.3,1.3,3.2,2.7,1.3,2.3,3.9
2016-01-01,17:00,WS,5.1,6.2,5.9,1.8,2.0,3.1,4.1,2.0,3.9,3.7
2016-01-01,18:00,WS,2.8,3.6,3.9,2.1,1.8,2.7,3.6,1.2,3.1,3.7
2016-01-01,19:00,WS,2.7,2.4,2.2,0.8,1.3,2.2,2.5,0.7,0.8,2.8
2016-01-01,20:00,WS,3.0,2.1,0.9,0.0,1.3,0.6,2.5,0.4,0.7,1.2
2016-01-01,21:00,WS,1.3,2.8,1.0,0.1,1.6,1.8,2.5,1.6,0.7,3.8
2016-01-01,22:00,WS,5.4,3.0,0.6,0.1,1.0,0.7,1.5,2.8,0.7,2.9
2016-01-01,23:00,WS,4.3,4.1,1.3,0.0,1.4,0.6,1.4,0.7,1.5,1.7
2016-01-02,00:00,WS,2.3,1.6,1.5,0.1,1.3,0.6,0.6,0.7,0.2,1.8
2016-01-02,01:00,WS,3.0,2.7,1.0,0.1,1.3,0.6,1.7,0.5,0.4,1.4
2016-01-02,02:00,WS,0.8,4.1,3.4,0.7,1.4,0.2,3.3,0.4,1.2,2.7
2016-01-02,03:00,WS,0.9,3.0,3.2,0.3,0.9,0.1,2.8,0.5,1.1,3.6
2016-01-02,04:00,WS,0.6,1.8,1.5,0.0,0.7,0.1,0.8,0.3,0.2,3.0
2016-01-02,05:00,WS,0.5,0.7,0.7,0.0,0.2,0.7,0.3,0.2,0.3,0.8
2016-01-02,06:00,WS,0.7,1.8,0.3,0.0,0.5,0.4,1.3,0.5,0.5,1.1
2016-01-02,07:00,WS,1.5,0.5,1.2,0.0,1.4,2.4,2.1,0.4,1.4,2.0
2016-01-02,08:00,WS,3.7,3.1,3.6,1.1,0.9,2.4,3.8,1.3,2.9,3.7
2016-01-02,09:00,WS,3.1,3.2,4.3,1.4,1.0,2.6,4.3,2.2,2.6,3.5
2016-01-02,10:00,WS,2.3,3.3,2.9,1.5,2.0,1.9,3.3,1.8,2.6,3.8
2016-01-02,11:00,WS,2.4,2.9,2.5,0.7,1.4,2.0,2.3,1.4,2.1,3.0
2016-01-02,12:00,WS,2.4,3.3,2.6,1.6,1.2,2.6,2.6,1.3,2.6,3.0
2016-01-02,13:00,WS,3.8,3.9,4.7,1.3,1.6,2.8,3.2,1.3,2.7,3.7
2016-01-02,14:00,WS,3.8,4.8,6.0,3.0,1.8,2.7,3.7,2.6,3.2,3.6
2016-01-02,15:00,WS,7.3,6.7,6.6,2.8,3.9,4.5,5.2,3.2,4.6,5.0
2016-01-02,16:00,WS,5.9,6.8,5.8,2.7,3.3,4.5,5.2,3.0,4.4,5.5
2016-01-02,17:00,WS,4.7,6.8,6.6,3.2,3.8,4.9,5.2,3.3,5.4,5.3
2016-01-02,18:00,WS,6.7,7.1,7.0,3.1,3.8,4.7,5.7,2.5,4.5,5.4
2016-01-02,19:00,WS,5.2,4.4,4.4,3.7,2.3,2.3,5.4,1.3,2.9,6.0
2016-01-02,20:00,WS,3.1,2.1,3.4,3.8,2.2,1.6,5.1,0.3,2.3,5.3
2016-01-02,21:00,WS,2.6,1.7,2.6,3.0,2.4,1.5,4.5,1.3,2.2,5.0
2016-01-02,22:00,WS,3.1,3.4,2.3,0.4,1.5,2.3,3.9,1.0,2.1,3.2
2016-01-02,23:00,WS,2.2,3.5,3.2,0.0,0.8,1.0,4.4,0.5,2.5,3.6
2016-01-03,00:00,WS,2.7,2.2,4.5,0.5,1.7,2.9,3.3,0.9,4.1,4.8
2016-01-03,01:00,WS,2.9,2.3,4.8,0.3,2.4,3.3,2.2,1.2,2.6,4.5
2016-01-03,02:00,WS,3.1,1.2,1.4,0.0,1.5,2.4,1.4,1.0,0.6,4.5
2016-01-03,03:00,WS,4.6,0.4,0.3,0.0,0.8,1.6,1.2,0.4,0.8,1.9
2016-01-03,04:00,WS,1.6,0.6,0.1,0.0,1.1,1.1,0.6,0.3,0.5,1.0
2016-01-03,05:00,WS,0.5,0.2,0.1,0.0,0.2,1.1,1.3,0.0,0.4,0.5
2016-01-03,06:00,WS,1.0,0.1,0.6,0.0,0.5,0.9,1.5,0.0,0.9,0.0
2016-01-03,07:00,WS,0.8,0.5,0.2,0.0,0.3,0.3,1.9,0.1,0.3,0.0
2016-01-03,08:00,WS,0.4,0.8,0.2,0.2,0.1,0.4,1.8,0.5,0.2,0.4
2016-01-03,09:00,WS,1.1,1.3,0.8,0.7,0.8,1.5,1.5,0.8,0.7,1.5
2016-01-03,10:00,WS,2.1,2.2,1.9,0.5,0.9,2.0,1.9,1.2,1.3,2.4
2016-01-03,11:00,WS,2.8,2.3,2.1,0.4,0.9,2.2,1.7,1.1,1.9,3.0
2016-01-03,12:00,WS,2.8,3.3,4.3,2.5,1.2,2.3,3.3,1.5,3.2,3.4
2016-01-03,13:00,WS,3.7,4.1,4.2,2.7,1.3,3.5,3.7,1.7,3.6,3.3
2016-01-03,14:00,WS,4.1,3.9,4.7,2.1,1.5,3.4,3.1,1.2,4.1,4.7
2016-01-03,15:00,WS,5.5,6.6,6.8,3.9,2.4,3.7,3.9,1.9,4.6,5.1
2016-01-03,16:00,WS,5.9,6.9,7.3,3.9,3.0,4.5,5.3,2.1,5.1,5.7
2016-01-03,17:00,WS,5.6,6.0,7.0,3.5,3.8,4.4,5.0,2.3,4.7,5.8
2016-01-03,18:00,WS,4.0,5.0,6.5,3.7,3.7,3.7,4.0,1.1,3.9,4.3
2016-01-03,19:00,WS,6.1,4.3,4.2,3.2,2.6,3.0,3.3,0.9,3.2,4.7
2016-01-03,20:00,WS,6.0,2.1,3.3,3.3,1.5,2.0,2.6,0.8,2.2,4.2
2016-01-03,21:00,WS,3.4,1.5,2.1,2.1,1.6,1.8,4.1,0.7,2.7,5.2
2016-01-03,22:00,WS,4.1,2.9,1.8,0.6,1.4,0.5,3.6,1.7,0.5,4.2
2016-01-03,23:00,WS,2.5,3.8,2.2,0.3,1.3,1.3,3.1,0.5,0.7,1.6
2016-01-04,00:00,WS,0.7,2.3,2.1,0.0,0.8,0.4,2.1,0.9,0.7,1.5
2016-01-04,01:00,WS,1.4,2.7,1.0,0.0,1.1,0.6,1.5,0.6,0.9,0.7
2016-01-04,02:00,WS,2.8,1.4,0.6,0.2,1.3,0.7,0.7,0.7,0.7,0.5
2016-01-04,03:00,WS,1.4,0.8,0.4,0.1,0.6,0.6,0.5,0.3,0.5,1.3
2016-01-04,04:00,WS,1.0,1.7,1.2,0.0,0.3,1.0,2.4,0.6,0.8,1.2
2016-01-04,05:00,WS,1.6,0.8,1.4,0.0,0.7,0.5,1.2,0.6,0.5,0.8
2016-01-04,06:00,WS,0.6,0.3,0.2,0.0,0.6,0.7,1.4,0.4,0.1,0.4
2016-01-04,07:00,WS,0.9,0.6,0.6,0.0,0.4,1.7,1.4,0.2,0.2,0.4
2016-01-04,08:00,WS,1.4,0.8,0.6,0.2,0.6,0.7,1.8,0.6,0.2,0.8
2016-01-04,09:00,WS,0.3,1.6,1.1,0.5,0.7,0.9,2.7,0.7,1.0,1.2
2016-01-04,10:00,WS,0.6,1.0,0.8,0.3,1.0,1.9,1.3,0.7,1.4,1.4
2016-01-04,11:00,WS,1.8,2.1,1.8,0.3,0.7,1.8,1.3,0.7,2.0,2.4
2016-01-04,12:00,WS,5.1,3.3,2.4,1.6,0.8,2.3,1.7,0.8,3.8,4.8
2016-01-04,13:00,WS,4.9,6.5,4.2,1.3,1.5,2.5,3.7,1.9,3.6,4.7
2016-01-04,14:00,WS,4.9,6.6,5.5,1.4,1.5,4.2,4.6,1.8,4.4,5.5
2016-01-04,15:00,WS,8.1,6.1,5.7,2.1,2.9,2.7,4.5,3.0,4.3,6.1
2016-01-04,16:00,WS,7.4,8.3,7.7,2.4,4.2,6.7,4.6,3.3,6.0,6.3
2016-01-04,17:00,WS,6.3,7.6,7.7,4.6,3.6,5.7,6.0,2.8,5.5,5.6
2016-01-04,18:00,WS,5.9,6.2,7.3,5.0,4.2,5.5,5.4,2.5,4.9,6.0
2016-01-04,19:00,WS,5.2,4.1,4.8,4.1,3.9,4.3,5.1,1.4,4.2,6.1
