date,PM2_5,PM10,PM1_0,CO2,pressure,humidity,battery,lux,dB,run_time,mslPressure,temperature_int,temperature,NO2,O3
1622523529,,,,,,,,,,,,23.6,23.9,16.926371807678,46.516231128623
1622523319,,,,,,,,,,,,23.7,24,16.942620977133,47.308263625339
1622523071,,,,,842.8,46.7,2500,0,49,133200,842.8,,,,
1622522719,,,,,,,,,,,,23.7,24,16.935564377389,47.261700640356
1622522581,32,36,17,280,,,,,,,,,,,
1622522508,,,,,,,,,,,,23.8,24.1,16.971715363309,48.295017344647
1622521908,,,,,,,,,,,,23.8,24.2,16.973589772616,48.306862008776
1622521698,,,,,,,,,,,,23.9,24.3,16.995462169991,49.192237112662
1622521381,28,31,15,280,,,,,,,,,,,
1622521350,28,33,15,280,,,,,,,,,,,
1622521271,,,,,842.7,45.7,2500,0,51,,842.7,,,,
1622521098,,,,,,,,,,,,23.9,24.3,16.99746062109,49.20479554101
1622520889,,,,,,,,,,,,24,24.4,17.019401930573,50.089263926778
1622520641,,,,,842.3,45.3,2500,0,51,129600,842.3,,,,
1622520289,,,,,,,,,,,,24,24.4,17.020973126609,50.099526740652
1622520150,27,29,14,280,,,,,,,,,,,
1622520078,,,,,,,,,,,,24.1,24.4,17.04199101386,50.978530277815
1622519478,,,,,,,,,,,,24.1,24.4,17.04299713062,50.984436060649
1622519268,,,,,,,,,,,,24.2,24.5,17.064249319034,51.865928166186
1622518950,28,30,14,300,,,,,,,,,,,
1622518920,27,29,13,300,,,,,,,,,,,
1622518841,,,,,841.9,44.3,2500,0,53,,841.9,,,,
1622518668,,,,,,,,,,,,24.3,24.6,17.085280988705,52.743347034657
1622518458,,,,,,,,,,,,24.5,24.7,17.119419435758,54.448719952112
1622518212,,,,,841.6,42.9,2500,0,54,126000,841.6,,,,
1622517858,,,,,,,,,,,,24.6,24.8,17.146598065363,55.3679562548
1622517720,25,26,13,290,,,,,,,,,,,
1622517649,,,,,,,,,,,,24.9,25,17.194146503068,57.851130550293
1622517049,,,,,,,,,,,,25,25.2,17.221325132672,58.770366852981
1622516839,,,,,,,,,,,,25.2,25.4,17.252927614192,60.46214797025
1622516520,26,29,13,300,,,,,,,,,,,
1622516493,28,31,14,310,,,,,,,,,,,
1622516412,,,,,841.2,40.9,2500,0,55,,841.2,,,,
1622516239,,,,,,,,,,,,25.3,25.6,17.280106243797,61.381384272938
1622516030,,,,,,,,,,,,25.6,25.8,17.346412556992,64.046350506907
1622515786,,,,,840.8,39.5,2500,0,57,122400,840.8,,,,
1622515430,,,,,,,,,,,,25.7,25.9,17.360111978493,64.871931573998
1622515293,27,30,13,300,,,,,,,,,,,
1622515222,,,,,,,,,,,,25.9,26.1,17.405042061482,66.691764854214
1622514622,,,,,,,,,,,,26,26.3,17.423716937098,67.555517476773
1622514414,,,,,,,,,,,,26.2,26.4,17.462238194148,69.28897256717
1622514093,28,32,14,290,,,,,,,,,,,
1622514071,28,32,14,290,,,,,,,,,,,
1622513986,,,,,840.7,37.7,2500,0,56,,840.7,,,,
1622513814,,,,,,,,,,,,26.3,26.5,17.480513379545,70.149878381655
1622513607,,,,,,,,,,,,26.6,26.7,17.538853453186,72.754529665254
1622513362,,,,,840.6,36.6,2500,0,58,118800,840.6,,,,
1622513007,,,,,,,,,,,,26.7,26.9,17.556646253835,73.611519382927
1622512871,30,36,15,290,,,,,,,,,,,
1622512799,,,,,,,,,,,,26.9,27.2,17.595043469092,75.344993789366
1622512199,,,,,,,,,,,,27,27.3,17.612629533421,76.201247711597
1622511992,,,,,,,,,,,,27.2,27.4,17.650158456132,77.928259607983
1622511671,30,35,15,300,,,,,,,,,,,
1622511645,28,30,14,310,,,,,,,,,,,
1622511562,,,,,840.3,35,2500,0,58,,840.3,,,,
1622511392,,,,,,,,,,,,27.2,27.4,17.646754198052,77.906320234219
1622511186,,,,,,,,,,,,27.4,27.6,17.683373480953,79.627225145071
1622510942,,,,,840.1,35,2500,0,58,115200,840.1,,,,
1622510586,,,,,,,,,,,,27.6,27.7,17.719400119734,81.345371475996
1622510445,27,28,13,300,,,,,,,,,,,
1622510379,,,,,,,,,,,,28,27.9,17.795202215911,84.805562917607
1622509779,,,,,,,,,,,,28.3,28.2,17.849504040089,87.383881982757
1622509573,,,,,,,,,,,,28.8,28.7,17.944201530624,91.706977173677
1622509245,27,29,12,310,,,,,,,,,,,
1622509227,26,27,11,300,,,,,,,,,,,
1622509142,,,,,840,33,2500,10,58,,840,,,,
1622508973,,,,,,,,,,,,29.2,29,18.017757092116,95.152659029745
1622508768,,,,,,,,,,,,29.8,29.3,18.132893608204,100.35146176672
1622508526,,,,,839.7,29.7,2500,20,59,111600,839.7,,,,
1622508168,,,,,,,,,,,,30.3,29.9,18.228914211191,104.68433477484
1622508027,26,30,11,280,,,,,,,,,,,
1622507965,,,,,,,,,,,,30.9,30.6,18.345856224479,109.89588889407
1622507365,,,,,,,,,,,,31.4,31.5,18.444068232464,114.24311716591
1622507161,,,,,,,,,,,,31.7,31.8,18.503221468966,116.85428608925
1622506827,28,31,13,280,,,,,,,,,,,
1622506817,34,38,17,270,,,,,,,,,,,
1622506726,,,,,839.4,18.6,2500,45,58,,839.4,,,,
1622506561,,,,,,,,,,,,31.9,31.9,18.542666148249,118.59393910851
1622506359,,,,,,,,,,,,32.3,32.2,18.622561623573,122.08051236464
1622506119,,,,,839.1,17.5,2500,70,58,108000,839.1,,,,
1622505759,,,,,,,,,,,,32.6,32.5,18.682652064729,124.69744653141
1622505617,33,37,15,270,,,,,,,,,,,
1622505558,,,,,,,,,,,,33.1,33,18.783951335102,129.06661699546
1622504958,,,,,,,,,,,,33.4,33.5,18.851401589271,131.73138182021
1622504756,,,,,,,,,,,,33.7,33.9,18.9036084854,134.29430661293
1622504417,31,35,15,270,,,,,,,,,,,
1622504413,36,40,18,280,,,,,,,,,,,
1622504319,,,,,839.1,16.1,2500,110,59,,839.1,,,,
1622504156,,,,,,,,,,,,33.8,34.1,18.929794780666,135.20762335036
1622503956,,,,,,,,,,,,34,33.9,18.962182860205,136.89945667562
1622503717,,,,,839,17.6,2500,115,58,104400,839,,,,
1622503356,,,,,,,,,,,,34.2,34.2,19.007388591621,138.67984687638
1622503213,38,43,18,280,,,,,,,,,,,
1622503156,,,,,,,,,,,,34.5,34.2,19.058727195204,141.23672806204
1622502556,,,,,,,,,,,,34.8,34.6,19.118073385605,143.84738985423
1622502356,,,,,,,,,,,,35.2,35.3,19.196287405522,147.3237058301
1622502013,38,44,19,280,,,,,,,,,,,
1622501917,,,,,839,18.5,2500,120,58,,839,,,,
1622501756,,,,,,,,,,,,35.4,35.6,19.234615708673,149.05672551989
1622501557,,,,,,,,,,,,35.6,35.7,19.273150748144,150.79131881113
1622501319,,,,,839.1,18.1,2500,165,58,100800,839.1,,,,
1622500957,,,,,,,,,,,,35.5,35.9,19.25148508709,149.90699367994
1622500813,38,43,19,280,,,,,,,,,,,
1622500758,,,,,,,,,,,,35.6,35.8,19.26980161975,150.76890540467
1622500158,,,,,,,,,,,,35.5,35.8,19.248053264167,149.88508187102
1622499959,,,,,,,,,,,,35.5,35.7,19.247943004796,149.88383069562
1622499616,38,44,19,270,,,,,,,,,,,
1622499613,37,42,19,280,,,,,,,,,,,
1622499519,,,,,839.3,16.6,2500,185,60,,839.3,,,,
1622499359,,,,,,,,,,,,35.5,35.5,19.246867975929,149.87757492189
1622499161,,,,,,,,,,,,35.6,35.9,19.270284004499,150.77198369547
1622498923,,,,,839.4,15.8,2500,210,60,97200,839.4,,,,
1622498561,,,,,,,,,,,,35.5,35.2,19.248397824702,149.88766963152
1622498416,34,37,16,270,,,,,,,,,,,
1622498362,,,,,,,,,,,,36.5,36.2,19.460961056102,158.68935389495
1622497762,,,,,,,,,,,,36.6,36.5,19.474095398326,159.51550004132
1622497563,,,,,,,,,,,,36.7,36.9,19.502748747018,160.44457200607
1622497221,23,23,7,260,,,,,,,,,,,
1622497216,23,24,9,270,,,,,,,,,,,
1622497123,,,,,839.6,14.3,2500,205,59,,839.6,,,,
1622496963,,,,,,,,,,,,36.4,36.8,19.438785445456,157.80229221506
1622496766,,,,,,,,,,,,36.4,36.6,19.441886490266,157.82359227033
1622496529,,,,,839.8,16.9,2500,210,61,93600,839.8,,,,
1622496166,,,,,,,,,,,,36.4,36.4,19.444367326113,157.83954316673
1622496021,24,25,8,260,,,,,,,,,,,
1622495968,,,,,,,,,,,,36.5,36.3,19.4669564094,158.72818116326
1622495368,,,,,,,,,,,,36.5,36.6,19.469147814398,158.74295532999
1622495169,,,,,,,,,,,,36.5,36.8,19.472331553736,158.76343961048
1622494827,26,26,10,250,,,,,,,,,,,
1622494821,26,28,11,250,,,,,,,,,,,
1622494729,,,,,840,17.6,2500,210,58,,840,,,,
