Est,longitude,latitude,NO2_CND,NO2_TpCND,NO2_StCND,NO2_SlantCND,id,Time_Jul,Time,Num_Img
Aguilas,-103.416705,20.629863,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Atemajac,-103.355422,20.718442,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Centro,-103.333283,20.673822,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Las Pintas,-103.326533,20.576811,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Loma Dorada,-103.26403,20.62923,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Miravalle,-103.34336,20.61449,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Oblatos,-103.296666,20.700491,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Santa Fe,-103.377203,20.528998,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Tlaquepaque,-103.312511,20.640929,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Vallarta,-103.398976,20.679973,,,,,20190101T193350_20190101T201916,2458484.5,2019-01-01,0
Aguilas,-103.416705,20.629863,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Atemajac,-103.355422,20.718442,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Centro,-103.333283,20.673822,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Las Pintas,-103.326533,20.576811,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Loma Dorada,-103.26403,20.62923,7.352646974689481e-05,3.782523833453262e-05,3.570123509769803e-05,0.00018558315894466387,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Miravalle,-103.34336,20.61449,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Oblatos,-103.296666,20.700491,7.83842260716483e-05,4.263863229425624e-05,3.5745586501434445e-05,0.00020270132517907768,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Santa Fe,-103.377203,20.528998,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Tlaquepaque,-103.312511,20.640929,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Vallarta,-103.398976,20.679973,,,,,20190102T191350_20190102T195725,2458485.5,2019-01-02,1
Aguilas,-103.416705,20.629863,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Atemajac,-103.355422,20.718442,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Centro,-103.333283,20.673822,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Las Pintas,-103.326533,20.576811,7.353097316808999e-05,3.614050001488067e-05,3.73904658772517e-05,0.00017673292313702404,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Loma Dorada,-103.26403,20.62923,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Miravalle,-103.34336,20.61449,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Oblatos,-103.296666,20.700491,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Santa Fe,-103.377203,20.528998,6.391009083017707e-05,2.6564975996734574e-05,3.734511119546369e-05,0.00017169874627143145,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Tlaquepaque,-103.312511,20.640929,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Vallarta,-103.398976,20.679973,,,,,20190102T205350_20190102T214010,2458485.5,2019-01-02,2
Aguilas,-103.416705,20.629863,,,,,20190102T205850_20190102T214259,2458485.5,2019-01-02,3
Atemajac,-103.355422,20.718442,,,,,20190102T205850_20190102T214259,2458485.5,2019-01-02,3
Centro,-103.333283,20.673822,,,,,20190102T205850_20190102T214259,2458485.5,2019-01-02,3
Las Pintas,-103.326533,20.576811,,,,,20190102T205850_20190102T214259,2458485.5,2019-01-02,3
