,0,1,2,3,4,5,6,7,8,9,10,11,12
model220-1,50,50,2,relu,1.0,0.8111270820821863,127.38403423310513,7.440244412379402,11.286453572008575,0.7902490593362803,126.55320337347008,7.433648443813217,11.249586809010813
model220-0.75,50,50,2,relu,0.75,0.8006441765915208,134.45415739637625,7.556164393611493,11.595436921322811,0.784269975754843,130.16068269191445,7.524787434772282,11.408798477136601
model220-0.5,50,50,2,relu,0.5,0.8018728662512811,133.6254761465378,7.504763304382044,11.559648616914695,0.7850900253687096,129.66590586168135,7.444491183720075,11.38709382861498
model220-0.1,50,50,2,relu,0.1,0.812074081042621,126.74533732872823,7.501267200330407,11.258123170792201,0.7874965868504996,128.21390729770826,7.583505650797533,11.323158009040952
model220-0.05,50,50,2,relu,0.05,0.8128404269105468,126.22848065414276,7.5257658400129674,11.235144887990664,0.7915880520369867,125.74532229779115,7.545624895520567,11.213622175630457
model220-0.01,50,50,2,relu,0.01,0.8074371223867196,129.8727020492641,7.677228668502594,11.396170499306514,0.7850471596854877,129.6917688662017,7.702610577072063,11.388229399963882
model220-0.005,50,50,2,relu,0.005,0.8004716870226228,134.57049179408435,7.842204638213931,11.60045222368871,0.7753991470266528,135.51289607688193,7.847844140899332,11.641000647576734
model226-1,50,50,3,relu,1.0,0.8033193693445105,132.64989213175377,7.520334383194204,11.517373491024495,0.7804943725682195,132.438692394385,7.585470420471259,11.508201092889582
model226-0.75,50,50,3,relu,0.75,0.8114323424358427,127.17815349716439,7.5051955891842255,11.27732918279698,0.7893785330129874,127.07843531991591,7.456986293026457,11.27290713702175
model226-0.5,50,50,3,relu,0.5,0.8111103799676098,127.39529885885683,7.40722113312623,11.286952593984651,0.791014185748594,126.09156444990892,7.434652565281904,11.229050024374676
model226-0.1,50,50,3,relu,0.1,0.8124450103090302,126.49516664840402,7.530930233072271,11.247007008462475,0.7829299219549144,130.96920398167418,7.580151877809797,11.444177732876843
model226-0.05,50,50,3,relu,0.05,0.802544614037785,133.17242049422205,7.545998460455938,11.540035549954863,0.784304199579044,130.14003375193536,7.518937711939337,11.407893484422765
model226-0.01,50,50,3,relu,0.01,0.807900552594005,129.56014474861828,7.5047097928533,11.382448978520321,0.7847375229252015,129.87858816614096,7.554720359958967,11.396428746152935
model226-0.005,50,50,3,relu,0.005,0.8140906026383239,125.38530827421562,7.685278545248743,11.19755813890759,0.7814153945644742,131.88299389007972,7.819845646905197,11.484032126830703
model227-1,50,50,3,relu,1.0,0.8077245047881417,129.67887897465755,7.560957073277378,11.387663455452904,0.7826165787975943,131.15825953579252,7.597588155174707,11.452434655381909
model227-0.75,50,50,3,relu,0.75,0.8172448997414707,123.25791439160777,7.475600184871919,11.102158096136433,0.7906268205662093,126.32528118343592,7.567420655656048,11.239451996580435
model227-0.5,50,50,3,relu,0.5,0.8116591027536063,127.02521656793634,7.515643754550382,11.270546418339102,0.7978942643233391,121.94046991684027,7.469426524944683,11.042665888128658
