,datetime,O3_x,STATUS,NO,STATUS2,NO2_x,STATUS3,NOX,STATUS4,SO2,STATUS5,CO,STATUS6,PM10_x,STATUS7,Temp Int,STATUS8,Temp Ext,STATUS9,RH,STATUS10,WS,STATUS11,WD,STATUS12,PRECIPITACION,STATUS13,Rad Solar,PM10 Analogico,STATUS14,PM2.5 Analogico,O32,STATUS15,NO3,STATUS16,NO22,STATUS17,NOX2,STATUS18,SO22,STATUS19,CO2_x,STATUS20,PM2.5 Digital,UV,UVI,STATUS21,date,PM2_5,PM10_y,PM1_0,CO2_y,pressure,humidity,battery,lux,dB,run_time,mslPressure,temperature_int,temperature,NO2_y,O3_y
0,2021-05-01 00:00:00,0.015,144,0.004,144,0.012,144,0.015,144,0.0019,144,0.652,144,31.6,151,24.2,144,23.7,144,54.0,144,6.4,144,265.6,144,0.0,144,7,31.3,144,7,0.015,144,0.003,144,0.012,144,0.015,144,0.0021,151,0.651,144,7,7,0.22,151,,,,,,,,,,,,,,,,
1,2021-05-01 01:00:00,0.015,144,0.003,144,0.011,144,0.013,144,0.0007,144,0.629,144,27.0,144,24.2,144,22.7,144,57.0,144,4.6,144,277.6,144,0.0,144,7,26.7,151,7,0.016,144,0.002,144,0.01,144,0.012,144,0.0009,144,0.63,144,0,0,0.22,151,,,,,,,,,,,,,,,,
2,2021-05-01 02:00:00,0.015,144,0.003,144,0.008,144,0.011,144,0.0003,146,0.646,144,26.3,144,24.2,144,21.4,144,63.9,144,2.8,144,265.1,144,0.0,144,7,26.1,144,7,0.016,144,0.003,144,0.008,144,0.011,144,0.0004,144,0.647,144,0,0,0.22,151,,,,,,,,,,,,,,,,
3,2021-05-01 03:00:00,0.014,144,0.002,144,0.009,144,0.011,144,0.0005,146,0.637,144,26.7,144,24.2,144,20.6,144,66.6,144,1.9,144,268.6,144,0.0,144,7,26.5,144,7,0.015,144,0.002,144,0.009,144,0.01,144,0.0007,144,0.637,144,0,0,0.22,151,,,,,,,,,,,,,,,,
4,2021-05-01 04:00:00,0.015,144,0.002,144,0.007,144,0.009,144,0.0004,146,0.615,144,19.4,151,24.3,144,20.0,144,64.7,144,3.9,144,294.8,144,0.0,144,7,19.2,144,7,0.015,144,0.002,144,0.007,144,0.008,144,0.0005,144,0.616,144,0,0,0.22,151,,,,,,,,,,,,,,,,
5,2021-05-01 05:00:00,0.015,144,0.003,144,0.008,144,0.01,144,0.0003,146,0.611,144,16.3,151,24.3,144,19.3,144,66.3,144,3.5,144,294.1,144,0.0,144,7,16.2,144,7,0.015,144,0.002,144,0.008,144,0.01,144,0.0004,144,0.614,144,0,0,0.22,151,1619846530.0,17.0,18.0,7.0,300.0,840.9,55.6,2500.0,0.0,53.0,36000.0,840.9,21.475,21.825,0.008781126,0.013597432
6,2021-05-01 06:00:00,0.015,144,0.002,144,0.008,144,0.01,144,0.0003,146,0.627,144,18.2,151,24.2,144,18.9,144,72.9,144,3.2,144,279.6,144,0.0,144,7,18.0,144,7,0.015,144,0.002,144,0.008,144,0.01,144,0.0005,144,0.628,144,0,0,0.22,151,1619850893.0,16.0,16.0,6.5,315.0,840.9,58.85,2500.0,0.0,51.5,39600.0,840.9,20.26666667,20.51666667,0.008642293,0.008213659
7,2021-05-01 07:00:00,0.012,144,0.004,144,0.014,144,0.017,144,0.0006,144,0.675,144,23.0,151,24.2,144,18.8,144,71.9,144,1.1,144,194.5,144,0.0,144,7,22.7,144,7,0.012,144,0.003,144,0.013,144,0.017,144,0.0009,144,0.674,144,0,0,0.26,151,1619854318.0,14.33333333,14.33333333,6.333333333,326.6666667,840.85,66.25,2500.0,0.0,49.0,43200.0,840.85,19.0,19.14,0.008503296,0.002555528
8,2021-05-01 08:00:00,0.016,144,0.004,144,0.009,144,0.013,144,0.0004,146,0.663,144,22.3,151,24.2,144,19.3,144,68.4,144,2.7,144,275.7,144,0.0,144,7,22.1,151,7,0.016,144,0.004,144,0.009,144,0.012,144,0.0006,144,0.663,144,0,0,0.76,151,1619858061.0,14.66666667,14.66666667,6.333333333,320.0,840.65,70.8,2500.0,0.0,49.5,46800.0,840.65,17.925,18.075,0.008387484,
9,2021-05-01 09:00:00,0.02,144,0.005,144,0.01,144,0.015,144,0.0005,146,0.647,144,25.4,151,24.3,144,20.5,144,61.1,144,2.7,144,230.8,144,0.0,144,7,25.1,144,7,0.02,144,0.005,144,0.01,144,0.014,144,0.0008,144,0.647,144,0,0,2.13,151,1619861588.0,12.66666667,12.66666667,5.333333333,310.0,840.4,67.65,2500.0,0.0,49.5,50400.0,840.4,17.43333333,17.63333333,0.008334997,
