ESTACION,NO_STA,HORA,VIAJES_TOTAL
Alameda,12.0,268.25753424657535,2556.5205479452056
Artes Plasticas,25.0,260.2912087912088,1516.9203296703297
Bicentenario,14.0,266.1123287671233,3759.9753424657533
Ciencias de La Salud,10.0,265.6849315068493,3552.849315068493
Clemente Orozco,24.0,269.64109589041095,4330.586301369863
Escultura,26.0,266.5013698630137,3104.8301369863016
Fray  Angelico,27.0,259.35068493150686,11297.309589041095
Juan Alvarez,11.0,266.63835616438354,3974.2520547945205
Lopez de Legazpi,23.0,265.6794520547945,1177.9013698630138
Ninos Heroes,16.0,266.68219178082194,7028.153424657534
San Juan de Dios,13.0,267.1287671232877,12576.775342465753
