,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model1,50,5,1,relu,1,0.77,153.147,8.309,12.375,12.317,0.933,0.757,155.685,8.3,12.477,12.437,0.929
model2,50,5,1,relu,0.75,-0.504,1000.525,20.456,31.631,25.794,0.398,-0.525,976.515,20.416,31.249,25.304,0.401
model3,50,5,1,relu,0.5,0.753,164.516,8.459,12.826,12.806,0.923,0.738,168.005,8.512,12.962,12.927,0.919
model4,50,5,1,relu,0.1,0.715,189.513,9.138,13.766,13.761,0.911,0.706,188.523,9.123,13.73,13.722,0.909
model5,50,5,1,relu,0.05,0.775,149.374,8.139,12.222,12.222,0.933,0.758,154.946,8.184,12.448,12.444,0.929
model6,50,5,1,relu,0.01,0.768,154.066,8.151,12.412,12.412,0.931,0.753,157.873,8.211,12.565,12.56,0.926
model7,50,5,1,relu,0.005,0.775,149.946,7.952,12.245,12.183,0.931,0.762,152.613,7.991,12.354,12.267,0.928
model8,50,5,2,relu,1,0.775,149.785,8.244,12.239,12.176,0.935,0.765,150.222,8.192,12.257,12.218,0.933
model9,50,5,2,relu,0.75,-0.504,1000.356,20.453,31.628,25.794,0.398,-0.525,976.345,20.413,31.247,25.304,0.401
model10,50,5,2,relu,0.5,0.761,159.187,8.436,12.617,12.617,0.928,0.749,160.718,8.461,12.677,12.676,0.925
model11,50,5,2,relu,0.1,0.767,154.912,8.263,12.446,12.43,0.932,0.753,158.142,8.289,12.575,12.57,0.928
model12,50,5,2,relu,0.05,0.751,165.519,8.555,12.865,12.826,0.927,0.741,165.873,8.566,12.879,12.853,0.924
model13,50,5,2,relu,0.01,0.771,152.51,8.349,12.35,12.215,0.935,0.759,154.39,8.361,12.425,12.325,0.932
model14,50,5,2,relu,0.005,0.78,146.503,8.096,12.104,12.089,0.936,0.762,152.588,8.144,12.353,12.345,0.931
model15,50,5,3,relu,1,0.777,148.591,7.946,12.19,12.187,0.932,0.763,151.797,7.976,12.321,12.311,0.929
model16,50,5,3,relu,0.75,0.773,151.015,8.332,12.289,12.128,0.938,0.757,155.335,8.378,12.463,12.357,0.934
model17,50,5,3,relu,0.5,0.784,143.923,8.023,11.997,11.941,0.938,0.762,152.522,8.161,12.35,12.311,0.933
model18,50,5,3,relu,0.1,0.775,149.915,8.132,12.244,12.244,0.933,0.756,156.44,8.202,12.508,12.504,0.928
model19,50,5,3,relu,0.05,0.775,149.631,7.937,12.232,12.191,0.931,0.764,150.811,8.018,12.281,12.22,0.929
model20,50,5,3,relu,0.01,0.766,155.77,8.267,12.481,12.48,0.929,0.75,159.758,8.361,12.64,12.64,0.926
model21,50,5,3,relu,0.005,0.782,144.84,7.887,12.035,12.019,0.934,0.765,150.453,7.981,12.266,12.235,0.93
model22,50,5,4,relu,1,0.761,158.86,8.476,12.604,12.598,0.929,0.747,161.823,8.453,12.721,12.721,0.926
model23,50,5,4,relu,0.75,0.755,162.737,8.299,12.757,12.724,0.925,0.745,163.286,8.295,12.778,12.729,0.922
model24,50,5,4,relu,0.5,0.752,164.858,8.736,12.84,12.723,0.929,0.739,167.242,8.723,12.932,12.845,0.926
model25,50,5,4,relu,0.1,0.764,156.937,8.127,12.527,12.438,0.927,0.752,158.924,8.145,12.607,12.482,0.924
model26,50,5,4,relu,0.05,0.783,144.684,7.979,12.028,12.028,0.936,0.765,150.24,8.071,12.257,12.254,0.931
model27,50,5,4,relu,0.01,0.748,167.988,8.52,12.961,12.955,0.922,0.737,168.224,8.435,12.97,12.953,0.919
model28,50,5,4,relu,0.005,0.776,148.861,8.104,12.201,12.199,0.934,0.759,154.507,8.218,12.43,12.423,0.929
model29,50,5,5,relu,1,0.754,163.747,8.36,12.796,12.736,0.924,0.743,164.809,8.369,12.838,12.75,0.921
model30,50,5,5,relu,0.75,0.76,159.762,8.495,12.64,12.544,0.931,0.745,162.97,8.471,12.766,12.7,0.927
model31,50,5,5,relu,0.5,0.776,148.784,8.132,12.198,12.16,0.935,0.763,151.944,8.177,12.327,12.307,0.932
model32,50,5,5,relu,0.1,0.783,144.108,7.951,12.005,12.003,0.937,0.766,150.122,8.037,12.252,12.252,0.932
model33,50,5,5,relu,0.05,0.77,153.101,8.117,12.373,12.373,0.931,0.749,160.49,8.243,12.668,12.666,0.926
model34,50,5,5,relu,0.01,0.78,146.414,8.013,12.1,12.096,0.935,0.761,152.891,8.113,12.365,12.365,0.931
model35,50,5,5,relu,0.005,0.78,146.478,8.023,12.103,12.098,0.935,0.763,151.908,8.104,12.325,12.323,0.931
model36,50,5,6,relu,1,0.775,149.509,7.978,12.227,12.224,0.933,0.762,152.145,8.057,12.335,12.325,0.93
model37,50,5,6,relu,0.75,0.765,156.082,8.068,12.493,12.42,0.927,0.751,159.168,8.123,12.616,12.513,0.923
model38,50,5,6,relu,0.5,0.765,156.47,8.391,12.509,12.375,0.932,0.752,159.003,8.443,12.61,12.507,0.929
model39,50,5,6,relu,0.1,0.775,149.61,8.149,12.232,12.216,0.935,0.761,152.964,8.188,12.368,12.364,0.931
model40,50,5,6,relu,0.05,0.762,158.114,8.347,12.574,12.574,0.929,0.747,161.84,8.359,12.722,12.721,0.925
model41,50,5,6,relu,0.01,0.762,158.636,8.478,12.595,12.531,0.931,0.753,157.853,8.447,12.564,12.532,0.929
model42,50,5,6,relu,0.005,0.78,146.123,8.028,12.088,12.079,0.936,0.762,152.2,8.146,12.337,12.336,0.932
model43,50,5,7,relu,1,-0.504,1000.511,20.456,31.631,25.794,0.398,-0.525,976.501,20.416,31.249,25.304,0.401
model44,50,5,7,relu,0.75,0.747,168.026,8.495,12.962,12.955,0.924,0.735,169.75,8.465,13.029,13.012,0.921
model45,50,5,7,relu,0.5,0.763,157.397,8.508,12.546,12.507,0.928,0.747,162.156,8.502,12.734,12.713,0.923
model46,50,5,7,relu,0.1,0.776,149.157,8.102,12.213,12.212,0.933,0.763,151.607,8.129,12.313,12.306,0.93
model47,50,5,7,relu,0.05,0.749,167.112,8.761,12.927,12.862,0.926,0.732,171.805,8.838,13.107,13.058,0.922
model48,50,5,7,relu,0.01,0.71,193.161,9.13,13.898,13.891,0.907,0.704,189.514,9.072,13.766,13.75,0.907
model49,50,5,7,relu,0.005,-0.504,1000.728,20.459,31.634,25.794,0.398,-0.525,976.718,20.419,31.252,25.304,0.401
model50,50,5,8,relu,1,-0.504,1000.467,20.455,31.63,25.794,0.398,-0.525,976.456,20.415,31.248,25.304,0.401
model51,50,5,8,relu,0.75,0.725,183.137,9.368,13.533,13.17,0.924,0.715,182.528,9.345,13.51,13.205,0.922
model52,50,5,8,relu,0.5,-0.504,1000.509,20.455,31.631,25.794,0.398,-0.525,976.499,20.416,31.249,25.304,0.401
model53,50,5,8,relu,0.1,0.776,148.755,8.003,12.197,12.196,0.933,0.766,149.526,8.044,12.228,12.224,0.931
model54,50,5,8,relu,0.05,0.778,148.01,7.97,12.166,12.123,0.933,0.758,154.855,8.096,12.444,12.386,0.928
model55,50,5,8,relu,0.01,0.774,150.252,7.935,12.258,12.217,0.931,0.762,152.494,7.975,12.349,12.286,0.927
model56,50,5,8,relu,0.005,0.772,151.748,8.154,12.319,12.316,0.933,0.76,153.439,8.233,12.387,12.387,0.93
model57,50,5,9,relu,1,0.771,152.348,8.222,12.343,12.299,0.933,0.757,155.313,8.278,12.462,12.437,0.93
