,6c_model,6b_model,epochs,hidden_neurons,hidden_layers,activation,regularization,random_state_trainsplit,random_WeightInit,acc_train,mse_train,mae_train,rmse_train,ia_train,acc_test,mse_test,mae_test,rmse_test,ia_test
model1,model59,model1254,200,100,10,relu,1.0,16,0,0.8609602633292073,91.91389299615801,6.459053844279529,9.587173357990249,0.965,0.7227261303244574,182.25404483594193,8.36622903015249,13.50014980790739,0.926
model2,model59,model1254,200,100,10,relu,1.0,16,2,0.8762378582304575,81.81445483110328,5.998836943486796,9.04513431802443,0.966,0.7577470901124966,159.2345241617584,7.979056732175309,12.618816274189841,0.931
model3,model59,model1254,200,100,10,relu,1.0,16,4,0.8742058826337504,83.15771677936739,6.094638887223008,9.119085303876009,0.968,0.7458550029104958,167.05127586880744,8.194086319654861,12.924831753984554,0.932
model4,model59,model1254,200,100,10,relu,1.0,16,6,0.8775320191223535,80.95893418221728,5.9986399871015825,8.997718276441939,0.966,0.7573225652795198,159.51356728988966,7.86379517992339,12.629868063043638,0.929
model5,model59,model1254,200,100,10,relu,1.0,16,8,0.8786341737517086,80.23034158636372,5.97646182826718,8.957139140728122,0.966,0.7350387138324064,174.16089797962294,8.199042989306268,13.197003371206016,0.921
model6,model59,model1254,200,100,10,relu,1.0,16,10,0.8348300441935962,109.18758915744569,7.099759497345402,10.449286538201816,0.96,0.6898582456801393,203.85833422908877,8.901288041441424,14.277896701863646,0.922
model7,model59,model1254,200,100,10,relu,1.0,16,12,0.8822565325818992,77.83573764159252,5.8923108735435825,8.822456440334093,0.969,0.7527528325480755,162.51728442738803,7.986736807839305,12.74822671697472,0.931
model8,model59,model1254,200,100,10,relu,1.0,16,14,0.873568488799719,83.5790736523043,6.213067491399437,9.142159135144405,0.968,0.7362718593041714,173.3503428762398,8.26761903464597,13.166257740004934,0.929
model9,model59,model1254,200,100,10,relu,1.0,16,16,0.8913855473561256,71.80089244402642,5.612536435222612,8.473540726521966,0.97,0.7340700189681952,174.79762785763444,8.165474309114776,13.221105394695046,0.922
model10,model59,model1254,200,100,10,relu,1.0,16,18,0.8483646479292687,100.24037630094057,6.477692492175621,10.012011601118957,0.954,0.7417025190165902,169.78073244062932,7.912720004980097,13.029993570245125,0.917
model11,model59,model1254,200,100,10,relu,1.0,16,20,0.8565862997727857,94.80535430010109,6.354140620243547,9.73680411121129,0.962,0.7545243305984207,161.35286642625363,8.052394121660663,12.702474815021427,0.932
model12,model59,model1254,200,100,10,relu,1.0,16,22,0.8673744306910699,87.67373038743857,6.372759594452553,9.363425141871886,0.966,0.7382274181497246,172.06494043303863,8.383573003871552,13.117352645752824,0.929
model13,model59,model1254,200,100,10,relu,1.0,16,24,0.8632340131035674,90.41080331500157,6.282287884486706,9.508459565828819,0.961,0.7610646558842052,157.0538650841082,7.928947694873792,12.532113352667546,0.929
model14,model59,model1254,200,100,10,relu,1.0,16,26,0.8609886995919473,91.89509486209012,6.446636980065475,9.586192928482616,0.966,0.7219132231514565,182.7883743799734,8.502369894976704,13.519925087809229,0.927
model15,model59,model1254,200,100,10,relu,1.0,16,28,0.8795634909333435,79.61600526757071,5.978062542032036,8.922780131078582,0.966,0.7494717020388004,164.67399435338928,8.113710801738454,12.83253655180414,0.925
model16,model59,model1254,200,100,10,relu,1.0,16,30,0.8497210271207906,99.3437254955169,6.915707942304223,9.967132260360394,0.962,0.737774757106308,172.36247768816796,8.504755292293657,13.128689107758168,0.93
