,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,model51,model52,model53,model54,model55,model56,model57,model58,model59,model60,model61,model62,model63,model64,model65,model66,model67,model68,model69,model70,model71,model72,model73,model74,model75,model76,model77,model78,model79,model80,model81,model82,model83,model84,model85,model86,model87,model88,model89,model90,model91,model92,model93,model94,model95,model96,model97,model98,model99,model100,model101,model102,model103,model104,model105,model106,model107,model108,model109,model110,model111,model112,model113,model114,model115,model116,model117,model118,model119,model120,model121,model122,model123,model124,model125,model126,model127,model128,model129,model130,model131,model132,model133,model134,model135,model136,model137,model138,model139,model140,model141,model142,model143,model144,model145,model146,model147,model148,model149,model150,model151,model152,model153,model154,model155,model156,model157,model158,model159,model160,model161,model162,model163,model164,model165,model166,model167,model168,model169,model170,model171,model172,model173,model174,model175,model176,model177,model178,model179,model180,model181,model182,model183,model184,model185,model186,model187,model188,model189,model190,model191,model192,model193,model194,model195,model196,model197,model198,model199,model200,model201,model202,model203,model204,model205,model206,model207,model208,model209,model210,model211,model212,model213,model214,model215,model216,model217,model218,model219,model220,model221,model222,model223,model224,model225,model226,model227,model228,model229,model230,model231,model232,model233,model234,model235,model236,model237,model238,model239,model240,model241,model242,model243,model244,model245,model246,model247,model248,model249,model250,model251,model252,model253,model254,model255,model256,model257,model258,model259,model260,model261,model262,model263,model264,model265,model266,model267,model268,model269,model270,model271,model272,model273,model274,model275,model276,model277,model278,model279,model280,model281,model282,model283,model284,model285,model286,model287,model288,model289,model290,model291,model292,model293,model294,model295,model296,model297,model298,model299,model300
0,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1209,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model737,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model1230,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788
1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu
5,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
6,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98
7,0.8720357126067578,0.8608201262861888,0.8768334878105168,0.8677000456059568,0.8700761631812185,0.8485599159098267,0.8662200982014596,0.8714006304397207,0.8681227670580742,0.8564818903397503,0.8744487307957058,0.8724948371771644,0.8452694584072861,0.8506671668742714,0.8772669807133675,0.8552168360439004,0.8397730677324249,0.8612074051809764,0.8817537240999458,0.8749653341912689,0.860214796587958,0.8654926588083037,0.8649895050330116,0.8676141066359349,0.8732021197568026,0.8721054583683521,0.8636503223257559,0.8636384387960592,0.857127284323089,0.8505533037999362,0.8483669236575343,0.8655408005623185,0.8575097118623283,0.8564395805985384,0.8708624860120179,0.8564853174643425,0.8656702736845657,0.8594713252305928,0.8562553374321221,0.8741837911231916,0.8710287833450377,0.8783865316518835,0.8675274733909972,0.8641109837854881,0.8483910258673613,0.8677454407277543,0.8661656790206297,0.8504783106474249,0.8745392879337086,0.8785622841863369,0.835568019309193,0.8738531173511966,0.8911692958330601,0.8664549162531685,0.8856461754547508,0.8725466927712733,0.8683658873548674,0.8881244311222555,0.8947810779214558,0.85775877825063,0.8802332987256307,0.8905333785977216,0.8858603957771,0.8728977728408243,0.8823773742311054,0.8519618259564306,0.8883039734047542,0.8600445703246902,0.8794598890504619,0.8655493930939042,0.8694651424927602,0.8906827490804796,0.8753742280374952,0.8815451997334575,0.8613950828488226,0.8704686217262962,0.8872492133398437,0.8754290738148423,0.8504915121507914,0.8638461117708724,0.8531124292636356,0.8795538725252491,0.8806568397093739,0.8516588866784907,0.8083637837588727,0.8726510734744719,0.8806185293964306,0.8761450459526874,0.8628042811811368,0.8786608620241031,0.8556175064091995,0.87589514981502,0.8819044953854481,0.8771167434563647,0.8751806902241857,0.8773167597941623,0.874849686654339,0.8785842808910724,0.8715925579196877,0.8751594272876857,0.8432598866019256,0.8281314814794594,0.8437122272836184,0.8345915450676434,0.8132378066520184,0.8283862560782478,0.8381294780335937,0.8527401646575581,0.8386501950896287,0.8384481530517646,0.8362847852777539,0.8453717370032477,0.8321505648412992,0.8397969421812231,0.84714850807594,0.8316351530632943,0.8311518586735829,0.843381682181631,0.8287733444379279,0.8440415546696555,0.8400532506776477,0.8159095789365065,0.8336292611414649,0.8119251045647299,0.8396932472827808,0.8450473308999484,0.8320900084954082,0.8284806841355795,0.8433624958256052,0.8388117778277178,0.8326800811465446,0.857592745076811,0.8024591268745493,0.8334478991659813,0.820700565042378,0.8513420764349526,0.8380507106658326,0.8368555832687574,0.8339384485060424,0.824295525766154,0.8380877112029811,0.8332577471481873,0.8431082908963137,0.8339884613031089,0.8390563062052785,0.83943400607666,0.8287633259681706,0.8265422095234614,0.8347197665316255,0.8375414188001434,0.8203592189602998,0.829953585489734,0.8407016127726642,0.8301996210461866,0.8271114630683113,0.8316282739317858,0.8239241969224336,0.8376067280003469,0.8346316631011085,0.8513041959164415,0.8249196122417424,0.8401457247659536,0.8397660735615171,0.8291379369395891,0.8348945641427473,0.8359484903122696,0.832494955911181,0.842025783052053,0.8441333918830016,0.8299657240048326,0.8306350983018592,0.838101460652808,0.8384326252454006,0.8274128448973437,0.8429697928604527,0.83815519317938,0.8386886512048926,0.8173911984299624,0.8170632224216515,0.8299126256171543,0.8365553315530647,0.8318374224420889,0.8334548239963608,0.8374083343669526,0.8410196661532413,0.8139747460708706,0.8168866214712696,0.8098984035368686,0.8157308698341906,0.8462286147025813,0.8412155119134643,0.8389104312581382,0.8243450169721627,0.8400911765360084,0.8375363725686712,0.8349075167751874,0.8430762738421731,0.8490387356102007,0.8323584695033104,0.8483311231814651,0.879522704764461,0.8757153268872951,0.8866358895836298,0.8644489298884371,0.8686345690901704,0.8755559076410547,0.8734741583454455,0.8704661003801761,0.8700666991061476,0.8810970345196286,0.85532326721805,0.8721405094680499,0.8740055853670534,0.8723315987677405,0.8698124116596595,0.869110515082952,0.8773743484787119,0.8672694309539233,0.8747521791461467,0.872988285378695,0.8687407221469158,0.8808160473977346,0.8702897303806862,0.8397318472374161,0.8828538191119641,0.8465347694156167,0.8643700003413984,0.8805088233003353,0.8680099864722721,0.8777473697067878,0.8705252804348309,0.8786715892185933,0.8641607307468546,0.8724661219864499,0.8693633604806318,0.8660978952600518,0.8671553756448769,0.8857864567943502,0.8777699154289333,0.877122347233307,0.8796549928399382,0.878019891559959,0.8863155838316312,0.884542277012524,0.889333495608401,0.8729850288377333,0.874377570351605,0.8724318749070005,0.880246833467834,0.8749838312926729,0.8381119828656662,0.8261357826084424,0.8375780981104747,0.8515779451650206,0.8485661176801089,0.836466179272884,0.8380091843278517,0.8438732692139777,0.8287553612072682,0.8472044979758669,0.8441462405672513,0.8387009976486014,0.8345155019400179,0.8407712050270197,0.833819013865234,0.8228579089873862,0.8322866233025207,0.8247376117059911,0.840538796070865,0.8325364236886508,0.8425010924506409,0.8367075861082722,0.825950289282196,0.8420700809699659,0.8460528847927464,0.8370168730149342,0.8362719745229462,0.8406968977795833,0.8434398475147691,0.8412609309549164,0.83616129716855,0.8453198485819051,0.8338422309191538,0.8388212930294481,0.8297027750519492,0.8408609679732807,0.8230134869625354,0.8431637696258403,0.8324504135458511,0.8294064542502813,0.8458709471876604,0.8362004395660165,0.8223271833874749,0.8452909394288411,0.8353099874831317,0.838111086781256,0.8481622743389251,0.8227598669593985,0.8342009218594086,0.8365603592048515
8,84.13767078139259,89.54381165418755,81.29021631988635,87.73872471819196,85.9083423551067,99.29042694949814,89.61334227715537,85.66543891290237,87.1790336165088,93.94081181341726,83.66709420598492,83.82574835000413,103.18032045311814,97.93350611076964,79.21842350549164,93.81147308315263,103.89912356451626,91.77710643485192,79.5826774596204,83.01144297091358,91.93691081168022,89.72596287965054,88.1550775385771,88.29006587213445,83.64450490037304,83.82241268412717,90.38925462109773,89.69200350564746,94.25333790836324,98.31909109046511,99.7403680848106,87.19194192865552,94.483893928317,93.51183541525452,84.51645931278692,94.34107470507585,88.7923840876653,93.82478188455734,94.38966858841852,83.03978061518346,84.4017941484951,79.211967267106,87.97869504400425,90.14431495371105,98.64961134163386,86.42409221180431,88.29758485783154,99.0329715081035,82.14489413958755,79.87305015653037,108.11550737417733,81.15880837695026,71.82854597981793,88.56446998789522,75.61312649927027,83.56369693594881,88.17597137708917,74.52501318095739,69.55623605643632,93.10501563949374,79.81227065062585,71.96666593918627,76.11271064448638,83.3545207684202,75.919903512087,95.92053937831011,72.4292670691883,92.54603519874381,81.12648535969284,89.26275617566156,85.8529462312508,72.92238112216776,81.37437458729362,78.99921851675475,91.43322940124183,84.89519964404346,74.74502131572737,81.93669718543836,98.63096644209138,89.57392086607322,96.61889559794977,78.10497010416388,79.13526350002857,96.62586548625934,125.419902959468,83.71432371019608,78.91153865594173,82.69247587995312,90.08931670730576,80.0848752915432,94.4872958382554,80.83470905049623,78.43051425460895,81.51672069595988,81.21799166415059,80.16954366439973,82.56828541257411,80.41749329622077,84.07425370620466,82.11120621801716,103.05803539387952,110.57462434067696,103.15033385635411,109.69563035635434,123.49104550774541,112.51711861336909,108.4300279379905,98.0959585726341,106.66223238466587,105.74492437366294,109.0994649431288,101.65729429932233,111.92850699855072,105.06227474201762,98.65848889782218,109.09109785265517,109.48954492878669,103.56443038482445,115.23978745515532,103.54196979401377,105.19718588326987,122.80140355537678,108.63174294569198,125.42986631672423,105.74923600852308,101.55637926456644,111.3112933922383,112.8170647503064,103.33398885941229,106.04369250994515,110.05877277509646,92.34596928592305,130.9873897150026,108.48806869045048,117.34586590238831,97.72204505324439,107.04900468208282,108.92431271133324,109.04401270128258,115.96646508218045,105.95920565530214,108.6062428310462,104.1961543536212,110.12660807418955,104.7235688492015,104.92470234122851,112.97389672137177,114.88661274830486,108.21656483546903,106.85364359492459,118.1154304996249,109.4023417831725,105.13734721331878,112.60826788874614,114.31749541631429,110.39151667125705,117.94552840737045,108.1769760607714,109.31873136861478,97.32990897055565,116.6731916692523,105.09303271946891,106.8501907070333,112.05252419430931,106.56783656770332,106.29629416019336,108.61861378210946,104.46102359927123,104.90209443031132,112.88701828071576,111.391516998784,107.99784014043524,105.49538724881066,115.10086841951961,103.58780371878596,106.07350411539251,106.93690537610945,120.11118915019107,120.6836576967623,111.89833218459545,107.50973195042717,109.04736721861927,110.43445100340473,105.90833559806968,104.04765046308145,122.28590181773416,121.03853617428935,126.922429556294,120.99998578530646,101.49043763107873,103.91229938775889,104.92441190581503,116.65736723191326,106.0782670135781,105.7125661257427,107.88261722097894,103.5308874826185,99.98644785165274,109.76261452089228,99.75694720658166,79.21490604647975,79.96072322633496,74.82060581922599,89.8948006463579,86.86155434255434,81.59073032675519,84.75416264073283,86.28796861893376,85.89397391676646,77.82879199489996,96.41226176204609,84.05869409682798,84.0179575623138,83.72582164636866,84.02999916605958,84.80913840843066,79.51658026075772,87.76856991818825,84.29489092711428,84.32402035650641,86.32939843864028,79.50417287484882,84.69429638515317,106.88514769244095,77.27758762650922,100.58150822228461,89.91216394871243,78.59548500923545,87.07400350456712,80.42845910595756,85.16516645709575,78.67709901137346,90.07366940695415,83.07252835004483,85.49759003201338,88.0221329500534,87.81072688276905,76.25533220971798,80.26216047325808,81.10030829370926,78.75659999623562,79.45077538067116,75.5009875432757,76.59086536024154,72.00898039991529,83.00019024229591,82.8797655246886,84.49242750252287,78.40790176981788,82.22670071347079,106.44282843730616,111.85859219505414,107.19887496184423,98.43058428039022,100.13123168957648,107.21958441999868,108.51060746362575,104.00256987692273,113.20333152980743,100.01339576981103,103.86060814406092,106.04283999858167,110.35147530729247,104.4233464208628,107.26205396641745,114.77826598652037,108.75370702232432,115.8928895699333,107.3213465965002,111.18031167404513,103.5872371528495,108.9276535954768,113.64572619074202,105.3257458179259,101.55398660966377,106.81956208920079,108.53897446543434,104.78183350691354,103.2829598377967,104.43242564670729,107.76891771317466,100.30450007411362,110.1775653231337,104.98796800338923,111.4542013310082,104.61192571844336,116.98865824424377,104.71261563234481,110.02112812408384,112.59320829872918,100.86567317242637,106.68954348314985,117.9974667237934,102.62891491026896,107.1612404185529,105.78918746600526,100.17538377353512,117.39177855403261,108.55627628754193,107.49891447914922
9,6.142833408625672,6.302811260847061,6.125698110496946,6.265877825632413,6.280807564459492,6.632476930823319,6.351737944383695,6.2057550313167065,6.443601218785384,6.408389752634796,6.18726224618302,6.239856085073741,6.7229851548871205,6.582490694724424,5.9409539653122465,6.453470004213337,6.744226489110551,6.441872942684856,6.050764085426465,6.201921738637619,6.454204800127442,6.328073434862783,6.310297793904711,6.390060824256439,6.235243599208209,6.268179958890125,6.43128166518636,6.423731458806713,6.6636203526806055,6.553493615788893,6.675405513034703,6.296085486222726,6.548130799484932,6.61355914230745,6.213701074643194,6.5215411586719005,6.339047828420414,6.444982915688887,6.481155473942269,6.304722857874275,6.237971376401752,6.022597327387441,6.318272175770806,6.409033681458487,6.548538481926628,6.277942389165423,6.448261498996075,6.571912142516711,6.0957072477886385,6.1645257876741235,6.704386876819426,5.813446764541941,5.636494668916405,6.239255517338642,5.700690465055174,5.928031679195919,6.128674694097905,5.689661903691119,5.496590867873209,6.455345221361051,5.973596773348608,5.700000024583802,5.671700691921832,5.991821330079121,5.693861658584983,6.784808034683192,5.6825475317977086,6.519648117527379,5.9303005407204905,6.201703564390607,6.196993756360912,5.613270492904051,5.815419943838267,5.80929350460585,6.263572212580935,6.228213552958942,5.8210161472785495,5.9971041180931355,6.360045187717079,6.223352803367618,6.341030548752087,5.809072535378583,5.906097375416904,6.410256090296944,7.732108310900617,6.080277478182624,5.926524929258058,5.950071773659645,6.165310958609008,5.849783124677215,6.565101362666242,5.899923711953464,5.883358148578513,5.933089992328887,5.860449359705517,6.057527016387715,6.035609266738786,5.856099952103458,6.186333395122057,6.172410134947647,6.748551412955146,6.952112714641848,6.942141879426258,7.259150427980877,7.50722567020481,7.126499515396051,6.9497501365310725,6.6550051791490565,6.963534934548786,6.864452447628925,6.8700051246765375,6.765643376854523,6.972160316328155,6.736805453731435,6.640017648673927,6.956625313870804,6.906337307485337,6.807081613907765,7.103612852339191,6.851675508874235,6.892135459897388,7.587576418078489,7.0195040424545265,7.814139710183393,7.042277524497093,6.676700249190829,6.98636535672132,7.1663787545334765,6.839416159068575,6.859155457214004,6.883958267753961,6.533677990592177,7.870486670273247,7.0616386298467555,7.530529225401612,6.726801891107286,6.915628933560029,6.865049067021782,7.0816414574382245,7.152480857321269,6.908025762256924,6.939316540461273,6.842674439740962,6.983298524586801,6.8459415458281665,6.92398064608436,7.077590779063214,7.283789510257871,6.976765978947058,6.991503986877717,7.145076324963806,7.164385869504994,7.0244475869174146,7.050275674698586,7.264832835990972,6.846994372655439,7.301796196070312,6.9593951853390355,7.008015134625937,6.6620763936206835,7.555731805057995,6.809895820147318,6.812496962692414,7.168571219950651,6.883837181669936,6.974400895243498,7.032216024424723,6.7479839630202365,6.965287207269756,6.98878419976689,7.126013492413716,7.048960253971108,6.795105658080725,7.037502978169897,6.810477463664019,7.043623664173479,6.9587014173354165,7.416394433503995,7.423740747211835,7.06650965123072,6.906385282689243,7.2025217291746975,6.898096408479393,6.920419208402738,6.931518422945517,7.460825884576267,7.135796908272541,7.704710528035514,7.086685494214043,6.800388509461789,6.786101501207647,6.913531966533746,7.365507101738729,6.95099152549997,6.99772982032116,7.1081071441070725,6.795875770751929,6.732309715134769,7.162007844558852,6.883904756294891,5.961328910584374,6.002977556702745,5.738515821053668,6.261656165134927,6.163988238861704,5.876147346536977,6.086393110940235,6.176003625042465,6.274863411807983,5.793349470144011,6.297892226191265,6.2363811718526545,6.075796812329862,6.090546181457463,6.095868817075157,6.106065370536157,5.979106605589446,6.162265590200727,6.048226480531382,6.118047715771119,6.116251127361455,5.876658917351322,6.0872988652813484,6.940337371723255,5.816716284891478,6.793122385609461,6.443827434229351,5.9284145849633205,6.163244664108808,5.903902853483612,6.302712787664365,6.0327574040263325,6.3857489722953,6.266475298649386,6.197143225889046,6.211745080228947,6.225817246251132,5.775383059583436,5.984343398289937,5.999538773919877,5.96706290943094,5.91961881498152,5.933854374291349,5.732965881205318,5.591575409468805,6.2685820027557995,6.032789662786165,6.258834276011797,5.8402741903999535,6.108177948166673,6.9912540507534615,7.117336316064624,6.858202827183326,6.708524229312861,6.807417872141053,7.003124053363622,6.984937304320728,6.911362104906612,7.2530080390144445,6.715039666105582,6.994948538585214,7.076411169826835,6.948793569187736,6.868002697808197,6.850561754682956,6.96713232415042,7.172345364740044,6.993441443991369,6.998840419839156,7.030136713334431,6.968043437707241,7.014318544169239,7.118999144414531,6.8412544242460305,6.705139455661543,6.816442251737392,6.929158983168957,6.979964076477826,6.91192499564974,6.953291631994641,6.888273483160858,6.715542432020119,6.955862516948712,6.841351002515947,7.084887106133001,6.85663000989644,7.100647477246043,6.947355655581575,7.1986557063136445,7.212460456564682,6.768903770940454,7.194673379656043,7.119486856510762,6.816253358533945,6.865404416724822,6.9572538508725685,6.751542605798103,7.157111650815395,6.896753246774696,7.119508036596604
