,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,model51,model52,model53,model54,model55,model56,model57,model58,model59,model60,model61,model62,model63,model64,model65,model66,model67,model68,model69,model70,model71,model72,model73,model74,model75,model76,model77,model78,model79,model80,model81,model82,model83,model84,model85,model86,model87,model88,model89,model90,model91,model92,model93,model94,model95,model96,model97,model98,model99,model100,model101,model102,model103,model104,model105,model106,model107,model108,model109,model110,model111,model112,model113,model114,model115,model116,model117,model118,model119,model120,model121,model122,model123,model124,model125,model126,model127,model128,model129,model130,model131,model132,model133,model134,model135,model136,model137,model138,model139,model140,model141,model142,model143,model144,model145,model146,model147,model148,model149,model150,model151,model152,model153,model154,model155,model156,model157,model158,model159,model160,model161,model162,model163,model164,model165,model166,model167,model168,model169,model170,model171,model172,model173,model174,model175,model176,model177,model178,model179,model180,model181,model182,model183,model184,model185,model186,model187,model188,model189,model190,model191,model192,model193,model194,model195,model196,model197,model198,model199,model200
0,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model59,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model255,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model111,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149,model149
1,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model1254,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model788,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732,model732
2,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
7,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
8,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98
9,0.8609602633292073,0.8762378582304575,0.8742058826337504,0.8775320191223535,0.8786341737517086,0.8348300441935962,0.8822565325818992,0.873568488799719,0.8913855473561256,0.8483646479292687,0.8565862997727857,0.8673744306910699,0.8632340131035674,0.8609886995919473,0.8795634909333435,0.8497210271207906,0.8478049331311883,0.875985269353706,0.8543647726749305,0.8810983368317158,0.8824934405505476,0.8821818694179485,0.8745552838261402,0.876027130734925,0.8703574231591518,0.8568691025449118,0.8785625068648371,0.8706833172621101,0.8165447946027409,0.862862683191646,0.8758228860062859,0.8739056608863566,0.8561437496116916,0.8817464288044254,0.8819399073573612,0.8666154273891369,0.8680087799466398,0.853372019266831,0.8785329738026751,0.8541800322578803,0.8417660165660797,0.8526210286964413,0.8528043914886718,0.8824914813107357,0.8671003587451043,0.8517612236772654,0.8645972510951728,0.8811897191851861,0.8492028065662258,0.878671170689047,0.8398901555905467,0.8372628958116127,0.8124116992996417,0.8338219698259314,0.8423501280123431,0.8295840879121743,0.8271184416722834,0.8365377017666648,0.8515897873469915,0.828428189122655,0.8279827354704602,0.8442737625999177,0.8274833313574453,0.8333002300466437,0.8318307503640117,0.8359195376816144,0.8421063305750747,0.8251339142834846,0.8424513534249496,0.8371548998381022,0.8177658401665572,0.8447642748864823,0.8331997891149994,0.838330582866191,0.8429004073129762,0.8287204119175037,0.8314319749450954,0.8222368879524915,0.8204835396508825,0.8427173065302693,0.8433446396359197,0.8451211803149558,0.8393350710758033,0.8364819481636,0.8561986013909265,0.8245329603550362,0.8300817163552545,0.8408578886724161,0.8425823420817475,0.8390352432394594,0.8313026450284684,0.8224202066411754,0.8391906451320603,0.8245890506467636,0.8413396759878036,0.8166000425966096,0.845484302449474,0.8278212159033251,0.8441671729496577,0.8359224279786442,0.8316261409207155,0.8389038126389108,0.836568254501761,0.8278197432406608,0.8436999967717158,0.8369217415219595,0.8167856853310818,0.8354054571471736,0.844502618348122,0.8251767519482867,0.8040286463295364,0.8309384421747427,0.8277341636969269,0.8396252519723572,0.8281989197386537,0.8305503768376281,0.8244387282073414,0.8324548812258249,0.8193201249965318,0.8259809171294012,0.8290757439007168,0.8308404968339668,0.8129942074410329,0.8254278431557545,0.8401815095766262,0.8263065056796569,0.8393260628397416,0.8162245439751803,0.8208841482253062,0.8359797870184191,0.839301871214062,0.8357366159415531,0.8376886450778952,0.8417519913489573,0.8375601341484344,0.8292252358235339,0.8347969604640648,0.8298660131254807,0.83482707823005,0.833108042267323,0.8221511529857287,0.8255720097811101,0.8271766689782487,0.833112285734977,0.8195127638753011,0.8394150501622515,0.8384238192504693,0.8406032599543065,0.8227263028957051,0.8342893579672146,0.8265079551928746,0.8285234206482684,0.8290928297061506,0.8319615288608453,0.8278633768679228,0.8226602607129669,0.8314691586377037,0.8374425417724629,0.8332435113004045,0.8420170685957323,0.8134772339474081,0.8279214859614044,0.8280868454569537,0.8347554959282047,0.8222794030626355,0.8128162245762438,0.8363475241312337,0.8365571710203777,0.8048040254284691,0.8320493410269463,0.8172016664671725,0.8334699396860636,0.8257797071475498,0.833538005581756,0.8310765829725407,0.8189879187479593,0.8410648911211588,0.8101456209791035,0.8181865740958647,0.8337700768923729,0.8154113309888151,0.8312264026190852,0.820105117237133,0.8345415833466403,0.8257161128101881,0.8246535145194459,0.8430270882388013,0.8171056913704873,0.8358277673610339,0.8224207908879841,0.82480292661274,0.8080892321293522,0.8333173457195858,0.8353967066803194,0.8328195257864809,0.8374081663352214,0.8340993311944785,0.83856183867284,0.8111710969003774,0.8194708956368157
