,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
0,8.48,11.71,13.82,-1.0,-1.0,10.76,69.79,9.4,12.24,10.08,16.24684
1,-1.0,76.1,64.1,88.7,51.52,73.0,100.88,61.4,68.6,78.68,74.67338
2,-1.0,25.6,26.9,19.1,-1.0,-1.0,-1.0,-1.0,-1.0,6.86,17.128716
3,27.1,27.9,-1.0,50.4,35.93,24.9,53.497,-1.0,24.0,29.61,27.765568
4,46.82,-1.0,28.08,-1.0,63.56,36.77,40.96,28.23,22.49,32.61,46.690323
5,80.5,42.8,-1.0,54.1,67.3,39.0,130.89,-1.0,35.1,54.41,47.547424
6,9.72,20.74,18.78,-1.0,52.7,15.79,20.7,15.55,18.25,17.69,21.904083
7,-1.0,18.7,61.2,70.7,-1.0,-1.0,-1.0,-1.0,11.8,30.87,27.842855
8,-1.0,42.7,27.9,24.1,30.62,39.6,38.83,46.4,-1.0,41.2,46.882183
9,-1.0,27.5,32.6,126.5,161.59,51.3,106.1,36.0,-1.0,29.3,43.539375
10,-1.0,16.5,-1.0,-1.0,14.9,-1.0,26.797,14.81,-1.0,49.97,11.99522
11,-1.0,39.9,35.4,32.0,-1.0,29.2,-1.0,-1.0,-1.0,26.97,29.673244
12,19.3,14.2,-1.0,40.1,24.69,18.4,63.251,-1.0,21.9,12.84,23.07325
13,-1.0,46.3,44.9,80.3,46.85,29.2,79.674,60.0,-1.0,40.5,44.202747
14,40.08,35.95,36.85,-1.0,79.43,21.56,61.41,28.48,38.87,33.18,31.778688
15,-1.0,52.7,78.5,132.2,-1.0,57.1,-1.0,69.36,34.6,59.57,61.14033
16,39.09,21.83,20.17,24.31,-1.0,21.37,-1.0,23.93,25.75,35.63,24.752245
17,-1.0,40.7,31.0,48.1,51.83,37.5,65.969,43.2,-1.0,37.5,45.025227
18,54.5,46.2,-1.0,132.5,60.15,57.4,72.349,-1.0,60.8,42.36,59.61687
19,34.6,40.3,-1.0,78.8,105.16,49.6,83.385,-1.0,36.3,65.04,53.43422
20,-1.0,-1.0,24.7,38.1,-1.0,-1.0,-1.0,39.57,-1.0,15.23,26.064085
21,-1.0,82.0,56.0,120.1,119.39,62.0,219.32,136.0,-1.0,60.9,67.94061
22,26.9,73.75,53.02,-1.0,-1.0,69.51,76.1,46.0,44.69,64.31,66.75698
23,8.16,47.35,42.34,-1.0,36.86,32.67,76.27,29.63,29.95,28.03,36.3753
24,-1.0,57.0,100.0,119.4,-1.0,-1.0,-1.0,-1.0,-1.0,81.87,38.091278
25,26.12,-1.0,41.26,-1.0,-1.0,56.92,39.1,40.31,45.21,39.87,55.53147
26,-1.0,-1.0,128.7,296.9,312.38,115.3,213.3,143.2,115.7,115.3,148.33092
27,-1.0,6.5,47.1,97.9,-1.0,26.8,50.46,26.6,-1.0,19.8,19.580242
28,-1.0,4.2,23.8,15.0,-1.0,12.5,-1.0,2.96,11.7,15.75,12.374862
29,-1.0,-1.0,26.2,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,9.889688
30,-1.0,83.6,95.0,224.8,-1.0,63.5,-1.0,87.11,63.5,77.44,77.44083
31,-1.0,46.7,50.3,144.4,117.01,48.2,116.13,55.5,-1.0,63.5,49.613117
32,-1.0,41.5,39.6,104.3,67.31,18.6,111.24,54.5,-1.0,32.5,40.08911
33,-1.0,27.6,24.9,32.5,-1.0,-1.0,-1.0,21.19,-1.0,14.88,19.82917
34,19.5,18.9,36.2,138.3,126.11,46.1,85.546,60.1,32.2,71.0,59.22998
35,-1.0,-1.0,-1.0,-1.0,35.1,-1.0,38.748,-1.0,-1.0,28.05,19.52362
36,-1.0,15.6,42.3,26.9,-1.0,13.1,-1.0,31.75,8.7,14.44,19.157934
37,-1.0,28.0,7.5,15.8,-1.0,9.7,-1.0,17.17,-1.0,18.02,12.200766
38,-1.0,46.5,57.2,67.8,-1.0,21.1,-1.0,26.94,30.3,35.74,30.802408
39,22.8,21.8,-1.0,30.1,24.2,23.0,27.885,55.76,-1.0,30.17,24.74603
40,76.07,55.83,-1.0,63.99,-1.0,64.43,63.53,74.13,47.08,49.13,69.2471
