,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
0,65.18,-1.0,-1.0,49.61,61.26,26.61,62.78,38.89,63.29,67.16,42.093155
1,71.6,141.0,464.7,144.32,78.7,-1.0,194.2,84.0,217.26,74.3,97.29707
2,66.1,-1.0,41.7,-1.0,31.4,71.957,55.44,-1.0,38.53,34.3,43.25241
3,22.4,-1.0,62.5,39.64,23.2,83.395,54.1,27.0,33.46,31.2,17.134796
4,48.3,90.4,106.4,204.11,93.0,138.22,163.9,73.8,186.78,63.6,34.664402
5,46.61,29.13,-1.0,91.91,44.15,55.92,34.53,53.77,37.69,43.43,39.776894
6,93.8,86.1,199.7,71.82,60.9,87.214,67.4,61.9,56.52,97.1,81.02381
7,-1.0,25.89,-1.0,111.96,19.96,51.56,16.9,29.66,26.01,16.4,17.851233
8,52.8,-1.0,108.5,99.76,60.7,69.498,91.0,49.7,82.33,54.3,61.240856
9,24.8,-1.0,-1.0,20.0,18.7,35.296,40.32,-1.0,28.14,13.3,15.524544
10,10.2,-1.0,25.2,21.44,32.8,47.026,-1.0,18.2,32.26,23.8,27.322268
11,14.6,-1.0,44.2,23.53,17.7,46.701,24.0,21.8,17.24,27.5,14.323656
12,35.6,-1.0,79.4,34.32,26.0,44.346,-1.0,17.5,20.59,17.2,26.90864
13,33.74,17.0,-1.0,57.3,23.49,54.92,22.27,21.95,26.18,25.4,20.502274
14,34.6,-1.0,70.0,79.63,23.2,88.425,53.5,16.9,50.0,35.3,26.389149
15,3.8,-1.0,14.3,28.3,-1.0,21.621,30.78,-1.0,17.13,16.1,21.89606
16,29.5,-1.0,45.1,36.89,29.8,57.256,-1.0,41.7,36.55,26.7,27.755182
17,53.8,-1.0,82.7,146.93,69.4,214.51,-1.0,60.4,60.46,71.6,58.34631
18,-1.0,-1.0,154.9,122.2,49.0,79.642,60.6,45.5,74.48,44.1,54.07721
19,86.8,53.9,162.9,112.67,102.9,217.47,120.2,110.1,123.89,84.1,92.972855
20,18.1,-1.0,46.3,19.54,21.7,60.609,15.7,23.4,17.12,17.7,27.934671
21,16.77,19.66,-1.0,-1.0,10.08,26.79,13.42,20.75,20.67,16.8,10.71283
22,93.38,82.9,-1.0,-1.0,57.39,201.69,57.4,50.3,66.6,51.81,34.634087
23,39.1,-1.0,62.1,39.5,10.9,53.713,61.59,-1.0,23.93,15.8,13.516867
24,39.8,36.35,-1.0,55.73,45.96,63.22,41.63,45.13,42.51,50.71,38.41786
25,-1.0,-1.0,48.2,-1.0,14.2,-1.0,23.41,48.6,10.66,1.9,14.362918
26,20.4,-1.0,23.8,25.24,16.2,33.561,-1.0,16.5,21.21,16.0,15.894314
27,-1.0,-1.0,49.4,61.03,34.0,62.402,-1.0,78.1,32.91,34.1,22.16125
28,59.6,-1.0,26.7,-1.0,7.7,19.835,37.79,-1.0,13.79,13.0,8.169067
29,42.5,-1.0,-1.0,124.5,17.9,60.195,49.73,-1.0,19.26,29.2,20.201448
30,16.0,-1.0,41.5,36.24,26.3,49.802,35.6,25.1,29.81,25.3,28.2167
31,21.2,-1.0,35.4,32.57,20.8,35.382,-1.0,24.1,22.49,17.8,17.988647
32,72.7,69.5,61.3,119.7,75.6,322.09,82.0,89.7,73.67,125.9,117.41225
33,24.8,-1.0,64.6,35.38,37.1,51.581,42.4,26.8,28.72,33.7,27.701035
34,57.7,-1.0,108.3,44.53,34.0,61.588,35.7,-1.0,30.8,37.4,39.791542
35,38.01,-1.0,-1.0,-1.0,28.48,71.5,21.52,37.87,39.08,40.36,31.25892
36,60.4,-1.0,109.9,88.63,48.2,162.45,68.4,51.7,43.12,54.9,47.514847
37,-1.0,-1.0,118.3,94.86,24.8,122.17,36.8,47.7,45.16,35.7,44.144623
38,42.9,39.6,67.2,34.2,46.2,81.674,51.2,43.6,50.52,44.6,43.463314
39,93.06,72.9,-1.0,-1.0,70.07,63.47,62.84,116.7,73.05,61.39,59.483253
40,30.3,-1.0,57.3,39.48,28.6,68.681,-1.0,31.7,26.52,27.8,29.413242
41,-1.0,-1.0,25.8,21.39,26.9,73.693,26.8,9.5,34.42,20.7,30.014849
42,25.5,-1.0,29.1,22.52,25.5,43.402,-1.0,24.9,26.28,19.0,18.529432
43,25.7,-1.0,45.8,45.05,29.4,65.891,36.4,33.1,32.05,44.0,34.06479
44,62.39,25.69,202.16,-1.0,42.77,-1.0,57.07,29.02,71.77,49.95,38.834038
45,9.4,-1.0,48.1,29.13,23.2,52.475,48.9,33.3,37.46,38.6,31.497406
46,25.0,-1.0,69.0,40.57,10.5,74.276,28.3,21.5,23.92,37.3,22.320845
47,-1.0,-1.0,32.8,-1.0,22.0,64.525,23.3,31.4,22.9,15.4,20.37227
48,-1.0,95.7,168.1,39.93,47.9,151.03,60.4,33.0,47.42,29.5,18.4548
49,35.65,37.77,-1.0,52.44,31.73,80.6,35.29,46.32,33.95,44.45,38.906837
50,54.78,51.83,-1.0,-1.0,27.37,76.4,27.52,31.3,34.72,20.51,29.327105
51,39.5,-1.0,63.2,44.53,37.3,100.15,-1.0,37.2,38.64,47.1,33.525745
52,32.41,21.9,-1.0,-1.0,41.35,41.88,34.99,24.63,48.42,23.05,28.24564
53,37.5,-1.0,12.1,14.6,-1.0,20.596,25.68,-1.0,4.94,6.6,10.747282
54,44.5,-1.0,29.8,19.7,7.1,29.185,7.38,-1.0,8.07,18.9,8.535171
55,-1.0,-1.0,121.2,136.88,33.5,131.19,54.4,37.5,59.86,56.2,31.465403
56,61.19,31.21,-1.0,22.98,41.73,25.57,46.14,47.14,42.85,36.02,41.487362
57,-1.0,-1.0,47.0,-1.0,21.1,57.246,36.9,10.1,21.4,16.9,9.347083
58,51.6,-1.0,23.2,-1.0,9.9,22.526,9.83,23.2,11.03,10.8,14.619843
59,29.9,-1.0,30.5,34.77,22.3,31.385,27.0,22.7,21.67,16.4,21.501883
60,33.5,-1.0,63.3,65.96,40.3,96.989,-1.0,71.4,48.81,65.2,79.03242
61,19.5,37.0,59.7,55.6,29.9,80.366,40.6,48.1,42.88,67.9,54.229652
62,-1.0,29.92,21.25,-1.0,29.6,24.84,33.54,28.16,19.62,22.85,20.774664
63,-1.0,30.31,-1.0,-1.0,30.57,70.06,32.93,23.27,25.16,33.6,25.558067
64,17.24,20.37,19.08,-1.0,17.67,-1.0,14.92,21.24,16.56,11.67,9.572983
65,14.2,-1.0,40.1,24.69,18.4,63.251,-1.0,21.9,12.84,19.3,23.735666
66,-1.0,-1.0,-1.0,42.92,7.1,55.675,36.6,24.5,48.6,25.5,12.929855
67,32.7,-1.0,17.7,37.0,3.1,-1.0,37.7,-1.0,17.75,17.4,23.722963
68,46.9,-1.0,167.2,117.31,30.2,115.2,65.1,22.5,43.48,35.0,22.086836
69,84.5,-1.0,288.2,211.54,23.2,142.56,106.0,25.3,-1.0,42.7,84.317795
70,25.72,-1.0,-1.0,-1.0,20.93,64.96,29.1,45.02,36.75,48.75,25.799726
71,125.8,-1.0,-1.0,30.8,26.2,19.862,35.03,-1.0,26.19,27.8,14.096529
72,21.3,-1.0,50.2,29.18,26.9,84.946,25.0,23.5,20.77,15.3,22.15838
73,21.63,27.06,-1.0,136.49,23.21,53.56,16.79,16.91,23.14,18.14,14.718351
74,-1.0,-1.0,10.7,-1.0,18.0,41.175,11.4,6.5,-1.0,16.1,7.292822
75,16.1,-1.0,-1.0,19.7,10.7,37.612,16.87,-1.0,16.81,21.7,10.857683
76,33.77,25.41,-1.0,-1.0,23.25,85.58,21.83,23.51,23.34,17.59,22.547733
77,-1.0,-1.0,28.8,32.7,17.7,41.125,110.25,-1.0,20.93,18.4,27.237398
78,34.58,45.04,-1.0,45.76,42.09,112.07,37.68,27.29,25.53,29.98,16.186123
79,12.88,13.27,-1.0,300.92,32.32,40.86,16.72,10.11,16.2,7.8,10.544473
80,-1.0,-1.0,36.5,34.76,32.1,49.705,-1.0,37.3,41.84,26.9,33.37766
81,17.7,-1.0,68.9,36.04,14.8,43.946,-1.0,16.5,15.18,45.1,18.763577
82,17.5,-1.0,65.8,59.48,17.2,42.134,21.7,23.7,25.73,26.5,20.797544
83,-1.0,-1.0,33.3,85.92,68.5,175.33,-1.0,90.2,56.77,67.0,120.397446
84,54.63,45.93,63.62,-1.0,38.61,36.66,35.67,30.08,-1.0,38.54,34.820965
85,31.8,-1.0,40.9,35.82,19.3,61.749,-1.0,32.5,22.8,23.2,24.02759
86,17.4,-1.0,59.3,45.08,13.4,48.916,38.6,18.6,17.91,26.0,17.255203
87,25.0,-1.0,-1.0,32.9,14.0,49.836,32.66,-1.0,12.3,16.4,19.330564
88,4.3,-1.0,-1.0,14.4,15.3,24.235,12.73,-1.0,21.18,14.8,20.14758
89,17.1,-1.0,59.8,32.75,30.4,44.398,30.6,20.9,32.08,26.5,22.957422
90,1.4,-1.0,30.5,21.7,-1.0,35.854,15.39,-1.0,15.8,32.7,9.827551
91,51.57,45.02,-1.0,-1.0,42.89,25.7,41.64,41.06,51.0,36.41,37.823807
92,-1.0,33.0,41.9,41.69,31.8,126.5,34.2,41.8,28.5,52.0,32.941093
93,15.1,-1.0,25.9,22.3,14.6,-1.0,19.13,-1.0,19.79,14.7,19.319487
94,31.68,-1.0,-1.0,-1.0,28.19,-1.0,17.97,22.73,25.26,17.82,23.208227
95,20.5,-1.0,36.0,30.7,9.4,30.28,-1.0,-1.0,25.88,25.2,22.74703
96,20.5,-1.0,26.5,49.5,22.9,-1.0,27.22,-1.0,22.22,25.6,23.17427
97,-1.0,47.81,-1.0,32.14,31.16,40.71,27.65,37.7,32.21,17.89,26.383211
98,20.5,32.6,28.7,29.47,24.9,46.238,30.2,17.4,21.7,29.5,22.695568
99,32.5,-1.0,40.7,29.4,20.9,33.809,-1.0,27.5,18.32,15.5,21.617315
100,-1.0,-1.0,-1.0,45.07,36.4,101.38,32.7,39.7,30.64,40.7,28.722427
101,34.16,41.17,-1.0,-1.0,42.74,98.03,39.49,44.62,26.78,33.99,23.437859
102,62.3,-1.0,14.9,16.8,-1.0,24.758,17.78,-1.0,10.98,25.7,9.698164
103,33.0,-1.0,63.9,-1.0,26.2,53.804,41.14,-1.0,33.04,48.8,35.325954
104,30.0,-1.0,34.6,40.04,28.1,48.945,-1.0,30.1,17.66,36.2,23.047575
105,21.4,-1.0,-1.0,26.2,18.1,39.0,16.43,-1.0,13.17,14.9,16.980844
106,24.1,81.3,63.0,73.2,27.4,47.696,47.5,23.0,36.29,28.6,34.167458
107,33.26,44.02,-1.0,54.49,31.52,66.79,36.78,39.81,42.69,42.59,36.276836
