,AGU,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,ATM_med,ATM_pred
0,-1.0,41.7,-1.0,-1.0,50.5,-1.0,-1.0,-1.0,-1.0,51.6,35.263737
1,-1.0,16.6,8.9,-1.0,-1.0,-1.0,-1.0,-1.0,11.2,19.1,12.511383
2,-1.0,41.0,86.6,49.24,36.1,46.533,28.2,-1.0,-1.0,44.5,28.632944
3,-1.0,64.2,83.5,80.63,54.0,104.46,76.6,-1.0,67.9,56.0,49.644245
4,-1.0,-1.0,-1.0,18.4,-1.0,35.804,30.38,-1.0,26.15,59.9,27.940653
5,31.84,-1.0,-1.0,53.68,40.53,116.29,43.51,33.94,67.75,60.92,57.40049
6,-1.0,61.0,60.4,55.89,31.7,102.6,30.9,57.3,38.1,59.9,34.25157
7,-1.0,59.2,50.1,-1.0,31.5,-1.0,38.57,26.1,34.84,33.0,27.719107
8,42.1,41.6,49.4,49.41,40.3,68.674,44.6,41.2,51.35,41.3,33.96522
9,-1.0,43.9,69.0,77.77,55.3,60.178,51.8,-1.0,32.9,35.0,35.17731
10,-1.0,46.5,56.0,-1.0,35.7,-1.0,69.9,45.8,-1.0,41.1,32.817093
11,-1.0,125.1,114.8,-1.0,78.5,85.969,61.1,61.7,29.6,46.3,78.836716
12,-1.0,164.9,231.2,98.11,66.5,130.46,88.4,-1.0,51.1,77.2,58.749992
13,-1.0,16.7,-1.0,-1.0,-1.0,-1.0,6.18,-1.0,-1.0,14.3,5.6000633
14,-1.0,29.0,-1.0,-1.0,28.0,-1.0,-1.0,-1.0,44.01,24.4,23.011847
15,-1.0,28.0,-1.0,20.4,-1.0,64.123,20.07,-1.0,10.86,4.4,14.554777
16,-1.0,46.0,44.8,-1.0,33.5,-1.0,55.62,38.4,39.87,27.3,18.319033
17,-1.0,54.9,325.2,200.79,87.8,249.56,111.3,-1.0,-1.0,110.2,62.647163
18,-1.0,53.9,93.6,-1.0,44.2,-1.0,-1.0,59.3,27.21,41.3,36.61716
19,-1.0,-1.0,-1.0,66.4,-1.0,33.288,43.21,-1.0,25.45,12.0,28.817955
20,-1.0,60.2,62.8,-1.0,46.5,-1.0,-1.0,62.6,50.17,19.8,34.05029
21,-1.0,9.2,-1.0,14.2,-1.0,22.838,22.37,-1.0,-1.0,29.4,11.346445
22,-1.0,37.1,50.4,-1.0,38.7,-1.0,53.42,34.4,30.99,7.3,26.706758
23,-1.0,73.3,46.3,-1.0,27.2,-1.0,45.5,31.5,32.16,23.7,15.47682
24,21.11,38.13,-1.0,-1.0,39.45,33.32,32.25,24.92,37.78,23.6,38.43033
25,-1.0,59.8,42.9,79.3,48.0,95.853,71.1,186.9,64.56,37.0,65.4118
26,52.1,-1.0,93.9,73.35,52.5,73.202,-1.0,59.8,49.29,46.7,50.85134
27,35.9,-1.0,95.8,118.28,39.2,-1.0,-1.0,50.4,52.74,50.7,43.906544
28,-1.0,59.7,106.4,-1.0,26.7,95.715,59.7,74.3,59.9,16.4,41.223877
29,-1.0,49.1,59.1,-1.0,38.3,149.36,48.0,-1.0,33.2,34.0,37.696365
30,-1.0,90.9,94.0,-1.0,24.8,-1.0,57.83,24.0,36.3,52.6,29.555365
31,30.9,-1.0,100.5,76.72,38.6,55.773,74.5,27.8,45.24,32.6,33.645046
32,-1.0,24.1,37.0,-1.0,24.0,-1.0,26.59,19.9,14.51,29.5,17.848188
33,-1.0,36.38,62.89,-1.0,48.37,-1.0,36.13,27.93,27.06,44.78,28.960718
34,27.4,-1.0,15.5,35.5,-1.0,35.278,26.54,-1.0,21.45,21.5,11.231363
35,27.3,-1.0,45.0,27.0,40.2,80.206,-1.0,30.0,32.91,44.3,32.716995
36,50.4,27.8,-1.0,-1.0,29.1,62.23,33.33,48.62,41.04,37.66,38.99816
37,-1.0,25.0,20.7,-1.0,-1.0,-1.0,-1.0,-1.0,21.58,22.0,20.78455
38,-1.0,54.4,71.7,-1.0,60.1,-1.0,103.48,50.6,138.45,36.0,43.34969
39,-1.0,24.2,30.7,-1.0,15.3,-1.0,-1.0,20.7,22.13,16.1,17.6245
40,-1.0,136.0,281.5,312.69,119.9,259.93,199.9,221.1,188.1,75.4,112.42544
