,AGU,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,ATM_med,ATM_pred
0,-1.0,9.58,17.48,-1.0,16.86,42.28,14.66,11.3,4.42,32.94,16.97083
1,-1.0,10.6,-1.0,61.0,-1.0,124.69,24.98,-1.0,34.12,41.2,26.244131
2,-1.0,56.4,42.4,55.8,35.3,47.709,52.57,-1.0,-1.0,38.4,35.354393
3,19.94,27.55,-1.0,-1.0,36.05,-1.0,30.85,20.15,31.79,25.99,25.948158
4,-1.0,40.1,20.6,-1.0,-1.0,-1.0,22.13,-1.0,10.13,12.5,15.516969
5,-1.0,36.8,68.1,30.44,24.6,41.849,16.2,17.3,21.84,4.5,23.5036
6,-1.0,16.2,33.9,-1.0,0.0,-1.0,10.56,-1.0,-1.0,9.0,16.269724
7,-1.0,41.5,89.0,58.79,29.9,102.25,26.3,-1.0,20.2,24.0,35.265766
8,-1.0,38.6,23.5,-1.0,-1.0,-1.0,47.14,-1.0,19.21,24.3,19.237503
9,-1.0,93.6,-1.0,158.5,-1.0,-1.0,67.03,-1.0,29.57,26.0,24.405563
10,-1.0,32.9,33.6,-1.0,21.9,-1.0,25.2,28.9,16.78,15.9,19.214119
11,48.9,-1.0,53.5,55.8,34.9,-1.0,49.42,-1.0,40.41,55.6,46.302944
12,-1.0,41.9,31.6,-1.0,-1.0,-1.0,34.47,-1.0,6.1,29.7,18.316069
13,24.1,-1.0,27.3,29.9,12.0,-1.0,30.4,32.0,22.92,35.7,19.756372
14,30.1,-1.0,73.8,44.0,19.5,82.5,33.8,23.1,27.21,28.7,27.508198
15,-1.0,27.3,49.7,-1.0,-1.0,-1.0,34.37,-1.0,17.26,12.9,20.311577
16,-1.0,41.9,49.9,-1.0,-1.0,-1.0,46.47,-1.0,16.05,59.3,21.061754
17,18.02,25.7,-1.0,80.96,19.77,87.48,19.1,16.64,26.89,26.48,25.025192
18,-1.0,13.3,35.1,-1.0,-1.0,-1.0,5.02,-1.0,-1.0,10.4,16.413544
19,-1.0,46.8,-1.0,29.5,-1.0,34.855,29.05,-1.0,22.87,11.8,19.252316
20,-1.0,49.9,31.6,49.0,30.4,65.806,41.9,39.1,61.8,45.1,34.88339
21,35.7,63.4,62.4,63.08,44.9,57.72,42.8,40.2,50.62,27.0,34.473988
22,39.8,-1.0,90.3,88.37,34.3,114.29,-1.0,32.9,45.72,38.5,43.0551
23,-1.0,67.8,60.7,-1.0,-1.0,-1.0,50.58,-1.0,10.56,25.6,22.046608
24,-1.0,34.1,59.6,-1.0,-1.0,-1.0,72.73,-1.0,34.05,38.7,27.409199
25,-1.0,15.3,10.1,-1.0,-1.0,-1.0,25.24,-1.0,24.0,28.1,24.104174
26,50.9,-1.0,87.9,80.19,39.8,78.885,-1.0,41.7,54.77,46.0,44.019196
27,69.1,52.7,46.3,74.97,49.4,90.412,51.2,60.7,58.63,50.4,43.940186
28,-1.0,45.3,33.0,-1.0,7.4,-1.0,25.57,4.8,-1.0,41.8,26.512238
29,3.42,24.44,23.81,-1.0,14.31,-1.0,19.33,18.34,14.41,15.24,14.693162
30,25.41,21.15,-1.0,-1.0,25.78,32.81,21.48,17.55,22.75,29.41,23.922306
31,-1.0,18.2,11.6,-1.0,-1.0,-1.0,24.58,-1.0,21.95,24.2,24.007303
32,27.5,-1.0,40.7,38.19,13.0,45.23,42.4,16.3,32.61,16.4,22.512945
33,-1.0,130.6,205.0,116.2,120.4,174.25,134.3,-1.0,102.5,91.9,95.1783
34,7.06,27.22,-1.0,74.06,15.24,66.5,13.65,14.34,15.2,11.69,19.45449
35,50.4,40.3,209.6,145.85,50.9,135.09,62.6,43.1,57.58,26.2,57.19128
36,-1.0,26.7,28.1,35.25,21.8,59.128,35.5,-1.0,30.3,20.1,24.984627
37,40.7,-1.0,134.1,65.72,46.3,99.336,-1.0,56.2,56.3,53.2,50.259678
38,-1.0,44.1,-1.0,-1.0,29.6,-1.0,45.37,39.3,36.13,50.6,24.180624
39,-1.0,21.0,77.1,-1.0,-1.0,-1.0,41.76,-1.0,2.41,18.5,21.155087
40,38.61,49.07,73.0,-1.0,53.87,18.5,42.36,40.34,-1.0,44.17,53.594006
41,36.88,82.88,-1.0,-1.0,59.95,76.7,57.39,48.88,52.6,52.87,59.24924
42,44.06,53.52,-1.0,-1.0,48.5,48.48,59.91,31.14,35.51,60.14,41.671215
43,-1.0,58.7,41.4,-1.0,43.7,-1.0,84.76,43.7,38.86,36.6,27.64674
44,43.9,-1.0,81.7,88.9,23.2,72.401,41.3,22.1,35.87,25.1,30.851528
45,-1.0,38.9,76.9,-1.0,-1.0,-1.0,5.15,36.6,35.61,54.0,34.614822
46,-1.0,48.7,82.0,-1.0,37.2,-1.0,-1.0,36.3,34.47,45.0,33.213123
47,-1.0,47.9,26.3,-1.0,-1.0,-1.0,25.22,-1.0,36.72,37.1,29.025545
48,46.98,52.0,-1.0,92.29,77.84,82.68,60.5,45.17,86.53,72.76,69.75389
49,-1.0,58.0,119.7,128.53,76.1,215.59,92.4,94.3,104.7,82.7,63.08608
50,43.1,-1.0,132.3,157.64,23.2,157.61,55.1,25.2,46.51,53.4,46.292618
51,-1.0,28.7,44.3,-1.0,30.4,61.379,43.3,37.4,31.9,26.6,30.425215
52,52.17,39.85,-1.0,20.1,58.75,13.32,52.34,24.78,66.16,67.47,67.70968
53,-1.0,12.85,8.44,-1.0,9.84,142.49,6.25,5.38,15.12,17.65,14.903751
54,44.56,-1.0,-1.0,-1.0,53.46,168.96,111.49,61.67,203.37,75.86,77.846214
55,-1.0,55.4,122.3,-1.0,50.1,-1.0,-1.0,58.2,39.14,52.1,36.60294
56,24.12,59.25,21.98,-1.0,17.02,-1.0,34.05,13.79,19.84,28.15,21.424297
57,27.73,27.43,-1.0,38.83,35.25,25.01,31.81,23.71,37.52,37.22,31.290745
58,-1.0,81.2,94.3,-1.0,56.5,-1.0,-1.0,69.7,59.93,41.7,47.21401
59,28.38,29.45,-1.0,-1.0,21.17,92.29,26.47,26.17,35.72,38.88,28.40306
60,-1.0,44.6,66.6,110.69,51.3,137.62,40.4,78.5,64.18,51.3,45.848164
61,-1.0,44.9,125.5,-1.0,49.9,-1.0,-1.0,87.5,46.64,55.7,37.712162
62,-1.0,46.3,263.8,56.63,31.8,137.01,37.1,-1.0,-1.0,43.1,37.259087
63,-1.0,100.8,71.4,153.61,56.1,138.22,76.6,-1.0,93.9,75.9,67.362564
64,-1.0,43.9,25.0,-1.0,-1.0,-1.0,21.61,-1.0,20.75,28.0,18.662804
65,-1.0,42.7,91.9,98.87,55.3,130.58,65.6,-1.0,53.8,56.5,45.706535
66,-1.0,26.8,14.7,10.6,-1.0,27.612,-1.0,-1.0,-1.0,29.6,29.24065
67,-1.0,52.5,89.6,75.9,32.2,123.88,35.0,-1.0,52.4,35.2,40.02372
68,8.29,6.86,24.56,-1.0,12.37,-1.0,10.59,11.83,16.29,10.52,14.944333
69,33.2,52.1,78.3,42.47,41.4,61.086,42.7,30.8,40.57,38.2,36.31943
70,22.69,34.28,-1.0,-1.0,55.47,38.83,27.47,32.42,31.61,41.55,37.45863
71,-1.0,80.5,48.6,61.1,55.7,70.752,78.63,-1.0,-1.0,73.9,52.124332
72,47.3,-1.0,106.8,43.49,60.6,91.677,-1.0,60.2,53.06,57.6,45.927628
73,29.0,-1.0,98.0,35.36,23.2,57.157,30.1,30.7,29.63,28.6,33.33479
74,50.3,-1.0,103.3,112.14,49.4,158.04,-1.0,35.8,44.69,36.8,52.26572
75,-1.0,32.9,39.7,47.57,19.9,73.512,30.9,-1.0,37.3,14.8,27.294071
76,-1.0,74.1,-1.0,-1.0,45.9,-1.0,153.96,60.1,58.64,32.0,41.877815
77,-1.0,48.6,94.9,54.56,43.8,110.1,38.7,-1.0,-1.0,44.4,38.831516
78,30.63,59.25,-1.0,41.26,34.33,43.71,34.28,26.82,28.28,59.07,37.65318
79,24.6,-1.0,-1.0,41.1,23.9,46.523,85.69,-1.0,21.61,37.7,53.141064
80,-1.0,22.7,32.8,-1.0,-1.0,-1.0,22.18,-1.0,24.49,20.8,23.631298
81,49.01,61.49,126.27,-1.0,47.9,75.84,38.94,49.03,46.65,53.58,57.58703
82,11.1,-1.0,8.8,11.8,8.7,16.778,16.53,-1.0,8.81,41.2,19.656008
83,59.9,-1.0,147.4,67.89,26.4,126.26,-1.0,31.6,30.5,32.9,44.76222
84,-1.0,48.8,170.3,58.76,24.0,54.104,39.1,-1.0,-1.0,20.7,28.723454
85,-1.0,86.6,48.7,-1.0,57.7,55.735,64.2,-1.0,43.5,50.4,41.221992
86,-1.0,26.1,46.4,43.38,49.9,38.869,33.3,33.4,38.16,73.4,29.352102
87,-1.0,13.4,-1.0,-1.0,-1.0,-1.0,49.32,-1.0,20.43,30.1,21.812702
88,-1.0,49.4,158.6,-1.0,49.6,99.913,57.6,-1.0,50.7,58.3,49.648357
89,-1.0,58.3,36.4,-1.0,38.8,-1.0,38.23,55.0,30.65,46.6,30.111135
90,-1.0,28.3,39.8,-1.0,-1.0,-1.0,-1.0,-1.0,20.05,35.0,22.774086
91,37.9,-1.0,35.4,54.3,23.5,53.495,13.03,-1.0,28.29,85.6,43.785316
92,65.6,86.5,117.2,122.18,67.6,-1.0,108.4,-1.0,102.84,48.8,61.664753
93,31.8,-1.0,58.3,45.33,39.1,-1.0,-1.0,40.0,36.8,34.8,34.212334
94,-1.0,30.4,65.4,34.1,19.7,38.689,28.8,-1.0,23.3,21.4,23.056221
95,84.3,76.5,65.9,64.05,56.6,130.5,54.5,64.0,55.33,45.6,54.767353
96,-1.0,11.4,22.1,-1.0,-1.0,-1.0,-1.0,-1.0,19.16,16.8,17.251507
97,-1.0,23.7,31.4,-1.0,18.2,-1.0,-1.0,-1.0,17.97,16.6,16.278269
98,-1.0,59.2,50.1,-1.0,31.5,-1.0,38.57,26.1,34.84,33.0,27.22332
99,28.54,34.06,-1.0,129.91,38.47,55.25,28.43,43.57,45.17,43.88,41.541706
100,-1.0,34.6,34.9,-1.0,-1.0,-1.0,28.35,-1.0,30.69,5.5,26.037231
101,-1.0,58.7,116.5,-1.0,61.2,80.96,73.1,74.8,74.0,52.9,59.096638
102,67.58,53.92,148.14,-1.0,43.43,-1.0,43.38,34.17,43.39,43.85,54.075848
103,-1.0,88.8,-1.0,-1.0,53.7,-1.0,-1.0,-1.0,33.63,63.5,58.157497
104,-1.0,53.3,73.0,-1.0,43.7,-1.0,52.15,68.1,-1.0,38.8,44.039158
105,-1.0,44.2,60.1,42.96,46.2,55.044,34.7,-1.0,45.8,30.1,36.419697
106,16.8,17.83,-1.0,254.8,36.3,158.91,38.16,18.21,45.22,19.08,24.877197
107,-1.0,75.0,165.2,-1.0,60.7,197.17,84.1,75.6,-1.0,53.3,70.20366
108,-1.0,33.7,36.4,-1.0,33.6,132.82,28.2,-1.0,17.8,23.5,30.937014
109,-1.0,46.7,-1.0,-1.0,40.8,-1.0,-1.0,-1.0,38.02,41.8,36.545288
110,-1.0,42.5,80.2,-1.0,38.4,60.106,-1.0,-1.0,15.9,24.9,34.767952
111,-1.0,65.4,77.3,-1.0,43.0,-1.0,7.73,39.2,35.09,40.0,40.59396
112,21.93,48.6,176.47,-1.0,52.38,-1.0,68.72,23.86,74.0,59.06,46.569134
113,-1.0,19.8,-1.0,-1.0,15.2,-1.0,-1.0,-1.0,24.47,13.3,17.22857
114,76.07,-1.0,63.99,-1.0,64.43,63.53,74.13,47.08,49.13,55.83,77.35585
115,-1.0,12.78,18.8,47.79,10.2,34.77,15.89,17.75,12.89,15.38,16.322052
116,32.66,36.82,-1.0,113.3,39.79,73.96,49.0,31.56,63.63,43.4,41.88657
117,-1.0,41.1,47.3,-1.0,40.0,-1.0,-1.0,27.8,29.54,38.4,32.13183
118,-1.0,-1.0,-1.0,51.2,-1.0,97.553,66.49,-1.0,45.08,86.4,42.481472
119,-1.0,-1.0,-1.0,73.3,-1.0,49.35,61.24,-1.0,21.73,90.7,41.812252
120,32.4,-1.0,74.8,69.19,22.8,70.668,40.2,28.4,36.44,28.4,29.368877
121,-1.0,28.9,46.7,-1.0,-1.0,-1.0,21.04,-1.0,10.73,10.8,18.115664
122,-1.0,34.1,71.6,47.64,32.1,48.84,40.2,-1.0,48.3,45.5,30.749493
123,-1.0,40.6,45.7,-1.0,30.1,-1.0,-1.0,46.2,-1.0,29.0,25.314476
124,-1.0,53.1,71.0,-1.0,76.2,-1.0,12.14,30.9,40.86,59.9,35.79404
125,-1.0,32.1,47.7,19.1,-1.0,51.541,83.93,-1.0,-1.0,9.9,25.407207
126,2.1,-1.0,22.5,31.0,-1.0,30.762,-1.0,-1.0,21.74,38.7,15.766587
127,29.63,36.53,-1.0,101.91,33.25,89.59,20.5,25.13,35.98,45.23,36.198856
128,23.1,-1.0,48.9,29.27,32.3,59.794,-1.0,21.2,19.2,26.3,24.128677
129,-1.0,57.6,-1.0,-1.0,43.0,-1.0,-1.0,71.6,56.27,34.7,31.995699
130,-1.0,41.8,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,21.38,29.3,22.279041
131,-1.0,53.4,78.7,-1.0,30.9,-1.0,49.61,27.6,28.07,35.7,29.293226
132,-1.0,41.7,136.6,90.41,32.8,130.51,40.9,-1.0,-1.0,19.0,29.854153
133,21.8,29.0,-1.0,-1.0,33.68,136.56,20.07,22.57,30.77,31.61,30.220999
134,-1.0,22.5,47.1,44.98,12.2,79.77,25.3,36.6,24.8,24.4,24.096783
135,21.3,-1.0,31.1,26.23,23.2,57.159,23.3,19.0,15.96,9.7,21.232054
136,-1.0,40.8,19.1,-1.0,-1.0,-1.0,-1.0,-1.0,20.1,11.9,20.239918
137,-1.0,-1.0,-1.0,29.4,-1.0,37.751,34.93,-1.0,19.96,35.8,25.230286
138,-1.0,48.1,168.4,135.26,43.6,170.66,52.8,-1.0,57.3,53.5,55.77595
139,53.0,-1.0,156.8,139.53,43.6,117.49,-1.0,63.0,51.79,54.9,63.438313
140,7.11,-1.0,38.32,-1.0,11.62,-1.0,12.32,12.84,11.23,8.05,18.511791
141,-1.0,68.4,45.7,-1.0,-1.0,-1.0,19.0,-1.0,16.31,19.8,22.558746
142,-1.0,38.6,41.5,59.51,44.9,79.193,45.0,-1.0,29.4,29.6,35.42567
143,-1.0,95.5,86.4,-1.0,45.5,-1.0,-1.0,31.3,58.69,66.4,40.023056
144,43.68,62.67,67.12,-1.0,24.59,-1.0,48.41,37.25,28.92,36.36,32.510223
145,22.2,-1.0,-1.0,39.0,25.3,43.982,62.36,-1.0,39.94,59.2,42.53286
146,24.16,42.48,71.77,-1.0,39.87,-1.0,26.81,28.22,29.75,38.83,32.343975
147,-1.0,36.6,-1.0,-1.0,25.4,-1.0,-1.0,23.4,28.83,31.1,26.856392
