,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
0,-1.0,22.6,27.1,45.3,-1.0,12.7,-1.0,47.59,14.2,36.45,20.968147
1,-1.0,60.1,50.0,157.2,61.22,25.0,103.6,55.2,53.7,43.3,53.094913
2,60.4,52.1,-1.0,99.4,109.03,44.0,131.41,-1.0,90.2,67.44,60.40151
3,-1.0,17.0,40.1,43.6,-1.0,29.4,-1.0,40.09,49.3,39.16,37.195633
4,-1.0,33.0,13.4,21.7,35.29,33.7,28.951,39.3,26.7,34.87,33.635513
5,-1.0,24.9,33.4,128.4,56.82,32.5,125.94,35.2,-1.0,26.3,30.601788
6,2.7,-1.0,-1.0,5.9,-1.0,2.9,18.624,16.2,-1.0,8.0,7.799889
7,-1.0,19.6,40.7,11.2,-1.0,-1.0,-1.0,27.99,-1.0,38.4,17.422913
8,19.46,20.64,16.16,20.93,-1.0,13.1,-1.0,18.0,21.84,12.52,16.601307
9,-1.0,72.4,103.1,162.2,-1.0,55.5,136.17,-1.0,71.4,75.9,76.499565
10,15.79,24.75,42.08,48.07,-1.0,-1.0,-1.0,29.15,18.31,36.52,28.213064
11,-1.0,22.5,24.0,45.1,-1.0,-1.0,-1.0,36.37,-1.0,21.0,21.535501
12,-1.0,16.5,46.1,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.18,24.087969
13,-1.0,31.7,45.3,-1.0,-1.0,25.9,-1.0,-1.0,32.3,26.9,31.173517
14,25.9,36.5,-1.0,-1.0,30.4,21.7,50.902,74.09,-1.0,29.4,29.731998
15,15.7,34.8,-1.0,14.2,14.05,12.3,41.563,-1.0,29.9,11.08,20.155275
16,-1.0,-1.0,-1.0,38.9,63.0,21.0,64.033,31.2,34.0,30.5,28.127033
17,27.3,32.17,18.71,-1.0,-1.0,20.77,52.38,14.69,16.42,20.43,23.389572
18,-1.0,38.2,34.5,53.1,64.71,36.3,252.33,43.1,50.6,52.73,39.250744
19,59.9,-1.0,-1.0,79.3,65.67,66.7,119.64,-1.0,59.6,63.43,63.283226
20,-1.0,2.0,39.4,34.0,-1.0,-1.0,-1.0,3.64,-1.0,17.52,28.399923
21,-1.0,-1.0,-1.0,17.0,15.51,14.2,12.552,24.1,31.4,12.2,19.447588
22,-1.0,52.4,55.4,198.9,-1.0,59.6,-1.0,51.16,35.1,62.93,53.953644
23,-1.0,26.8,23.6,55.0,-1.0,-1.0,-1.0,29.27,-1.0,25.42,21.093418
24,-1.0,41.4,55.1,52.5,-1.0,-1.0,-1.0,72.57,41.5,46.84,33.286034
25,-1.0,15.4,42.7,37.9,-1.0,33.1,-1.0,-1.0,-1.0,25.68,25.328411
26,-1.0,-1.0,37.4,41.9,-1.0,-1.0,-1.0,18.53,-1.0,21.28,18.53486
27,-1.0,25.7,59.0,79.2,-1.0,33.4,-1.0,36.22,36.2,27.66,31.233234
28,-1.0,-1.0,54.0,71.9,33.09,18.9,70.202,23.0,31.2,18.7,21.561426
29,-1.0,16.2,24.6,24.1,-1.0,-1.0,-1.0,-1.0,-1.0,15.33,17.352266
30,19.13,16.87,11.11,-1.0,-1.0,15.85,31.04,19.42,26.36,20.96,19.998035
31,-1.0,-1.0,76.6,196.4,40.25,38.8,136.09,37.3,36.7,29.2,40.204544
32,-1.0,26.0,38.0,38.8,-1.0,34.7,-1.0,-1.0,39.8,33.66,31.870022
33,-1.0,43.4,53.3,97.6,50.22,50.6,120.64,53.2,-1.0,56.6,50.259148
34,-1.0,42.8,62.7,156.2,93.62,49.8,76.779,57.4,54.5,55.18,59.036118
35,19.2,21.8,-1.0,32.9,29.06,23.2,59.876,27.0,25.6,28.83,25.284662
36,-1.0,30.8,42.7,47.7,49.66,25.0,-1.0,44.6,-1.0,31.0,34.183723
37,29.4,11.5,-1.0,30.8,47.9,23.1,-1.0,21.44,-1.0,26.9,21.340527
38,-1.0,3.1,14.7,4.6,-1.0,-1.0,-1.0,-1.0,-1.0,4.86,8.24874
39,-1.0,-1.0,-1.0,49.1,38.66,27.8,37.852,39.9,31.2,18.4,35.011597
40,-1.0,3.6,41.7,26.2,-1.0,-1.0,-1.0,29.11,-1.0,23.08,18.176556
41,33.1,-1.0,-1.0,25.7,87.4,-1.0,48.124,-1.0,-1.0,17.11,22.77871
42,-1.0,33.7,28.8,63.2,46.69,30.4,41.428,35.7,-1.0,31.3,33.419403
43,-1.0,6.7,-1.0,-1.0,8.5,-1.0,20.482,6.72,-1.0,10.46,6.9652214
44,-1.0,-1.0,139.5,296.8,330.57,110.0,213.25,146.5,139.1,173.7,158.10437
45,-1.0,43.6,84.9,55.8,-1.0,60.7,-1.0,-1.0,41.1,53.96,45.67401
46,-1.0,14.5,30.8,33.1,33.96,26.6,43.364,28.8,-1.0,27.6,25.833277
47,-1.0,41.0,72.8,86.7,59.07,48.6,92.375,52.5,-1.0,60.4,48.02701
48,-1.0,28.3,35.4,67.5,-1.0,30.9,-1.0,36.29,36.9,22.52,32.431103
49,-1.0,36.4,50.7,192.7,247.85,52.2,215.57,59.6,-1.0,66.6,70.47595
50,27.4,21.5,-1.0,15.5,35.5,-1.0,35.278,26.54,-1.0,21.45,22.734797
51,-1.0,32.3,21.1,20.9,-1.0,21.8,-1.0,20.64,-1.0,21.64,18.573465
52,-1.0,-1.0,-1.0,18.1,19.71,11.1,37.023,33.7,12.5,24.3,15.247205
53,-1.0,33.7,52.7,63.2,-1.0,22.7,-1.0,46.12,28.3,32.24,31.167978
54,-1.0,13.0,44.3,12.4,-1.0,-1.0,-1.0,4.57,-1.0,11.87,14.86467
55,-1.0,11.2,32.3,32.3,-1.0,-1.0,-1.0,39.07,-1.0,18.51,20.501282
56,27.21,32.59,50.93,-1.0,-1.0,30.97,41.94,31.71,29.33,36.28,32.48382
57,-1.0,39.0,57.8,57.6,135.42,26.5,82.621,64.3,30.9,38.4,47.510105
58,-1.0,37.7,50.1,90.3,38.79,34.8,65.399,35.8,-1.0,31.1,33.609703
59,13.1,19.6,-1.0,-1.0,27.4,14.8,18.147,30.64,-1.0,21.68,17.654015
60,-1.0,21.7,46.4,61.7,-1.0,-1.0,-1.0,42.46,-1.0,21.02,26.092573
61,32.5,10.7,-1.0,39.7,45.7,26.5,92.775,26.87,-1.0,31.64,30.05785
62,21.6,30.7,-1.0,100.8,51.78,19.6,63.85,45.4,23.3,57.52,31.545664
63,-1.0,33.9,37.8,116.9,60.71,65.2,152.82,-1.0,-1.0,66.8,47.70802
64,-1.0,77.1,57.3,-1.0,-1.0,35.4,-1.0,-1.0,16.8,34.54,28.595491
65,20.4,-1.0,-1.0,15.6,29.35,10.7,53.973,10.7,18.5,12.23,13.972897
66,-1.0,-1.0,14.6,42.9,19.68,30.8,26.786,46.2,49.9,38.2,35.28013
67,-1.0,39.8,26.0,38.0,42.46,32.9,45.928,38.4,-1.0,32.7,35.751774
68,-1.0,-1.0,55.9,122.3,-1.0,53.6,84.025,64.7,84.9,58.4,58.208088
69,-1.0,12.67,18.0,20.05,41.78,12.8,78.93,10.87,18.61,21.99,13.802378
70,-1.0,62.7,105.8,124.1,-1.0,-1.0,-1.0,-1.0,9.3,35.26,42.904236
71,41.72,56.32,59.5,-1.0,-1.0,43.71,14.44,40.61,32.83,55.43,44.994263
72,-1.0,-1.0,-1.0,-1.0,39.3,-1.0,42.566,37.83,-1.0,27.16,20.97672
73,-1.0,20.3,40.8,22.1,15.29,26.4,55.266,26.1,52.7,29.7,27.390326
74,-1.0,5.0,33.3,-1.0,-1.0,32.5,-1.0,-1.0,-1.0,31.38,28.563784
75,-1.0,37.3,44.5,70.7,-1.0,-1.0,-1.0,-1.0,-1.0,7.88,27.599081
76,17.31,22.58,20.86,-1.0,-1.0,12.39,12.34,34.57,-1.0,27.09,19.956337
77,34.68,60.49,47.69,-1.0,-1.0,34.29,65.52,39.12,83.2,111.9,54.294495
78,-1.0,12.3,-1.0,-1.0,34.3,-1.0,26.514,23.36,-1.0,13.03,15.890468
79,-1.0,-1.0,-1.0,42.6,34.43,5.8,27.527,15.5,26.1,18.7,20.815716
80,-1.0,20.8,-1.0,30.0,-1.0,19.1,-1.0,42.06,23.9,25.93,26.371084
81,-1.0,-1.0,-1.0,21.6,33.83,17.0,56.973,14.0,12.4,11.9,16.809113
82,-1.0,21.5,28.3,32.9,-1.0,26.6,-1.0,-1.0,39.7,29.67,31.720703
83,102.79,65.49,36.53,-1.0,-1.0,45.76,47.35,53.35,0.05,87.37,47.75121
84,-1.0,40.5,49.7,66.9,-1.0,26.1,-1.0,34.13,18.7,30.93,27.89975
85,-1.0,12.52,12.43,14.11,73.71,12.0,67.44,15.9,19.06,24.18,17.86411
86,44.6,66.9,-1.0,312.5,176.67,55.9,135.85,77.7,50.8,76.44,103.14539
87,-1.0,-1.0,-1.0,75.4,98.06,62.1,100.38,52.6,41.7,56.4,46.336163
88,-1.0,39.8,115.6,82.7,-1.0,34.8,-1.0,-1.0,29.7,35.51,40.747562
89,-1.0,7.9,53.8,51.1,43.11,37.5,56.465,52.2,36.4,38.76,43.021492
90,-1.0,47.2,66.2,112.1,50.05,43.2,67.677,62.0,-1.0,56.4,45.396362
91,-1.0,55.9,63.4,164.3,228.99,58.8,158.29,62.0,-1.0,46.4,63.029484
92,-1.0,-1.0,-1.0,-1.0,14.1,-1.0,17.939,34.04,-1.0,15.45,12.44941
93,-1.0,70.4,60.0,127.3,121.21,64.9,139.12,92.2,-1.0,36.0,73.364525
94,-1.0,22.2,50.2,36.0,-1.0,27.9,-1.0,-1.0,16.2,37.06,26.683195
95,-1.0,27.0,157.1,41.6,-1.0,25.4,-1.0,-1.0,-1.0,24.65,61.9037
96,-1.0,12.6,33.6,43.8,-1.0,-1.0,-1.0,29.22,-1.0,30.33,19.77792
97,-1.0,92.1,82.1,146.7,120.83,53.4,87.827,102.0,64.3,67.35,77.79454
98,8.2,5.8,-1.0,17.6,31.0,14.3,-1.0,18.67,-1.0,15.25,14.8310375
99,27.5,17.5,-1.0,29.1,49.9,18.2,-1.0,39.58,-1.0,25.47,25.176447
100,-1.0,20.8,24.5,26.4,-1.0,-1.0,-1.0,3.5,-1.0,15.22,16.325903
101,-1.0,-1.0,12.2,44.3,43.43,33.8,46.876,17.2,20.0,20.5,28.651
