,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
0,-1.0,-1.0,27.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.62,23.369846
1,-1.0,20.1,51.4,-1.0,18.2,-1.0,-1.0,17.9,23.88,25.3,38.34346
2,-1.0,117.1,188.3,-1.0,118.9,247.14,93.2,-1.0,154.1,63.7,85.502014
3,-1.0,-1.0,9.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.68,10.178308
4,-1.0,24.2,58.6,53.01,70.7,91.925,26.9,-1.0,28.3,26.8,30.607164
5,-1.0,36.2,52.6,-1.0,26.8,-1.0,-1.0,28.5,28.94,35.4,41.82265
6,-1.0,78.1,-1.0,-1.0,65.2,-1.0,-1.0,95.1,56.24,62.1,70.20953
7,-1.0,21.7,169.3,-1.0,-1.0,-1.0,-1.0,2.4,31.96,46.2,46.130096
8,29.95,23.62,-1.0,-1.0,20.24,38.83,18.14,21.34,22.19,23.87,27.366503
9,-1.0,23.8,39.0,-1.0,-1.0,-1.0,0.03,-1.0,7.44,28.0,23.577377
10,-1.0,25.6,122.6,70.2,39.4,96.894,40.3,-1.0,29.0,32.4,45.550243
11,15.94,25.89,-1.0,-1.0,19.88,-1.0,31.03,21.5,29.92,41.98,36.954636
12,-1.0,10.3,16.5,-1.0,-1.0,-1.0,-1.0,6.1,8.17,16.7,17.456125
13,-1.0,14.1,24.8,-1.0,-1.0,-1.0,-1.0,3.2,10.56,25.9,29.240654
14,-1.0,10.9,104.5,73.1,-1.0,101.82,-1.0,-1.0,-1.0,128.1,67.21001
15,-1.0,-1.0,19.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.2,18.827925
16,-1.0,38.4,42.4,55.8,35.3,47.709,52.57,-1.0,-1.0,56.4,47.004894
17,-1.0,-1.0,20.67,80.84,-1.0,-1.0,-1.0,-1.0,-1.0,6.36,14.669253
18,66.67,136.43,-1.0,-1.0,47.97,78.55,53.02,59.28,51.37,68.48,74.218796
19,-1.0,8.5,4.4,-1.0,-1.0,-1.0,19.51,-1.0,5.97,27.5,12.527088
20,25.9,71.01,277.89,-1.0,58.37,-1.0,67.38,6.72,38.42,82.07,63.47359
21,-1.0,17.5,64.1,-1.0,13.9,-1.0,62.27,10.8,12.93,22.5,38.49044
22,-1.0,2.9,-1.0,7.9,-1.0,86.54,-1.0,-1.0,4.4,9.6,31.712988
23,-1.0,-1.0,26.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.03,22.722782
24,-1.0,51.1,396.9,136.79,73.1,329.09,45.1,93.3,56.87,57.2,83.29951
25,-1.0,46.6,54.1,-1.0,52.5,-1.0,77.24,88.1,60.95,63.2,72.991905
26,-1.0,-1.0,-1.0,-1.0,9.3,-1.0,-1.0,-1.0,21.56,61.0,47.33323
27,-1.0,15.4,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.64,20.6,13.149228
28,-1.0,19.9,27.4,-1.0,-1.0,-1.0,12.3,-1.0,14.74,15.0,19.587688
29,38.15,29.22,37.98,-1.0,23.59,-1.0,24.23,24.67,30.46,25.38,20.541552
30,-1.0,-1.0,43.3,50.99,25.9,91.648,20.3,38.5,2.8,31.5,27.562038
31,-1.0,19.3,30.0,43.3,22.1,59.734,32.2,-1.0,26.9,29.1,30.156069
32,-1.0,-1.0,48.6,46.07,29.1,145.26,43.7,74.6,28.6,47.8,32.31288
33,-1.0,28.8,59.0,-1.0,-1.0,-1.0,36.8,-1.0,29.09,50.1,45.57747
34,18.36,29.79,-1.0,26.88,22.47,44.17,31.41,27.59,28.88,33.48,35.37614
35,-1.0,-1.0,29.12,66.03,-1.0,116.67,-1.0,-1.0,-1.0,29.96,34.3523
36,-1.0,39.8,67.2,-1.0,35.8,-1.0,-1.0,36.5,32.53,62.8,51.966553
37,-1.0,53.2,68.2,42.5,45.2,90.847,61.69,-1.0,-1.0,86.5,53.67673
38,-1.0,27.9,9.7,27.29,22.7,85.127,25.1,23.3,28.22,18.8,28.91358
39,17.3,27.1,45.2,19.61,19.6,46.309,40.1,30.7,28.09,39.0,41.610573
40,-1.0,-1.0,127.1,-1.0,-1.0,-1.0,20.65,-1.0,41.73,36.2,76.59981
41,21.27,26.81,-1.0,143.19,24.3,67.82,20.1,21.8,25.95,30.76,27.93833
42,-1.0,5.3,9.2,-1.0,-1.0,-1.0,5.66,-1.0,7.93,8.5,14.11871
43,-1.0,28.7,103.2,42.11,24.4,65.656,42.6,-1.0,39.79,54.5,37.171635
44,-1.0,6.2,38.8,-1.0,-1.0,-1.0,15.9,-1.0,8.03,45.0,17.629011
45,-1.0,7.2,20.4,-1.0,-1.0,-1.0,27.15,-1.0,14.89,22.6,24.55461
46,-1.0,24.5,-1.0,-1.0,41.3,-1.0,-1.0,-1.0,39.09,34.7,42.693737
47,-1.0,27.5,42.1,-1.0,-1.0,-1.0,36.88,-1.0,-1.0,48.8,46.302006
48,-1.0,-1.0,38.5,26.8,23.8,61.772,39.0,21.8,31.3,16.4,29.733965
49,-1.0,-1.0,174.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.41,58.78178
50,-1.0,24.5,63.6,44.2,21.6,54.867,38.0,-1.0,23.2,39.5,38.475807
51,-1.0,37.3,39.7,64.6,50.4,55.791,20.28,-1.0,-1.0,42.7,23.288967
52,-1.0,35.3,48.2,85.26,38.6,80.999,46.3,-1.0,44.2,42.4,46.27341
53,-1.0,11.2,12.7,-1.0,-1.0,-1.0,17.67,-1.0,14.84,7.5,21.404732
54,-1.0,14.9,20.8,-1.0,-1.0,-1.0,13.64,-1.0,14.53,14.8,18.54033
