,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
0,-1.0,21.6,17.5,-1.0,-1.0,-1.0,26.68,-1.0,-1.0,10.8,27.580263
1,-1.0,29.1,108.9,112.6,-1.0,83.626,77.8,-1.0,-1.0,67.8,41.187927
2,-1.0,44.4,-1.0,-1.0,-1.0,-1.0,21.65,35.0,-1.0,34.2,23.175089
3,17.71,25.08,-1.0,-1.0,23.79,37.75,27.31,19.33,23.97,36.13,31.822174
4,31.76,-1.0,-1.0,50.93,39.46,46.18,55.41,42.31,52.67,66.36,48.9751
5,-1.0,87.9,284.1,94.49,81.3,109.28,122.5,-1.0,95.9,77.9,125.48143
6,-1.0,24.6,53.0,-1.0,34.2,-1.0,-1.0,24.3,40.39,46.3,42.929497
7,15.08,-1.0,-1.0,-1.0,19.09,22.07,19.89,17.05,24.18,26.54,18.108086
8,50.3,49.4,179.6,115.23,54.2,204.23,83.8,61.4,92.04,86.6,82.57769
9,-1.0,-1.0,117.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.57,53.691643
10,-1.0,44.7,226.4,-1.0,68.9,-1.0,89.52,55.1,72.35,69.7,86.430855
11,-1.0,44.0,78.7,-1.0,-1.0,-1.0,64.85,-1.0,37.98,48.3,62.746292
12,-1.0,37.5,46.8,-1.0,26.7,-1.0,18.88,31.9,17.36,43.3,27.127317
13,-1.0,-1.0,237.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.54,76.47597
14,16.78,-1.0,26.64,-1.0,17.79,147.19,22.94,11.59,17.41,28.43,25.223911
15,-1.0,-1.0,39.8,-1.0,-1.0,-1.0,-1.0,-1.0,29.27,45.4,36.996407
16,-1.0,31.6,42.4,57.89,33.3,67.187,32.0,-1.0,35.9,28.1,34.058502
17,-1.0,30.9,99.3,-1.0,45.2,-1.0,38.83,44.4,-1.0,54.8,44.65964
18,-1.0,25.6,-1.0,48.2,-1.0,43.449,28.9,-1.0,-1.0,19.8,34.990387
19,-1.0,34.8,72.1,33.35,26.9,56.709,31.2,-1.0,29.2,39.6,37.887585
20,-1.0,52.9,51.1,75.83,44.1,97.696,52.5,-1.0,55.7,44.9,48.546482
21,45.3,33.5,227.8,77.15,38.2,165.96,55.2,39.9,73.61,48.3,65.093925
22,-1.0,25.4,50.7,-1.0,36.4,-1.0,30.36,57.7,47.93,36.4,42.120316
23,34.92,41.44,61.13,-1.0,48.7,64.5,43.66,46.73,45.57,48.24,48.578503
24,89.9,94.9,258.0,193.04,77.7,191.74,151.0,53.1,101.27,192.2,140.99701
25,-1.0,27.5,46.0,-1.0,-1.0,-1.0,46.16,-1.0,-1.0,37.2,48.612625
26,-1.0,18.2,61.4,-1.0,22.2,-1.0,65.38,47.3,32.43,71.4,41.481426
27,-1.0,28.3,116.7,83.8,69.9,97.017,60.2,-1.0,59.1,38.8,56.719696
28,-1.0,29.8,35.8,31.28,22.0,59.617,41.2,53.6,39.0,79.1,34.096443
29,-1.0,-1.0,91.4,67.04,22.7,95.717,31.1,38.7,27.7,108.9,37.707344
30,-1.0,10.4,8.6,-1.0,-1.0,-1.0,12.24,-1.0,4.09,16.1,11.511334
31,-1.0,74.7,110.9,-1.0,38.5,-1.0,95.39,27.2,45.05,122.0,79.85263
32,14.8,-1.0,-1.0,44.66,21.01,54.51,22.56,14.82,20.65,31.45,26.202538
33,-1.0,53.0,-1.0,-1.0,56.2,-1.0,-1.0,-1.0,47.74,60.3,44.3901
34,-1.0,-1.0,102.15,45.95,-1.0,31.39,-1.0,-1.0,-1.0,114.65,54.62208
35,-1.0,13.6,141.8,-1.0,41.5,-1.0,70.74,25.9,75.81,54.7,52.750706
36,-1.0,34.0,59.1,-1.0,38.3,149.36,48.0,-1.0,33.2,49.1,43.415993
37,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.51,12.8,9.7617655
38,-1.0,13.9,51.8,-1.0,20.7,-1.0,29.51,-1.0,22.79,26.1,33.29567
39,13.36,39.01,-1.0,85.7,23.72,68.75,14.8,18.19,17.03,15.69,23.663002
40,-1.0,61.4,119.7,-1.0,79.6,-1.0,-1.0,47.6,100.09,82.2,81.8498
41,26.75,32.93,-1.0,-1.0,37.19,55.78,27.69,27.63,32.73,25.5,33.369423
42,-1.0,25.2,35.4,-1.0,-1.0,-1.0,24.92,-1.0,17.23,20.0,24.896679
43,-1.0,25.8,23.2,-1.0,0.0,-1.0,45.08,-1.0,14.6,21.9,23.3699
44,-1.0,-1.0,29.76,26.07,-1.0,116.92,-1.0,-1.0,-1.0,42.01,25.171404
45,-1.0,-1.0,28.56,-1.0,-1.0,194.77,-1.0,-1.0,-1.0,52.76,33.79972
46,-1.0,-1.0,28.13,60.98,-1.0,-1.0,-1.0,-1.0,-1.0,2.56,20.735807
47,-1.0,47.5,56.6,44.37,43.2,64.19,41.8,-1.0,38.5,47.1,40.1885
48,-1.0,37.9,66.8,57.18,42.8,72.022,49.0,-1.0,26.7,42.5,45.061604
49,33.88,48.72,-1.0,41.61,37.83,71.67,43.35,42.6,34.68,68.24,47.011982
50,-1.0,-1.0,10.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.99,10.434929
51,-1.0,-1.0,13.0,30.73,13.0,51.943,14.1,30.6,11.9,19.6,14.141104
52,-1.0,25.5,59.7,42.78,29.5,37.329,22.1,17.0,24.6,22.1,32.336246
53,-1.0,13.4,20.9,21.83,11.1,46.946,19.7,-1.0,13.8,17.4,20.068329
54,25.19,39.47,-1.0,33.53,40.19,38.17,35.92,37.7,49.25,34.44,37.79105
55,-1.0,-1.0,73.39,-1.0,-1.0,41.75,-1.0,-1.0,-1.0,25.18,46.28574
56,-1.0,73.8,97.3,68.7,-1.0,105.65,-1.0,-1.0,-1.0,92.3,98.93795
57,-1.0,39.7,63.3,-1.0,32.4,-1.0,21.55,20.8,33.1,33.8,46.301373
58,-1.0,-1.0,21.42,-1.0,-1.0,69.87,-1.0,-1.0,-1.0,18.52,19.684427
59,-1.0,36.89,32.3,28.73,19.5,41.53,20.16,21.02,12.55,21.68,21.88185
60,-1.0,26.7,30.4,-1.0,-1.0,-1.0,30.67,-1.0,-1.0,30.7,39.785522
61,15.94,25.89,-1.0,-1.0,19.88,-1.0,31.03,21.5,29.92,41.98,32.513134
62,-1.0,46.8,217.1,143.6,62.8,148.14,148.93,-1.0,-1.0,114.7,123.60723
63,-1.0,18.9,72.1,-1.0,17.7,-1.0,1.78,24.0,13.41,47.9,40.666424
64,-1.0,25.9,56.9,-1.0,20.0,-1.0,-1.0,18.5,20.93,32.4,41.493156
65,-1.0,-1.0,-1.0,-1.0,-1.0,229.09,-1.0,-1.0,-1.0,13.37,24.73248
66,-1.0,14.4,15.7,-1.0,-1.0,-1.0,-1.0,-1.0,10.95,22.0,16.33596
67,35.69,35.02,-1.0,-1.0,25.92,79.47,31.09,40.91,32.49,29.65,35.098927
68,-1.0,-1.0,128.09,99.41,-1.0,105.61,-1.0,-1.0,-1.0,52.45,76.28733
69,-1.0,17.4,20.5,-1.0,-1.0,-1.0,20.58,-1.0,11.58,11.9,18.57911
70,-1.0,16.3,115.4,91.86,6.2,59.201,17.8,16.4,32.44,22.7,33.363247
71,-1.0,-1.0,56.09,20.19,-1.0,-1.0,-1.0,-1.0,-1.0,20.16,30.271112
72,7.44,22.87,-1.0,42.5,14.95,15.28,17.75,17.69,18.52,27.46,26.144018
73,-1.0,43.1,116.3,-1.0,35.2,-1.0,50.1,32.5,30.11,69.2,63.09724
74,-1.0,56.4,96.4,-1.0,54.2,-1.0,71.39,49.8,49.01,80.4,67.33407
75,-1.0,-1.0,29.06,-1.0,-1.0,84.19,-1.0,-1.0,-1.0,11.13,27.569162
76,-1.0,54.1,78.2,58.18,82.8,83.611,35.2,53.6,93.71,52.1,75.39934
77,-1.0,22.1,8.1,-1.0,-1.0,-1.0,22.9,-1.0,14.74,8.3,15.334514
78,17.98,22.66,-1.0,-1.0,21.08,27.63,24.92,21.05,24.35,21.61,27.708694
79,-1.0,-1.0,110.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.28,52.378605
80,73.9,34.3,65.9,61.69,43.8,111.86,28.4,44.9,49.51,47.2,49.98578
81,-1.0,-1.0,190.7,149.1,46.6,126.61,33.99,-1.0,-1.0,101.3,71.48308
82,-1.0,-1.0,37.8,-1.0,-1.0,-1.0,-1.0,-1.0,16.4,24.0,29.07079
83,-1.0,16.1,10.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.35,10.7,24.342203
84,-1.0,28.5,95.8,53.51,20.4,85.157,29.6,-1.0,-1.0,28.0,44.633488
85,-1.0,-1.0,51.9,-1.0,-1.0,-1.0,-1.0,-1.0,19.59,44.8,41.47392
86,-1.0,-1.0,56.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.06,35.271843
87,-1.0,-1.0,17.24,-1.0,-1.0,40.02,-1.0,-1.0,-1.0,25.64,19.76092
88,-1.0,92.0,224.5,180.24,85.1,189.54,88.1,-1.0,69.4,102.1,86.10509
89,14.49,38.93,-1.0,-1.0,57.96,89.83,20.84,19.39,19.68,28.74,35.084892
90,-1.0,36.2,83.5,-1.0,-1.0,-1.0,-1.0,37.1,35.79,59.9,48.931557
91,-1.0,26.8,-1.0,27.8,-1.0,39.035,-1.0,-1.0,17.57,48.1,40.645004
92,-1.0,-1.0,33.2,9.0,26.8,38.51,-1.0,-1.0,-1.0,45.3,35.644627
93,-1.0,7.1,8.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.1,25.7858
94,49.45,62.82,-1.0,74.33,67.83,35.28,46.98,72.58,53.54,81.74,53.017666
95,-1.0,30.9,98.2,-1.0,-1.0,-1.0,42.55,21.6,27.19,66.8,44.370598
96,-1.0,-1.0,19.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.27,17.788153
97,-1.0,60.6,95.8,-1.0,46.6,-1.0,15.19,43.4,44.32,54.1,63.465706
98,-1.0,15.3,159.0,-1.0,30.3,-1.0,80.97,25.7,-1.0,45.6,42.21569
99,-1.0,-1.0,14.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.94,13.872989
100,-1.0,-1.0,107.1,66.14,38.8,70.374,33.7,45.5,26.9,17.4,51.132084
101,0.0,-1.0,29.9,58.5,44.1,46.894,69.78,-1.0,-1.0,31.2,24.434155
102,-1.0,34.0,46.9,-1.0,43.4,-1.0,48.19,35.2,43.73,52.3,46.83852
103,-1.0,29.1,68.6,-1.0,25.1,-1.0,-1.0,-1.0,19.82,63.1,53.32619
104,-1.0,43.4,54.7,-1.0,49.8,-1.0,-1.0,39.5,47.85,79.8,49.97642
105,-1.0,0.9,48.2,-1.0,17.2,-1.0,23.91,13.5,22.17,52.7,34.672615
106,-1.0,33.3,130.7,-1.0,38.0,-1.0,-1.0,35.5,55.31,167.7,68.3888
107,41.03,61.45,108.91,-1.0,72.22,99.56,49.99,50.39,-1.0,76.15,61.764202
108,-1.0,56.0,153.4,-1.0,92.1,-1.0,-1.0,59.7,61.98,112.5,86.36665
109,-1.0,44.5,86.6,49.24,36.1,46.533,28.2,-1.0,-1.0,41.0,62.42658
110,9.45,-1.0,-1.0,41.76,13.36,27.91,29.12,13.54,16.17,22.56,28.006098
111,100.9,118.6,185.1,212.38,88.8,310.05,132.6,97.5,149.79,93.4,125.62278
112,-1.0,23.9,52.8,48.17,24.8,73.926,34.4,40.2,36.42,32.1,38.951572
113,-1.0,104.9,116.9,-1.0,22.1,-1.0,59.07,22.7,37.09,74.1,121.25317
114,-1.0,64.8,90.1,40.74,60.7,62.831,54.1,59.0,73.59,53.6,54.236217
115,-1.0,33.93,39.04,71.55,19.34,48.98,16.26,23.86,25.02,22.54,35.243896
116,-1.0,1.4,19.7,-1.0,-1.0,-1.0,12.65,-1.0,13.01,22.9,19.54895
117,-1.0,44.1,56.5,-1.0,48.1,-1.0,53.1,42.1,58.05,67.0,49.041348
118,23.25,29.9,-1.0,198.77,29.61,21.97,25.86,33.04,29.63,33.15,28.80267
119,-1.0,-1.0,34.86,-1.0,-1.0,233.31,-1.0,-1.0,-1.0,19.63,36.204918
120,-1.0,14.8,33.2,-1.0,-1.0,-1.0,-1.0,-1.0,10.89,29.8,24.042547
121,-1.0,-1.0,83.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.42,45.775646
122,-1.0,20.4,47.1,-1.0,21.1,-1.0,-1.0,15.8,13.92,53.0,35.40711
123,-1.0,-1.0,54.7,-1.0,33.8,89.336,60.2,77.6,58.6,42.5,41.370796
124,-1.0,28.3,63.6,134.39,19.9,96.42,49.0,-1.0,39.0,35.9,41.342777
125,40.47,58.22,-1.0,-1.0,45.47,93.38,38.45,40.17,44.52,68.57,46.40266
126,-1.0,19.0,37.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.4,38.948856
127,-1.0,83.1,392.2,-1.0,55.9,249.44,47.4,57.9,60.4,60.6,78.5794
128,-1.0,17.0,125.8,39.7,23.7,57.806,25.5,-1.0,24.4,27.9,39.583527
129,-1.0,35.1,130.8,72.69,52.6,163.74,74.7,-1.0,49.2,29.5,90.12992
130,32.16,47.29,-1.0,86.82,45.05,78.83,37.43,39.18,41.04,38.62,41.61534
131,-1.0,17.3,20.7,29.16,27.8,91.009,22.3,-1.0,14.5,23.9,28.246336
132,61.9,46.4,178.8,245.31,60.9,208.19,60.0,-1.0,129.38,57.0,97.47618
133,-1.0,-1.0,32.45,-1.0,-1.0,51.23,-1.0,-1.0,-1.0,25.74,31.709597
134,-1.0,-1.0,34.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.04,26.123371
135,-1.0,22.2,35.5,-1.0,-1.0,-1.0,12.94,-1.0,18.85,21.5,24.857672
136,-1.0,32.7,27.3,37.42,21.2,66.761,50.2,90.3,41.61,25.8,32.99153
137,-1.0,-1.0,31.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.27,25.080776
138,-1.0,29.9,41.5,30.64,27.7,47.169,43.9,-1.0,34.4,38.9,34.474285
139,-1.0,40.9,70.3,51.75,38.7,52.397,34.9,-1.0,48.0,43.2,42.2318
140,-1.0,-1.0,90.8,68.73,55.1,76.798,66.4,103.5,74.5,55.9,57.296215
141,-1.0,7.9,27.7,-1.0,3.5,-1.0,-1.0,20.5,-1.0,12.6,19.002087
142,-1.0,82.6,291.7,-1.0,84.4,-1.0,110.95,86.4,97.31,84.6,123.960075
