,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
0,34.6,22.4,-1.0,31.49,23.2,34.475,27.8,19.1,42.08,22.5,33.2906
1,-1.0,-1.0,63.6,109.1,-1.0,111.93,-1.0,-1.0,-1.0,75.9,96.17013
2,-1.0,-1.0,-1.0,52.05,-1.0,114.51,-1.0,-1.0,-1.0,37.85,42.59481
3,-1.0,-1.0,41.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.56,74.46153
4,-1.0,4.8,21.5,-1.0,-1.0,-1.0,23.74,-1.0,12.28,17.0,17.163769
5,-1.0,39.6,28.0,-1.0,-1.0,-1.0,38.59,-1.0,27.48,33.3,37.52563
6,-1.0,13.7,51.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.3,23.68461
7,-1.0,6.4,15.2,15.05,18.2,27.208,14.4,-1.0,14.6,25.3,9.34494
8,-1.0,-1.0,-1.0,17.56,14.5,31.64,22.1,19.9,15.8,16.9,22.263588
9,-1.0,-1.0,42.23,-1.0,-1.0,203.7,-1.0,-1.0,-1.0,24.72,47.685997
10,-1.0,-1.0,-1.0,-1.0,21.5,86.456,29.7,19.6,29.0,28.5,30.143318
11,21.6,28.8,-1.0,41.87,21.5,33.839,-1.0,39.3,23.69,31.4,33.96586
12,-1.0,-1.0,99.41,-1.0,-1.0,34.49,-1.0,-1.0,-1.0,148.97,113.161354
13,-1.0,-1.0,15.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.29,25.11193
14,-1.0,34.4,45.9,-1.0,29.1,74.163,33.5,-1.0,33.1,139.8,76.247475
15,-1.0,17.3,21.1,-1.0,-1.0,-1.0,20.66,-1.0,21.25,17.2,28.90339
16,-1.0,62.1,119.5,296.13,73.2,233.27,97.9,57.3,-1.0,214.0,167.93034
17,-1.0,-1.0,38.9,115.81,41.6,118.53,43.1,80.9,32.0,166.0,68.57698
18,31.7,12.0,-1.0,38.2,22.3,59.626,31.21,-1.0,20.69,64.7,31.489319
19,-1.0,-1.0,-1.0,35.44,15.7,41.811,24.7,15.4,22.0,31.8,27.851978
20,-1.0,-1.0,-1.0,-1.0,-1.0,38.7,-1.0,-1.0,-1.0,42.48,55.425983
21,-1.0,-1.0,14.29,70.28,-1.0,-1.0,-1.0,-1.0,-1.0,7.39,27.899076
22,-1.0,-1.0,9.35,-1.0,-1.0,246.06,-1.0,-1.0,-1.0,30.86,27.748535
23,-1.0,39.1,75.9,-1.0,28.7,138.3,54.3,-1.0,29.6,128.3,114.22263
24,-1.0,26.4,24.1,133.2,36.2,93.41,55.7,-1.0,41.3,129.3,91.54061
25,-1.0,68.1,44.8,-1.0,48.9,-1.0,111.88,92.5,-1.0,224.8,135.59657
26,-1.0,45.1,35.2,59.46,55.2,139.78,34.7,-1.0,69.8,79.6,67.1757
27,-1.0,-1.0,-1.0,48.02,12.3,43.041,34.0,19.4,20.5,20.0,45.172134
28,-1.0,32.6,40.6,44.17,35.1,63.791,44.6,-1.0,37.5,67.2,44.869427
29,-1.0,-1.0,98.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195.8,189.22704
30,16.9,10.6,-1.0,18.7,7.0,-1.0,10.48,-1.0,10.13,7.5,27.08326
31,34.2,-1.0,23.9,39.31,17.3,83.87,19.9,37.2,18.64,42.2,35.484573
32,-1.0,62.5,63.1,-1.0,60.3,-1.0,-1.0,61.4,54.6,104.1,143.5425
33,-1.0,16.1,48.3,-1.0,19.5,-1.0,-1.0,25.4,23.41,179.7,45.83778
34,-1.0,45.0,58.5,68.87,21.1,83.885,49.1,-1.0,33.2,156.8,87.74401
35,-1.0,-1.0,-1.0,105.86,27.6,146.4,43.9,56.9,38.0,53.9,84.047935
36,-1.0,-1.0,40.65,-1.0,-1.0,135.41,-1.0,-1.0,-1.0,82.56,45.333824
37,-1.0,-1.0,-1.0,34.93,13.1,41.082,27.2,25.0,17.8,57.7,27.12588
38,-1.0,79.0,128.1,206.1,96.0,244.57,114.7,-1.0,-1.0,276.6,276.36102
39,-1.0,24.3,-1.0,-1.0,25.6,-1.0,-1.0,65.8,32.62,69.7,49.65951
40,-1.0,-1.0,49.85,-1.0,-1.0,69.59,-1.0,-1.0,-1.0,98.61,61.170094
41,-1.0,31.1,20.7,43.22,77.4,71.689,68.5,106.2,34.9,31.6,61.741287
42,-1.0,69.8,88.8,66.89,50.2,234.7,67.1,-1.0,41.7,135.7,124.45133
