,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
0,-1.0,-1.0,-1.0,-1.0,-1.0,79.9,-1.0,-1.0,-1.0,110.12,67.49097
1,-1.0,-1.0,2.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.44,14.173046
2,-1.0,22.7,23.8,-1.0,-1.0,-1.0,-1.0,-1.0,14.07,18.4,20.8911
3,-1.0,82.4,83.9,193.91,76.0,163.88,87.8,-1.0,134.2,143.8,164.87549
4,-1.0,28.7,39.3,-1.0,35.6,-1.0,-1.0,38.3,38.77,68.6,49.22922
5,-1.0,20.2,58.1,-1.0,15.4,-1.0,-1.0,22.8,-1.0,159.4,80.740616
6,-1.0,25.6,28.2,70.67,25.7,92.488,26.6,-1.0,19.9,48.3,66.28549
7,-1.0,41.6,61.9,-1.0,42.2,-1.0,33.06,44.9,32.44,101.9,79.60048
8,-1.0,-1.0,99.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,219.41,196.18625
9,-1.0,21.1,55.8,-1.0,46.0,-1.0,54.74,56.1,50.25,54.3,63.514523
10,-1.0,11.3,11.1,-1.0,-1.0,-1.0,1.03,22.8,10.7,13.7,5.242516
11,13.0,-1.0,-1.0,-1.0,11.5,26.466,22.9,24.6,11.5,15.8,18.631165
12,20.9,-1.0,-1.0,-1.0,23.5,51.357,38.7,15.9,21.0,45.9,43.704304
13,-1.0,-1.0,45.52,-1.0,-1.0,158.23,-1.0,-1.0,-1.0,101.46,44.66199
14,-1.0,-1.0,11.83,78.5,-1.0,-1.0,-1.0,-1.0,-1.0,20.16,23.857
15,-1.0,90.7,65.8,284.07,56.6,242.66,143.0,133.7,93.1,309.1,282.79202
16,-1.0,-1.0,-1.0,29.44,16.6,68.139,25.2,27.3,26.2,41.6,44.4383
17,-1.0,35.1,52.4,55.07,54.4,81.305,54.8,-1.0,47.2,81.9,69.90348
18,-1.0,39.3,41.6,-1.0,32.5,-1.0,-1.0,30.6,29.96,83.2,58.46848
19,-1.0,13.0,34.2,-1.0,37.6,-1.0,-1.0,-1.0,23.28,48.0,40.276108
20,-1.0,-1.0,23.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.2,47.578815
21,-1.0,34.1,39.6,-1.0,32.3,-1.0,110.78,29.1,34.85,82.2,60.99001
22,31.33,14.59,16.54,-1.0,14.47,-1.0,35.04,12.32,13.24,25.82,22.423027
23,-1.0,-1.0,57.1,53.9,41.1,51.787,-1.0,-1.0,-1.0,55.0,92.74253
24,-1.0,22.4,20.3,29.3,21.6,47.889,27.8,57.3,23.8,45.0,31.181995
25,-1.0,42.5,53.4,-1.0,29.0,-1.0,41.41,49.0,44.14,98.6,64.92618
26,-1.0,-1.0,-1.0,-1.0,-1.0,46.95,-1.0,-1.0,-1.0,44.46,69.53699
27,-1.0,-1.0,49.4,48.6,23.9,64.365,39.68,-1.0,-1.0,83.3,69.209854
28,-1.0,-1.0,39.08,-1.0,-1.0,96.31,-1.0,-1.0,-1.0,79.85,44.288635
29,4.2,10.6,-1.0,17.37,12.5,30.767,-1.0,16.1,11.52,20.8,19.437534
30,34.6,20.8,41.1,27.47,16.1,33.691,45.8,35.2,23.69,35.3,41.45138
31,-1.0,21.7,25.9,-1.0,22.3,72.438,17.3,-1.0,23.1,91.7,45.431854
32,-1.0,-1.0,30.66,-1.0,-1.0,58.19,-1.0,-1.0,-1.0,29.68,47.398434
33,-1.0,-1.0,81.36,-1.0,-1.0,210.11,-1.0,-1.0,-1.0,21.58,66.593544
34,-1.0,-1.0,31.2,79.08,43.1,129.35,55.0,108.8,44.8,118.8,99.045815
35,-1.0,37.8,32.5,-1.0,24.9,62.254,28.6,-1.0,16.2,135.5,57.312515
36,-1.0,44.9,118.0,73.31,68.5,95.315,64.6,-1.0,62.5,68.9,139.90244
37,-1.0,45.5,21.8,63.02,61.4,62.799,55.7,-1.0,56.5,132.5,67.4478
38,30.5,27.6,-1.0,-1.0,24.0,55.185,35.45,-1.0,31.2,37.6,38.534145
