,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
0,-1.0,-1.0,-1.0,29.4,11.6,68.245,26.7,7.0,15.2,12.87,34.81185
1,-1.0,18.0,38.4,220.9,41.4,160.38,41.1,90.7,61.7,317.83,110.28049
2,31.9,19.0,34.5,40.3,16.8,41.298,31.7,30.1,21.47,33.52,30.718576
3,-1.0,5.2,49.0,49.3,22.3,73.05,42.7,48.8,32.25,37.94,56.289616
4,49.4,39.3,-1.0,84.2,52.8,86.13,-1.0,41.2,28.86,55.87,59.257072
5,-1.0,-1.0,14.86,25.61,-1.0,-1.0,-1.0,-1.0,-1.0,36.65,67.66249
6,53.2,-1.0,35.7,60.7,22.8,99.967,47.4,35.7,36.88,52.91,50.291027
7,-1.0,-1.0,8.5,13.69,-1.0,-1.0,-1.0,-1.0,-1.0,19.72,83.46732
8,-1.0,41.8,43.0,52.3,46.5,63.232,49.5,-1.0,35.8,43.74,59.263332
9,-1.0,26.7,35.2,38.7,22.1,39.737,26.2,-1.0,42.8,31.72,34.360554
10,19.29,22.52,31.18,-1.0,54.0,-1.0,21.16,22.6,25.52,41.98,72.04002
11,-1.0,20.5,27.6,34.5,20.6,76.294,30.4,26.9,25.2,30.88,34.228264
12,-1.0,38.7,17.7,120.4,20.9,104.78,34.6,-1.0,17.8,73.56,63.73488
13,-1.0,-1.0,-1.0,37.9,17.8,84.347,30.9,38.2,17.8,38.72,40.372837
14,-1.0,-1.0,-1.0,-1.0,-1.0,20.54,16.99,-1.0,22.03,25.7,26.632486
15,-1.0,135.5,81.6,181.5,48.3,221.42,141.4,49.0,104.12,117.05,182.18231
16,-1.0,-1.0,-1.0,20.8,24.3,35.629,15.8,23.4,22.4,26.28,27.219305
17,5.3,32.9,-1.0,5.7,-1.0,9.754,31.15,-1.0,4.15,13.6,14.960048
18,41.7,16.8,-1.0,49.8,17.4,62.914,-1.0,28.2,32.48,44.66,48.655106
19,-1.0,-1.0,-1.0,16.0,6.5,24.217,16.9,51.6,0.0,14.13,25.081621
20,-1.0,29.4,65.0,126.5,58.1,98.487,50.3,-1.0,27.2,37.82,92.85715
21,32.0,38.0,-1.0,62.4,13.9,49.638,25.81,-1.0,18.73,46.0,46.75049
22,-1.0,44.8,53.0,54.0,31.5,59.736,58.1,66.9,61.9,62.32,59.41153
23,37.3,24.9,-1.0,92.8,47.8,86.98,-1.0,20.9,43.36,91.29,62.53548
24,26.0,38.9,-1.0,67.2,26.3,-1.0,-1.0,27.3,29.29,47.47,60.507137
25,38.9,49.6,-1.0,142.8,23.2,94.103,23.0,33.0,54.74,174.69,96.60186
26,-1.0,30.5,38.9,64.3,25.5,57.229,42.1,-1.0,-1.0,49.68,54.18859
27,-1.0,56.8,86.9,80.9,67.5,101.99,92.9,-1.0,89.1,144.86,89.062325
28,30.7,57.3,38.4,50.3,34.5,105.7,47.9,40.3,35.78,73.66,42.210552
29,-1.0,13.9,21.1,64.4,23.0,48.987,19.2,21.4,-1.0,34.07,42.073635
30,-1.0,30.0,22.9,43.8,6.1,76.234,31.2,-1.0,12.7,40.69,45.799545
31,50.52,70.61,44.52,-1.0,86.91,51.98,90.27,91.52,130.53,28.31,62.300575
32,25.8,78.5,-1.0,62.6,22.7,67.801,-1.0,-1.0,27.68,58.0,45.938023
33,-1.0,30.1,65.7,83.7,46.9,83.205,72.7,90.3,63.73,99.5,77.50165
34,-1.0,-1.0,-1.0,39.3,56.8,66.14,45.2,36.5,43.6,39.29,45.14349
35,-1.0,37.7,63.4,143.6,35.2,121.42,49.21,-1.0,-1.0,137.8,103.78653
36,-1.0,32.8,68.3,89.0,33.0,72.527,49.0,-1.0,33.6,103.33,60.357697
37,-1.0,23.2,46.0,149.3,25.3,63.653,33.4,-1.0,21.0,50.4,45.607876
38,-1.0,-1.0,12.7,15.0,14.2,26.726,7.5,17.3,8.4,-9.23,20.887505
39,19.5,-1.0,-1.0,-1.0,28.3,44.212,52.2,34.2,25.4,24.75,49.736507
40,40.65,62.05,50.25,-1.0,60.23,68.83,66.65,59.16,47.03,36.44,49.871716
41,-1.0,44.7,68.1,208.4,50.8,110.2,57.2,-1.0,95.5,80.88,114.29391
42,52.9,-1.0,-1.0,52.0,23.6,112.56,-1.0,15.8,22.19,36.47,57.00602
43,43.87,-1.0,35.48,40.81,45.2,50.72,83.87,20.58,29.76,17.06,78.603645
44,14.2,18.8,-1.0,61.8,12.6,55.355,22.5,6.1,15.29,40.68,43.01764
45,29.3,17.3,-1.0,39.3,8.4,28.944,37.1,17.1,16.98,70.66,57.26546
46,-1.0,-1.0,14.11,16.79,-1.0,-1.0,-1.0,-1.0,-1.0,67.67,62.157852
47,47.97,74.4,53.43,-1.0,79.29,95.12,96.67,67.21,110.02,32.86,47.92895
48,-1.0,-1.0,-1.0,6.6,8.2,28.07,14.5,11.3,7.1,16.27,15.13863
49,-1.0,34.1,36.0,39.9,17.7,48.758,32.9,-1.0,28.4,35.63,43.355743
50,-1.0,-1.0,31.0,35.2,19.3,27.525,26.1,21.8,22.3,35.71,29.512154
