,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
0,37.5,-1.0,118.0,133.6,71.43,157.53,50.4,31.8,34.94,23.8,27.634954
1,87.5,56.8,55.6,55.0,65.65,111.59,60.9,65.3,68.79,53.5,54.56575
2,27.6,24.8,-1.0,34.4,23.14,66.254,-1.0,31.5,33.65,16.6,29.028791
3,-1.0,43.6,46.9,92.1,62.29,111.36,39.2,-1.0,-1.0,40.5,40.564415
4,30.11,47.96,47.16,-1.0,-1.0,132.9,30.13,47.64,30.38,34.71,38.949585
5,32.86,33.16,26.84,-1.0,-1.0,79.61,41.37,38.43,38.65,35.86,35.086887
6,-1.0,28.4,40.7,76.4,40.93,75.912,38.9,-1.0,28.8,20.7,28.53304
7,-1.0,26.2,37.3,66.0,-1.0,72.767,36.1,26.1,28.9,29.5,22.779766
8,-1.0,26.4,43.7,73.3,40.47,68.276,31.8,-1.0,55.8,38.2,33.10356
9,21.3,24.2,-1.0,-1.0,30.2,34.957,35.52,-1.0,32.64,21.3,23.179077
10,-1.0,53.9,119.4,229.8,-1.0,-1.0,72.39,56.9,62.56,56.8,43.036663
11,-1.0,51.8,32.7,-1.0,-1.0,-1.0,-1.0,-1.0,29.31,42.5,32.65114
12,-1.0,33.4,43.9,80.8,-1.0,-1.0,32.19,33.6,22.15,42.3,32.08971
13,33.7,55.4,-1.0,79.1,46.18,105.91,-1.0,54.5,48.1,53.5,41.477837
14,-1.0,29.3,34.2,36.1,73.23,94.74,40.3,47.5,40.79,40.5,36.773876
15,-1.0,52.3,56.4,159.0,-1.0,-1.0,91.88,91.3,85.76,52.2,75.445045
16,50.4,-1.0,-1.0,71.7,114.14,97.476,34.9,48.8,45.58,24.3,33.84339
17,9.1,-1.0,-1.0,-1.0,19.5,24.375,57.99,-1.0,15.85,15.4,10.721636
18,97.6,88.9,65.5,104.6,114.35,198.14,61.8,79.5,70.08,53.9,45.993675
19,-1.0,41.6,37.3,95.5,50.4,90.142,34.9,-1.0,-1.0,44.0,34.389877
20,16.2,13.5,-1.0,-1.0,30.9,41.022,22.54,-1.0,16.9,12.7,13.082419
21,8.9,-1.0,-1.0,6.3,-1.0,19.84,7.8,11.4,5.4,2.0,5.032433
22,-1.0,85.6,43.6,146.9,-1.0,-1.0,-1.0,66.4,114.32,100.1,64.36737
23,-1.0,-1.0,25.0,42.8,32.56,38.907,37.7,57.9,43.9,44.7,32.35424
24,-1.0,32.0,52.8,138.0,52.69,72.369,44.5,-1.0,26.1,30.2,28.154755
25,-1.0,6.0,-1.0,31.4,-1.0,-1.0,-1.0,18.3,13.75,65.6,29.630621
26,9.3,6.5,-1.0,45.9,14.6,13.618,7.32,-1.0,9.71,7.5,14.674804
27,37.3,-1.0,-1.0,63.0,80.92,99.153,55.6,37.5,45.0,39.4,39.87676
28,-1.0,43.5,52.9,98.3,58.47,97.156,52.6,-1.0,60.6,37.0,43.119244
29,-1.0,-1.0,21.6,26.6,33.07,38.899,27.4,49.8,25.1,27.0,23.386366
30,-1.0,16.9,21.5,9.2,-1.0,-1.0,21.73,-1.0,20.44,0.0,14.936151
31,20.48,36.3,-1.0,-1.0,-1.0,41.36,32.63,18.21,36.88,35.3,30.551659
32,44.8,-1.0,75.9,268.0,203.15,189.34,106.9,25.7,91.36,47.7,55.26672
