,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
0,22.99,26.07,-1.0,-1.0,-1.0,28.06,35.44,24.81,30.43,25.92,59.02395
1,82.52,81.83,51.18,-1.0,-1.0,50.07,48.61,73.44,75.39,91.28,106.44112
2,-1.0,27.2,38.8,28.9,-1.0,21.9,30.0,-1.0,22.6,34.9,43.951603
3,-1.0,-1.0,-1.0,16.5,15.11,8.7,19.3,22.4,6.6,19.55,28.141361
4,17.9,-1.0,-1.0,7.8,-1.0,9.8,15.6,34.5,13.8,16.02,39.986206
5,18.4,-1.0,-1.0,43.2,27.84,41.5,65.9,6.1,56.36,69.035,81.187744
6,-1.0,-1.0,27.33,23.84,-1.0,-1.0,-1.0,-1.0,-1.0,64.21,104.74542
7,26.8,25.5,-1.0,69.7,28.45,-1.0,32.6,33.6,27.67,42.975,58.701103
8,-1.0,-1.0,-1.0,72.9,62.76,18.2,33.5,48.8,29.8,70.664,75.03315
9,57.0,43.9,43.8,63.9,49.55,41.4,43.9,52.5,47.22,144.63,87.44309
10,-1.0,-1.0,34.2,51.4,47.47,29.9,56.4,37.9,44.9,49.389,64.93041
11,-1.0,-1.0,35.65,31.38,-1.0,-1.0,-1.0,-1.0,-1.0,44.34,87.50713
12,41.17,-1.0,57.59,-1.0,63.04,41.42,39.85,44.5,50.05,40.22,51.51681
13,37.4,58.39,33.28,-1.0,-1.0,43.67,42.84,56.32,52.91,86.97,72.88926
14,-1.0,-1.0,58.26,101.14,33.74,-1.0,-1.0,-1.0,-1.0,87.78,50.876274
15,-1.0,17.2,26.9,125.8,-1.0,13.2,18.5,-1.0,16.2,98.645,84.018234
16,-1.0,32.2,38.8,46.7,51.1,34.9,48.53,-1.0,-1.0,72.424,62.38289
17,-1.0,23.6,18.9,27.0,56.61,22.1,24.4,-1.0,24.1,60.325,52.434998
18,-1.0,53.1,71.8,356.7,164.7,4.3,50.9,-1.0,40.5,181.63,164.44075
19,-1.0,24.1,31.5,53.3,25.35,20.7,20.4,-1.0,20.8,51.415,53.76011
20,-1.0,58.6,39.4,47.3,78.62,49.6,22.4,-1.0,49.2,76.704,112.13584
21,-1.0,90.3,73.8,118.9,255.3,75.2,85.8,-1.0,96.5,179.31,205.96591
22,-1.0,-1.0,49.85,54.37,-1.0,-1.0,-1.0,-1.0,-1.0,30.36,72.11659
23,-1.0,-1.0,-1.0,34.39,-1.0,-1.0,-1.0,-1.0,-1.0,31.42,61.67818
24,30.2,-1.0,37.33,-1.0,-1.0,36.63,33.47,30.15,47.16,29.9,66.88821
25,-1.0,-1.0,-1.0,-1.0,29.9,-1.0,39.17,-1.0,32.51,25.442,46.859142
26,27.48,53.36,40.96,-1.0,-1.0,58.72,25.27,80.86,41.4,39.38,66.93846
27,-1.0,-1.0,-1.0,20.1,20.42,8.7,16.5,22.0,13.5,39.727,30.760754
28,-1.0,46.2,40.1,124.7,-1.0,35.0,41.5,48.1,41.7,90.426,101.04969
29,-1.0,-1.0,84.48,160.88,-1.0,-1.0,-1.0,-1.0,-1.0,110.49,59.101215
30,-1.0,15.6,13.8,12.7,18.2,-1.0,-1.0,-1.0,-1.0,23.699,32.656857
31,30.1,15.2,-1.0,21.7,42.5,15.6,20.85,-1.0,23.15,49.167,43.857758
32,30.2,38.5,-1.0,15.7,-1.0,15.9,19.54,22.2,18.77,27.893,48.39189
33,-1.0,54.5,86.6,84.4,165.69,76.6,103.2,77.8,90.95,205.36,167.22865
34,-1.0,19.0,-1.0,-1.0,32.6,-1.0,7.3,-1.0,15.26,50.008,34.017277
35,-1.0,57.8,47.6,219.1,221.8,63.3,89.4,-1.0,81.9,188.06,172.5632
36,-1.0,-1.0,-1.0,54.95,30.21,-1.0,-1.0,-1.0,-1.0,67.95,66.57947
37,-1.0,35.5,48.6,47.7,50.8,56.2,48.7,-1.0,47.0,54.743,64.717384
38,-1.0,-1.0,-1.0,59.13,-1.0,-1.0,-1.0,-1.0,-1.0,44.48,63.76962
39,14.2,32.0,-1.0,30.2,-1.0,18.9,42.06,-1.0,24.99,42.755,42.53564
40,-1.0,-1.0,76.7,116.7,51.3,-1.0,-1.0,-1.0,-1.0,106.67,50.92962
41,38.67,56.01,42.05,-1.0,-1.0,52.21,32.55,52.97,59.1,149.96,75.79823
42,-1.0,19.4,35.3,130.6,56.1,-1.0,-1.0,-1.0,-1.0,57.743,65.19947
43,71.6,53.8,-1.0,82.7,146.93,69.4,-1.0,60.4,60.46,214.51,112.77256
44,-1.0,33.9,41.8,-1.0,26.7,-1.0,20.1,-1.0,19.23,48.062,59.32062
45,42.4,-1.0,57.99,-1.0,41.58,69.61,37.13,48.03,37.1,54.56,43.793415
46,-1.0,44.9,62.2,177.4,99.15,43.4,67.9,105.0,67.72,129.65,146.59315
47,-1.0,-1.0,38.28,30.71,-1.0,-1.0,-1.0,-1.0,-1.0,77.16,91.32835
48,20.19,25.49,51.05,-1.0,-1.0,56.22,41.33,25.77,48.43,104.58,54.3041
49,48.2,-1.0,-1.0,133.5,157.8,64.6,61.2,54.0,94.46,123.52,131.16426
50,29.4,32.7,-1.0,55.1,29.41,23.2,20.2,25.2,29.68,59.372,55.28446
51,-1.0,40.4,56.8,82.6,-1.0,57.9,42.3,45.3,30.9,80.432,83.65695
52,-1.0,-1.0,60.27,123.24,-1.0,-1.0,-1.0,-1.0,-1.0,12.26,60.50978
53,-1.0,-1.0,12.91,35.32,-1.0,-1.0,-1.0,-1.0,-1.0,82.58,107.519585
