,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
0,-1.0,-1.0,-1.0,22.6,31.68,16.0,39.282,36.5,25.7,48.2,28.690527
1,-1.0,74.8,60.3,56.5,31.4,14.8,-1.0,-1.0,-1.0,50.65,48.425762
2,6.1,12.6,-1.0,108.3,25.3,-1.0,51.26,-1.0,11.43,17.97,16.81713
3,-1.0,26.9,9.7,41.8,53.87,16.5,64.427,-1.0,10.1,11.8,20.446804
4,73.93,104.57,161.42,-1.0,-1.0,75.26,104.65,147.1,173.94,85.58,136.02486
5,-1.0,-1.0,-1.0,18.5,-1.0,17.8,63.281,23.7,16.9,25.5,20.945145
6,-1.0,-1.0,-1.0,24.6,-1.0,-1.0,-1.0,-1.0,12.93,17.0,19.796137
7,58.6,19.5,22.6,54.7,49.68,26.6,80.812,-1.0,28.59,28.0,30.220507
8,36.0,100.6,-1.0,58.5,54.3,28.5,38.598,-1.0,39.69,83.98,62.33405
9,-1.0,17.5,11.7,1.8,-1.0,-1.0,-1.0,-1.0,14.53,42.75,21.467281
10,26.86,42.67,-1.0,-1.0,-1.0,30.13,131.75,22.01,86.91,31.46,36.55409
11,-1.0,46.9,54.2,91.8,60.15,59.5,118.47,-1.0,52.2,57.3,58.908497
12,-1.0,-1.0,26.8,19.8,19.48,14.1,31.372,32.7,37.3,23.5,37.33622
13,-1.0,29.4,41.4,79.4,-1.0,-1.0,-1.0,-1.0,22.62,30.72,42.93693
14,-1.0,14.5,15.5,17.2,-1.0,-1.0,-1.0,-1.0,14.32,15.51,23.296938
15,20.1,31.3,-1.0,-1.0,25.1,11.6,26.823,-1.0,16.3,38.24,30.223215
16,42.8,45.4,42.9,199.2,52.62,31.3,62.608,31.5,37.14,41.9,41.3275
17,44.07,65.27,46.53,-1.0,-1.0,69.97,47.24,59.63,57.83,74.98,55.475853
18,-1.0,31.6,-1.0,102.9,-1.0,38.5,-1.0,38.0,43.73,84.11,51.929337
19,-1.0,42.7,42.7,71.3,38.03,22.4,67.222,-1.0,42.5,37.4,39.737587
20,35.61,76.43,56.92,-1.0,53.42,57.09,70.14,59.98,46.32,56.21,48.204033
21,-1.0,4.7,10.4,16.1,-1.0,-1.0,-1.0,-1.0,10.22,13.61,17.704927
22,-1.0,28.5,-1.0,-1.0,26.1,-1.0,32.12,-1.0,13.51,29.39,28.924398
23,-1.0,24.4,51.0,43.8,36.8,24.9,68.185,-1.0,32.5,35.0,38.337673
24,-1.0,-1.0,-1.0,-1.0,19.9,-1.0,46.901,-1.0,11.43,0.71,31.638403
25,17.5,-1.0,-1.0,127.8,67.07,28.0,137.46,18.9,38.26,44.2,44.462345
26,7.75,10.07,13.13,26.75,-1.0,9.4,-1.0,7.76,10.85,13.02,15.622022
27,-1.0,-1.0,11.4,20.0,27.85,16.3,26.926,32.5,22.1,26.5,23.195303
28,59.3,-1.0,-1.0,95.0,104.79,54.7,149.68,52.4,69.27,95.1,67.05014
29,8.0,26.7,-1.0,-1.0,14.9,-1.0,27.467,-1.0,11.85,17.81,27.798988
30,-1.0,23.7,37.2,47.7,43.03,35.0,80.826,-1.0,46.6,52.2,41.7158
31,-1.0,-1.0,-1.0,63.2,25.59,31.4,49.315,28.4,25.4,12.3,33.658054
32,-1.0,40.6,21.9,57.8,134.28,23.2,87.422,-1.0,25.7,21.8,36.61787
33,-1.0,19.1,24.1,28.1,-1.0,-1.0,-1.0,-1.0,31.22,31.71,38.421715
34,11.1,-1.0,-1.0,83.3,-1.0,18.9,-1.0,17.2,24.6,28.4,25.244352
35,-1.0,33.0,53.6,134.0,150.59,38.6,126.26,43.8,76.22,84.7,66.32558
36,53.5,-1.0,-1.0,255.6,131.48,52.3,105.14,52.9,85.04,67.5,78.31042
37,31.4,45.2,44.31,101.23,-1.0,35.99,-1.0,25.62,29.27,31.33,43.39404
38,-1.0,-1.0,-1.0,32.2,52.73,23.6,64.43,52.9,23.3,40.9,30.085226
39,-1.0,19.0,16.3,17.5,-1.0,-1.0,-1.0,-1.0,20.31,22.62,27.48408
40,-1.0,35.1,24.2,34.2,-1.0,-1.0,-1.0,-1.0,12.47,29.31,28.516401
41,9.2,42.6,-1.0,30.1,11.9,-1.0,35.583,-1.0,8.41,13.96,28.52128
42,-1.0,24.4,26.9,25.3,-1.0,-1.0,-1.0,-1.0,28.06,34.24,38.01565
43,21.71,47.32,78.81,-1.0,-1.0,42.19,51.14,35.33,38.77,68.76,42.503727
44,29.0,35.64,37.49,-1.0,-1.0,36.45,43.39,30.58,43.6,35.9,39.108963
45,41.18,61.98,56.74,160.24,-1.0,-1.0,-1.0,49.76,60.18,79.32,66.60984
46,-1.0,57.7,86.4,103.1,85.2,65.9,170.24,-1.0,91.8,67.3,83.54682
47,15.2,-1.0,-1.0,67.2,-1.0,13.9,55.984,0.6,17.1,9.5,20.308645
48,-1.0,45.3,52.4,55.8,110.55,17.5,141.38,-1.0,18.2,45.2,49.07225
49,-1.0,33.4,24.6,31.3,-1.0,-1.0,-1.0,-1.0,17.33,16.36,31.438301
50,44.7,17.1,33.8,65.0,52.82,32.5,79.514,-1.0,31.01,43.5,31.782244
51,31.6,84.4,-1.0,125.3,82.7,23.4,-1.0,-1.0,27.23,69.28,51.711895
52,-1.0,40.6,39.1,64.7,56.91,31.9,58.994,-1.0,37.1,43.6,41.77486
53,32.1,35.0,-1.0,121.0,148.36,25.6,84.177,36.9,58.75,54.2,66.583565
54,43.58,102.18,57.42,-1.0,68.39,90.47,25.7,52.38,96.59,74.25,71.80603
