,epochs,epochs,hidden_neurons,hidden_neurons,regularization,regularization,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,std_res_train,std_res_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,std_res_test,std_res_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
hidden_layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.7843888888888889,0.11687326279160497,143.46320634920636,77.74745869609546,7.872595238095238,1.1679362049603315,11.837,1.8372088438715943,11.75565873015873,1.3427284709140475,0.9360714285714286,0.048676101499019596,0.7621746031746032,0.11615534972544858,152.30570634920636,74.38098870814423,8.042373015873016,1.1329814948824324,12.219674603174603,1.7348469480821187,12.1385,1.2190539266168658,0.9301349206349206,0.04772493741005481
2,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.7964920634920635,0.11886286188927107,135.37775396825398,79.05827868702293,7.652285714285714,1.2152675087050935,11.476301587301586,1.9240895707626144,11.379952380952382,1.4451087923455057,0.9399682539682539,0.04925735461966046,0.7629603174603174,0.11608062031492773,151.7462380952381,74.32090452758806,7.976420634920635,1.1358030276640374,12.197277777777778,1.7306790373209642,12.099936507936508,1.2130753958169738,0.9305238095238096,0.04770554924294897
3,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.8045396825396826,0.0774628324598217,130.06133333333332,51.53425032717561,7.560738095238095,1.0869614394527258,11.299166666666666,1.552009771876453,11.225246031746032,1.541993725987277,0.9382936507936508,0.08457290984331259,0.7645873015873017,0.06975193414852607,150.73164285714287,44.6615479653743,7.995333333333334,0.9202854252893501,12.217166666666667,1.2183814230363166,12.148079365079365,1.2133186595659002,0.9268809523809525,0.08298420159455484
4,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.8016111111111112,0.10628151088291676,131.97813492063491,70.70719696623287,7.5525,1.4456532018433745,11.305373015873016,2.0492845219114972,11.250960317460319,2.0528802143361164,0.9315,0.11892059535673373,0.7587936507936508,0.09754812699055314,154.45035714285714,62.454343110655074,8.032111111111112,1.2624710957307321,12.313603174603173,1.6876621182185259,12.258976190476192,1.6947749748649734,0.9191746031746032,0.11677342707072215
5,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.8134920634920635,0.02907555565260844,124.06163492063492,19.34807818905152,7.403634920634921,0.5616973648245049,11.103444444444445,0.883088974503073,11.027071428571428,0.8693684436745696,0.9463174603174602,0.009519370394012952,0.7701825396825397,0.012831461830142814,147.14846825396825,8.224908757851615,7.90015873015873,0.2531261002014112,12.12581746031746,0.3377100626464938,12.050849206349206,0.31087144783554044,0.9336904761904763,0.0048157479763198405
6,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.8008095238095239,0.1089102172827299,132.55160317460317,72.46316590600544,7.561182539682539,1.3952808027105865,11.321777777777779,2.0984848358332786,11.223325396825398,2.0699319209263476,0.9343333333333333,0.09947880176198343,0.756452380952381,0.09983591395027003,155.9423095238095,63.932854720866544,8.073468253968253,1.1912366528041887,12.370222222222221,1.7155596865810934,12.279126984126984,1.686448324659262,0.9216111111111112,0.09695829802319937
7,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.7870952380952382,0.18297853113724266,141.65972222222223,121.74492955629087,7.681761904761905,1.94564414599822,11.513944444444444,3.026799659853438,11.346452380952382,2.4355913306041894,0.9317460317460317,0.09846826384235167,0.743095238095238,0.17677074095319875,164.4755873015873,113.2114581394141,8.184904761904763,1.7816235536322316,12.542,2.688769172688499,12.375873015873015,2.0529659830951976,0.9191587301587302,0.09561317170335167
8,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.7812380952380953,0.19680196863126856,145.54073015873016,130.92056185515935,7.749150793650794,2.140296260118997,11.606388888888889,3.304491053030035,11.414111111111112,2.761594183719895,0.9258888888888889,0.12018826712934819,0.7365238095238096,0.18937918425363284,168.71372222222223,121.25360299627475,8.268142857142857,1.9546135524518833,12.65720634920635,2.9284902030021156,12.470484126984127,2.3525629895384372,0.9130873015873017,0.11693506025765037
9,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.782047619047619,0.1721366832324991,145.0345873015873,114.52702333233113,7.794238095238095,2.0728710618022386,11.665396825396824,3.004134503192199,11.485531746031745,2.7356504007245026,0.9190952380952381,0.15135089975663457,0.7380873015873015,0.1638201950843067,167.72273809523807,104.90547638190702,8.297531746031746,1.8826587824096344,12.682571428571428,2.632537770072283,12.509722222222221,2.3452899919247137,0.906515873015873,0.1487900929028265
10,116.66666666666667,62.60990336999412,44.166666666666664,34.708788512421464,0.34500000000000014,0.3779428528230161,0.7905634920634921,0.15851775905717297,139.35452380952378,105.46119333546072,7.676166666666667,1.8884529149544607,11.475690476190476,2.7793980714227624,11.320825396825397,2.455360561968413,0.9276349206349206,0.12816343336066516,0.7457142857142858,0.15080476688183875,162.80655555555555,96.56765657660374,8.200904761904763,1.7005493062117143,12.532436507936508,2.4062984070843134,12.387634920634921,2.057203113367952,0.9148333333333334,0.12553391573594763
