,epochs,epochs,hidden_neurons,hidden_neurons,hidden_layers,hidden_layers,regularization,regularization,random_state_trainsplit,random_state_trainsplit,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
random_WeightInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.839746128758336,0.015179412495787602,105.89476044977874,9.908544654666617,6.9894406244796725,0.38779931776760457,10.281759640295753,0.4901416787883143,0.9569999999999999,0.005354126134736342,0.7738915373056277,0.03436226955383793,148.80773037702835,23.141691142060203,7.959937488720117,0.3050354883693389,12.172453960441281,0.923107041800105,0.938,0.00799999999999998
2,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8452319968323124,0.021166738415122933,102.26183996913862,13.81802577994323,6.734980683315225,0.49169004667478305,10.093883326737384,0.7074455035328705,0.9564999999999999,0.006454972243679002,0.7885314576810998,0.020595033266167267,139.11635705895205,13.688912738949979,7.699251248758417,0.2252023268178643,11.784468065143159,0.5688227381450173,0.9395,0.0061373175465072784
4,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8380696665353259,0.026121480522944142,107.00158557247558,17.189060622016182,6.968227476579278,0.6523502218699312,10.317656701771948,0.8544360766852419,0.95625,0.007932002689527227,0.780372347982937,0.025236734108526435,144.45556023908094,16.42765316340714,7.882338019311829,0.36431056178364024,12.004799306121223,0.6736506105614426,0.9392499999999999,0.005439056290693507
6,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8427838152624478,0.023300913283596996,103.90059086225594,15.460271399557092,6.844782972021,0.5726606258091563,10.170241282262339,0.7889090550229048,0.9564999999999999,0.006403124237432842,0.7870255805087933,0.02085260524547439,140.03947434164746,13.004937884441942,7.705567515900732,0.10855177158863175,11.824658260289446,0.5378120725260365,0.9394999999999999,0.007141428428542797
8,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8481369188509226,0.021558233436952345,100.33386429761426,13.989375778121879,6.659474890065368,0.4625607843846004,9.997271081516825,0.7196621617413502,0.957,0.006377042156569649,0.7818884108908977,0.03130354551339822,143.4784270694316,20.610145902077537,7.692357741194192,0.3496490654000667,11.956441033517779,0.8342220978803631,0.9364999999999999,0.010344080432788552
10,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8309990335851742,0.00635851963531614,111.66440245571768,3.4589557208297097,7.177369147201974,0.06757221787999436,10.56619253315412,0.16320869272511437,0.9544999999999999,0.004654746681256281,0.771595953914762,0.05479979359492352,150.18924456660156,35.77951374123405,8.006495525264107,0.5978878905147074,12.196089188347944,1.3878775529390108,0.93825,0.010904891868636999
12,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8394074545557421,0.029222276378804153,106.14678221071313,19.49466790413176,6.842692390898804,0.6788578362575484,10.267073108242085,0.9892704387411493,0.95625,0.008616843969807036,0.7821567712191603,0.02168311834817206,143.20247061260176,13.056439342910133,7.77258534563292,0.18984996119809985,11.957749177283954,0.535045450738107,0.93975,0.005965176722724371
14,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8457385473715051,0.018572000989172208,101.94575752603527,12.316208814711262,6.843974434086351,0.4264388393315408,10.082074155679937,0.6298552695193114,0.95775,0.006898067362191585,0.7850089448090489,0.033329714494728095,141.3595204834484,21.440781295766534,7.755977498786706,0.3482227392196988,11.865431946374104,0.8725787142435644,0.94,0.007438637868140413
