,epochs,epochs,hidden_neurons,hidden_neurons,hidden_layers,hidden_layers,regularization,regularization,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
random_state_trainsplit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8481429208513841,0.022847679603059008,99.84739642214338,15.022554993436703,6.615571830783647,0.4687428369267228,9.967958541641208,0.7646167151707915,0.9565,0.008642916174532759,0.7700719422846353,0.02565193387753434,154.37086107181327,17.22239190892611,8.053799017174406,0.3795376457004282,12.409142406443586,0.6788629980343139,0.9316666666666666,0.011639014849490772
2,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8491015700170528,0.023630797816603953,97.0831502627294,15.203288036308917,6.558845080383868,0.5938707283014534,9.82749669808119,0.7772713131971924,0.9591666666666666,0.005913261931173592,0.7730157457800336,0.01360239508693477,165.24031557472108,9.90229064329268,8.062514778871229,0.24217901120763263,12.849885349782106,0.38067635415329387,0.9351666666666666,0.005455883674224219
4,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8627717685656607,0.024733486194217166,90.57098735840789,16.324164802033863,6.387583482332336,0.6306537328490146,9.484134369856987,0.8640712560237105,0.9616666666666666,0.007312090444371367,0.7564376391746596,0.015175139826729906,161.13008843103617,10.039201516804855,7.922705119285759,0.279477956243013,12.688480614374678,0.39882045535423405,0.9288333333333333,0.004355073669487881
6,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8524955005044021,0.016657897362685227,97.82207964632262,11.04718953065898,6.630789973349718,0.44711689820298045,9.87759052479226,0.5534817838268584,0.9593333333333334,0.004760952285695236,0.7819745399012447,0.014842818783255354,141.46400059879042,9.630639120271066,7.718113978222227,0.1966904557238451,11.888057375721454,0.40707605728430296,0.9388333333333333,0.004119061381755097
8,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.852212049187763,0.02781722613520831,97.7204659684279,18.393328312233493,6.620827107785534,0.6937187306194788,9.849226458420016,0.9251188934533959,0.9598333333333334,0.006524313501562183,0.7861938863904204,0.01371007858178612,140.38990488038448,9.002346076568463,7.846122603188433,0.1918418512716379,11.843428450121534,0.38435519078525915,0.9408333333333333,0.0046654760385909
10,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8488572042675121,0.020705237349348177,99.09551231947115,13.575216025919216,6.56887898299522,0.5424877316889285,9.93456157302126,0.6928191723564026,0.9573333333333333,0.007174027227901117,0.775977152584021,0.013837010870503763,152.08780563897938,9.393866046126856,7.920846397293008,0.20110800064168963,12.327548404292274,0.378453662384747,0.934,0.0038470768123342286
12,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8513538338642753,0.020518639212237066,99.571606683994,13.74454468920626,6.633881564390658,0.5106281726224692,9.958821731628122,0.6871474965206347,0.9581666666666667,0.005946988033169964,0.7740610007863884,0.01348194535937289,140.50655892128282,8.384129152574037,7.768664957265858,0.22341095498987168,11.84922022240896,0.3507803451804692,0.9346666666666668,0.005609515724790011
14,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8607018873023392,0.019192585384596072,92.7923208705203,12.7849868663167,6.432863838240833,0.4950651110399428,9.613467164086087,0.6695401008682476,0.9608333333333333,0.005307227776030215,0.7666717148385377,0.01910185513512874,148.618430309402,12.166924915322292,7.8577979061323715,0.2718905504742876,12.182367697266685,0.5000171173012101,0.931,0.006542170893518449
