,datetime,NO2_simaj,RH,NO2_EcoMesure,RH_Id
936,2021-06-09 00:00:00,0.007,64.9,0.03872617,C
1284,2021-06-23 12:00:00,0.026,59.7,0.040220949,C
987,2021-06-11 03:00:00,0.01,70.0,0.042056188,C
1016,2021-06-12 08:00:00,0.013,62.5,0.018530239,C
1420,2021-06-29 04:00:00,0.013,71.4,0.030711658,C
103,2021-05-05 07:00:00,0.033,58.5,0.048940621,C
840,2021-06-05 00:00:00,0.017,51.1,0.038382961,C
656,2021-05-28 08:00:00,0.026,55.8,0.042906321,C
631,2021-05-27 07:00:00,0.044,50.4,0.038246658,C
674,2021-05-29 02:00:00,0.009,54.5,0.05172945,C
77,2021-05-04 05:00:00,0.009,57.0,0.036500328,C
1213,2021-06-20 13:00:00,0.009,60.0,0.043800612,C
1212,2021-06-20 12:00:00,0.013,64.1,0.02518297,C
966,2021-06-10 06:00:00,0.013,73.2,0.03964734,C
413,2021-05-18 05:00:00,0.019,54.2,0.032577358,C
1134,2021-06-17 06:00:00,0.013,53.6,0.034520762,C
937,2021-06-09 01:00:00,0.008,64.0,0.040869043,C
1433,2021-06-29 17:00:00,0.006,55.4,0.022013555,C
358,2021-05-15 22:00:00,0.009,56.9,0.045667207,C
1269,2021-06-22 21:00:00,0.031,61.9,0.051149087,C
1139,2021-06-17 11:00:00,0.008,43.6,0.037706906,B
1117,2021-06-16 13:00:00,0.008,35.0,0.068904158,B
910,2021-06-07 22:00:00,0.013,40.0,0.05823805,B
717,2021-05-30 21:00:00,0.008,30.6,0.053276897,B
625,2021-05-27 01:00:00,0.01,27.5,0.031245053,B
510,2021-05-22 06:00:00,0.039,41.0,0.044279849,B
950,2021-06-09 14:00:00,0.009,33.2,0.075712243,B
504,2021-05-22 00:00:00,0.016,37.9,0.046993626,B
502,2021-05-21 22:00:00,0.018,33.4,0.064987385,B
1169,2021-06-18 17:00:00,0.009,32.1,0.062292589,B
669,2021-05-28 21:00:00,0.027,37.1,0.072382163,B
31,2021-05-02 07:00:00,0.009,46.9,0.033633165,B
118,2021-05-05 22:00:00,0.014,29.2,0.052479566,B
601,2021-05-26 01:00:00,0.012,30.4,0.035676117,B
94,2021-05-04 22:00:00,0.011,29.8,0.06981195,B
467,2021-05-20 11:00:00,0.013,27.1,0.03208258,B
506,2021-05-22 02:00:00,0.026,37.3,0.04660727,B
627,2021-05-27 03:00:00,0.005,45.3,0.053262252,B
334,2021-05-14 22:00:00,0.021,41.5,0.045812686,B
331,2021-05-14 19:00:00,0.017,36.1,0.05701867,B
419,2021-05-18 11:00:00,0.044,21.1,0.050920443,A
497,2021-05-21 17:00:00,0.009,11.9,0.076390895,A
14,2021-05-01 14:00:00,0.005,21.4,0.030805098,A
452,2021-05-19 20:00:00,0.01,13.0,0.035085621,A
619,2021-05-26 19:00:00,0.013,16.3,0.072658812,A
716,2021-05-30 20:00:00,0.012,23.6,0.063059876,A
375,2021-05-16 15:00:00,0.004,19.4,0.045510222,A
468,2021-05-20 12:00:00,0.009,17.9,0.045078404,A
112,2021-05-05 16:00:00,0.01,17.0,0.093904255,A
524,2021-05-22 20:00:00,0.009,20.8,0.053396613,A
1000,2021-06-11 16:00:00,0.005,15.6,0.095205363,A
455,2021-05-19 23:00:00,0.016,18.1,0.037104353,A
86,2021-05-04 14:00:00,0.016,14.6,0.061978413,A
495,2021-05-21 15:00:00,0.012,15.8,0.078088466,A
60,2021-05-03 12:00:00,0.009,9.3,0.032117562,A
1097,2021-06-15 17:00:00,0.008,24.9,0.076026596,A
45,2021-05-02 21:00:00,0.023,13.0,0.040502172,A
858,2021-06-05 18:00:00,0.006,22.6,0.0666725,A
594,2021-05-25 18:00:00,0.008,13.7,0.066229934,A
544,2021-05-23 16:00:00,0.004,10.8,0.072944113,A
1293,2021-06-23 21:00:00,0.041,83.4,0.047341427,D
1193,2021-06-19 17:00:00,0.014,83.7,0.035083059,D
1275,2021-06-23 03:00:00,0.006,84.0,0.036775133,D
1081,2021-06-15 01:00:00,0.011,91.5,0.037988732,D
1368,2021-06-27 00:00:00,0.008,77.5,0.036263085,D
1376,2021-06-27 08:00:00,0.01,83.5,0.034599637,D
1180,2021-06-19 04:00:00,0.007,85.9,0.033912456,D
792,2021-06-03 00:00:00,0.01,90.3,0.034083635,D
1187,2021-06-19 11:00:00,0.013,87.7,0.03683391,D
1288,2021-06-23 16:00:00,0.027,88.2,0.057011197,D
1259,2021-06-22 11:00:00,0.025,81.3,0.038428493,D
1050,2021-06-13 18:00:00,0.015,86.4,0.045583466,D
1287,2021-06-23 15:00:00,0.025,89.2,0.06667867,D
1082,2021-06-15 02:00:00,0.014,89.7,0.041698475,D
1322,2021-06-25 02:00:00,0.014,88.6,0.040459876,D
791,2021-06-02 23:00:00,0.024,82.3,0.043145417,D
1028,2021-06-12 20:00:00,0.018,77.6,0.072141684,D
1353,2021-06-26 09:00:00,0.018,75.2,0.031680257,D
871,2021-06-06 07:00:00,0.02,80.8,0.043869273,D
1350,2021-06-26 06:00:00,0.022,88.4,0.039861658,D
