,datetime,NO2_simaj,RH,NO2_EcoMesure,residuals,RH_Id
814,2021-06-03 22:00:00,0.012,67.8,0.041125293,-0.029125293,C
911,2021-06-07 23:00:00,0.01,50.6,0.062632934,-0.052632934,C
1079,2021-06-14 23:00:00,0.026,75.0,0.046439938,-0.020439938,C
816,2021-06-04 00:00:00,0.007,73.2,0.036060177,-0.029060177,C
1270,2021-06-22 22:00:00,0.011,68.7,0.047424495,-0.036424495,C
1430,2021-06-29 14:00:00,0.011,54.5,0.046533626,-0.035533626,C
245,2021-05-11 05:00:00,0.023,75.0,0.036750638,-0.013750638000000003,C
1237,2021-06-21 13:00:00,0.008,54.5,0.040298209,-0.032298209,C
811,2021-06-03 19:00:00,0.035,67.5,0.056968457,-0.021968456999999997,C
1135,2021-06-17 07:00:00,0.022,55.7,0.038637615,-0.016637615,C
1076,2021-06-14 20:00:00,0.019,60.0,0.052401064,-0.033401063999999994,C
1440,2021-06-30 00:00:00,0.006,64.2,0.031042473,-0.025042473000000003,C
1245,2021-06-21 21:00:00,0.013,50.6,0.046472367,-0.033472367,C
1360,2021-06-26 16:00:00,0.013,55.1,0.058805018,-0.045805018,C
1443,2021-06-30 03:00:00,0.005,73.0,0.03569961,-0.03069961,C
170,2021-05-08 02:00:00,0.02,56.8,0.048076152,-0.028076151999999997,C
339,2021-05-15 03:00:00,0.013,65.8,0.038004716,-0.025004716000000003,C
214,2021-05-09 22:00:00,0.011,55.1,0.053611188,-0.042611187999999994,C
217,2021-05-10 01:00:00,0.005,62.6,0.044905603,-0.039905603000000005,C
1415,2021-06-28 23:00:00,0.012,68.2,0.034107553,-0.022107553,C
731,2021-05-31 11:00:00,0.014,39.2,0.050712589,-0.036712589000000004,B
327,2021-05-14 15:00:00,0.013,35.4,0.088837456,-0.075837456,B
505,2021-05-22 01:00:00,0.014,38.7,0.042561995,-0.028561995,B
536,2021-05-23 08:00:00,0.049,36.9,0.05232008,-0.003320079999999996,B
140,2021-05-06 20:00:00,0.016,49.4,0.065012615,-0.049012614999999995,B
33,2021-05-02 09:00:00,0.013,35.7,0.020660851,-0.0076608510000000015,B
81,2021-05-04 09:00:00,0.015,42.1,0.023531755,-0.008531755000000002,B
73,2021-05-04 01:00:00,0.007,38.1,0.038964885,-0.031964885,B
561,2021-05-24 09:00:00,0.014,48.1,0.03671406,-0.02271406,B
508,2021-05-22 04:00:00,0.013,38.4,0.033661108,-0.020661108000000004,B
26,2021-05-02 02:00:00,0.01,38.1,0.033219832,-0.023219831999999996,B
396,2021-05-17 12:00:00,0.006,29.4,0.03942508,-0.03342508,B
717,2021-05-30 21:00:00,0.008,30.6,0.053276897,-0.045276896999999997,B
329,2021-05-14 17:00:00,0.018,33.9,0.078075106,-0.060075106,B
255,2021-05-11 15:00:00,0.01,34.7,0.062590559,-0.052590559,B
603,2021-05-26 03:00:00,0.016,37.8,0.037146484,-0.021146484,B
831,2021-06-04 15:00:00,0.025,46.9,0.04947742,-0.02447742,B
658,2021-05-28 10:00:00,0.022,42.0,0.035058989,-0.013058989,B
261,2021-05-11 21:00:00,0.012,47.7,0.042554105,-0.030554105,B
108,2021-05-05 12:00:00,0.022,27.6,0.045106693,-0.023106693000000005,B
687,2021-05-29 15:00:00,0.006,17.1,0.08197422,-0.07597422,A
13,2021-05-01 13:00:00,0.004,20.0,0.028464264,-0.024464264,A
40,2021-05-02 16:00:00,0.008,6.1,0.03790383,-0.02990383,A
69,2021-05-03 21:00:00,0.016,15.6,0.040658927,-0.024658926999999997,A
84,2021-05-04 12:00:00,0.03,22.1,0.055544433,-0.025544433,A
37,2021-05-02 13:00:00,0.004,6.4,0.025149246,-0.021149246,A
587,2021-05-25 11:00:00,0.035,21.1,0.06096302,-0.025963019999999996,A
473,2021-05-20 17:00:00,0.012,12.4,0.070731711,-0.058731711000000006,A
542,2021-05-23 14:00:00,0.007,11.3,0.071079282,-0.06407928199999999,A
522,2021-05-22 18:00:00,0.005,11.7,0.052105629,-0.047105629,A
445,2021-05-19 13:00:00,0.007,10.6,0.031038067,-0.024038067,A
59,2021-05-03 11:00:00,0.015,16.5,0.031529601,-0.016529600999999998,A
423,2021-05-18 15:00:00,0.006,9.2,0.055904122,-0.049904122,A
619,2021-05-26 19:00:00,0.013,16.3,0.072658812,-0.059658812000000006,A
540,2021-05-23 12:00:00,0.013,15.2,0.053155266,-0.040155266,A
931,2021-06-08 19:00:00,0.024,25.0,0.067694743,-0.043694743,A
19,2021-05-01 19:00:00,0.008,14.4,0.029737243,-0.021737243,A
639,2021-05-27 15:00:00,0.008,17.5,0.107323564,-0.099323564,A
471,2021-05-20 15:00:00,0.01,11.7,0.078161099,-0.068161099,A
663,2021-05-28 15:00:00,0.009,19.4,0.100574087,-0.09157408700000001,A
