,datetime,O3_simaj,RH,O3_EcoMesure,residuals,RH_Id
911,2021-06-07 23:00:00,0.033,50.6,0.034151896,-0.0011518959999999995,C
1435,2021-06-29 19:00:00,0.019,57.3,0.017646327,0.0013536729999999997,C
1212,2021-06-20 12:00:00,0.027,64.1,0.036140944,-0.009140944000000002,C
813,2021-06-03 21:00:00,0.021,69.7,0.022117304,-0.0011173039999999995,C
867,2021-06-06 03:00:00,0.027,69.6,0.015585782,0.011414218,C
1269,2021-06-22 21:00:00,0.015,61.9,0.013258367,0.0017416329999999994,C
1386,2021-06-27 18:00:00,0.011,75.0,0.006062177,0.004937822999999999,C
103,2021-05-05 07:00:00,0.011,58.5,0.03457659,-0.023576589999999998,C
1309,2021-06-24 13:00:00,0.047,55.2,0.046479617,0.0005203829999999993,C
4,2021-05-01 04:00:00,0.015,64.7,0.02376318,-0.008763179999999999,C
1431,2021-06-29 15:00:00,0.019,67.0,0.028904311,-0.009904310999999999,C
238,2021-05-10 22:00:00,0.014,67.7,0.019423486,-0.005423486,C
357,2021-05-15 21:00:00,0.029,51.9,0.030043206,-0.001043205999999998,C
771,2021-06-02 03:00:00,0.018,56.9,0.024230553,-0.006230553,C
79,2021-05-04 07:00:00,0.02,58.0,0.036001224,-0.016001223999999998,C
962,2021-06-10 02:00:00,0.027,62.9,0.04152108,-0.014521080000000002,C
1223,2021-06-20 23:00:00,0.02,70.2,0.019005961,0.0009940390000000021,C
292,2021-05-13 04:00:00,0.024,68.3,0.020132628,0.003867372000000001,C
484,2021-05-21 04:00:00,0.024,55.2,0.031876327,-0.007876327000000002,C
1175,2021-06-18 23:00:00,0.016,71.4,0.011295536,0.004704464,C
706,2021-05-30 10:00:00,0.038,36.5,0.051327066,-0.013327065999999999,B
607,2021-05-26 07:00:00,0.013,38.0,0.036265901,-0.023265901000000005,B
153,2021-05-07 09:00:00,0.024,47.9,0.032873078,-0.008873078,B
510,2021-05-22 06:00:00,0.008,41.0,0.030833044,-0.022833044,B
860,2021-06-05 20:00:00,0.032,45.5,0.040043597,-0.008043597,B
839,2021-06-04 23:00:00,0.02,48.3,0.025739328,-0.005739327999999998,B
1021,2021-06-12 13:00:00,0.042,32.5,0.082409796,-0.04040979599999999,B
878,2021-06-06 14:00:00,0.066,26.5,0.117334447,-0.05133444699999999,B
381,2021-05-16 21:00:00,0.021,27.2,0.020449881,0.0005501190000000017,B
648,2021-05-28 00:00:00,0.034,38.7,0.028681293,0.005318707000000002,B
879,2021-06-06 15:00:00,0.055,27.4,0.095160009,-0.040160009,B
434,2021-05-19 02:00:00,0.024,36.5,0.039319592,-0.015319592,B
304,2021-05-13 16:00:00,0.05,30.4,0.103375315,-0.05337531499999999,B
1240,2021-06-21 16:00:00,0.035,43.4,0.05284977,-0.017849769999999994,B
287,2021-05-12 23:00:00,0.025,49.1,0.020498265,0.004501735,B
396,2021-05-17 12:00:00,0.041,29.4,0.066990799,-0.025990799000000002,B
387,2021-05-17 03:00:00,0.02,47.7,0.035873299,-0.015873298999999997,B
1339,2021-06-25 19:00:00,0.024,46.2,0.030219286,-0.006219286000000001,B
577,2021-05-25 01:00:00,0.034,29.1,0.025940935,0.008059065000000004,B
1148,2021-06-17 20:00:00,0.038,39.9,0.039592372,-0.0015923720000000016,B
714,2021-05-30 18:00:00,0.059,15.6,0.090659303,-0.031659303,A
457,2021-05-20 01:00:00,0.032,20.4,0.025416327,0.006583673000000002,A
882,2021-06-06 18:00:00,0.055,25.0,0.08561102,-0.030611019999999996,A
639,2021-05-27 15:00:00,0.066,17.5,0.134119311,-0.06811931099999999,A
597,2021-05-25 21:00:00,0.044,21.4,0.045561735,-0.0015617350000000016,A
86,2021-05-04 14:00:00,0.079,14.6,0.110685417,-0.031685416999999994,A
523,2021-05-22 19:00:00,0.057,14.5,0.070774218,-0.013774217999999998,A
883,2021-06-06 19:00:00,0.048,23.4,0.05742591,-0.009425909999999996,A
452,2021-05-19 20:00:00,0.041,13.0,0.037268861,0.0037311390000000014,A
114,2021-05-05 18:00:00,0.049,16.9,0.092437823,-0.043437823,A
14,2021-05-01 14:00:00,0.024,21.4,0.047476947,-0.023476946999999998,A
931,2021-06-08 19:00:00,0.063,25.0,0.077351905,-0.014351904999999998,A
1002,2021-06-11 18:00:00,0.046,17.0,0.079501565,-0.033501565,A
496,2021-05-21 16:00:00,0.08,12.8,0.125557789,-0.045557789,A
20,2021-05-01 20:00:00,0.035,14.2,0.036533912,-0.0015339119999999984,A
644,2021-05-27 20:00:00,0.046,16.7,0.056891786,-0.010891786,A
901,2021-06-07 13:00:00,0.048,24.5,0.076572696,-0.028572695999999995,A
375,2021-05-16 15:00:00,0.041,19.4,0.071726675,-0.030726675000000002,A
666,2021-05-28 18:00:00,0.055,17.3,0.091281471,-0.036281471,A
111,2021-05-05 15:00:00,0.061,18.7,0.117561301,-0.05656130100000001,A
1230,2021-06-21 06:00:00,0.013,81.8,0.026827041,-0.013827041,D
1326,2021-06-25 06:00:00,0.003,91.0,0.003862568,-0.0008625679999999998,D
1252,2021-06-22 04:00:00,0.019,78.7,0.019896429,-0.0008964290000000007,D
1182,2021-06-19 06:00:00,0.011,84.9,0.015982815,-0.0049828150000000015,D
1049,2021-06-13 17:00:00,0.016,82.3,0.01044381,0.005556190000000001,D
