,datetime,O3_simaj,Temp Ext,O3_EcoMesure,residuals,Temp_Id
1104,2021-06-16 00:00:00,0.037,25.6,0.041203427,-0.004203427000000003,C
970,2021-06-10 10:00:00,0.031,25.0,0.044110145,-0.013110145000000004,C
235,2021-05-10 19:00:00,0.03,24.1,0.030736896,-0.0007368960000000008,C
140,2021-05-06 20:00:00,0.032,24.6,0.029333631,0.0026663690000000018,C
1171,2021-06-18 19:00:00,0.034,29.6,0.048328597,-0.014328596999999998,C
481,2021-05-21 01:00:00,0.035,22.8,0.038777177,-0.0037771769999999996,C
418,2021-05-18 10:00:00,0.029,25.1,0.041993486,-0.012993485999999995,C
724,2021-05-31 04:00:00,0.026,22.7,0.030005544,-0.004005544,C
1456,2021-06-30 16:00:00,0.086,28.2,0.087249218,-0.0012492180000000103,C
634,2021-05-27 10:00:00,0.038,27.2,0.054803929,-0.016803929000000002,C
395,2021-05-17 11:00:00,0.039,26.9,0.064063707,-0.025063706999999998,C
1360,2021-06-26 16:00:00,0.018,24.6,0.024358359,-0.006358359000000001,C
850,2021-06-05 10:00:00,0.031,23.7,0.04269523,-0.011695230000000001,C
287,2021-05-12 23:00:00,0.025,25.6,0.020498265,0.004501735,C
674,2021-05-29 02:00:00,0.024,22.9,0.021266259,0.0027337410000000013,C
483,2021-05-21 03:00:00,0.027,20.8,0.030991097,-0.003991096999999999,C
917,2021-06-08 05:00:00,0.021,23.1,0.04364585,-0.02264585,C
234,2021-05-10 18:00:00,0.035,26.8,0.03928324,-0.004283239999999994,C
45,2021-05-02 21:00:00,0.03,26.4,0.02176608,0.008233919999999999,C
1196,2021-06-19 20:00:00,0.006,21.4,0.009317185,-0.0033171850000000003,C
1422,2021-06-29 06:00:00,0.001,18.6,0.00332858,-0.00232858,B
1371,2021-06-27 03:00:00,0.008,17.7,0.003932075,0.004067925,B
789,2021-06-02 21:00:00,0.023,19.2,0.011853359,0.011146640999999999,B
1206,2021-06-20 06:00:00,0.009,19.9,0.030413912,-0.021413912,B
30,2021-05-02 06:00:00,0.026,17.0,0.016910068,0.009089931999999998,B
799,2021-06-03 07:00:00,0.017,19.4,0.025953929,-0.008953929,B
1326,2021-06-25 06:00:00,0.003,19.7,0.003862568,-0.0008625679999999998,B
57,2021-05-03 09:00:00,0.02,19.9,0.031596352,-0.011596352,B
78,2021-05-04 06:00:00,0.024,16.9,0.039213997,-0.015213997,B
1056,2021-06-14 00:00:00,0.014,19.2,0.028589328,-0.014589328,B
295,2021-05-13 07:00:00,0.022,19.5,0.010889957,0.011110042999999998,B
847,2021-06-05 07:00:00,0.011,19.9,0.044203614,-0.033203614000000006,B
1187,2021-06-19 11:00:00,0.007,20.0,0.008207704,-0.0012077039999999995,B
56,2021-05-03 08:00:00,0.021,17.2,0.033350706,-0.012350706,B
1275,2021-06-23 03:00:00,0.023,20.0,0.018019031,0.004980968999999998,B
820,2021-06-04 04:00:00,0.029,18.2,0.019835085,0.009164915000000003,B
294,2021-05-13 06:00:00,0.024,19.9,0.014671939,0.009328061,B
440,2021-05-19 08:00:00,0.009,19.6,0.017870468,-0.008870468000000001,B
1204,2021-06-20 04:00:00,0.012,19.7,0.026004966,-0.014004966,B
54,2021-05-03 06:00:00,0.016,16.2,0.034886386,-0.018886385999999998,B
663,2021-05-28 15:00:00,0.049,34.2,0.113904379,-0.064904379,D
637,2021-05-27 13:00:00,0.09,32.1,0.139486854,-0.049486854,D
282,2021-05-12 18:00:00,0.036,33.1,0.061949762,-0.025949762,D
279,2021-05-12 15:00:00,0.041,31.7,0.086012083,-0.045012083,D
1005,2021-06-11 21:00:00,0.025,30.2,0.035918563,-0.010918563,D
519,2021-05-22 15:00:00,0.055,32.5,0.089720264,-0.034720263999999994,D
616,2021-05-26 16:00:00,0.07,34.8,0.126021105,-0.05602110499999999,D
924,2021-06-08 12:00:00,0.054,30.6,0.100333571,-0.046333571,D
398,2021-05-17 14:00:00,0.044,30.3,0.073363741,-0.029363741,D
475,2021-05-20 19:00:00,0.059,31.0,0.073800034,-0.014800034000000004,D
472,2021-05-20 16:00:00,0.079,31.3,0.113776063,-0.034776062999999996,D
183,2021-05-08 15:00:00,0.059,31.1,0.101764677,-0.042764677,D
903,2021-06-07 15:00:00,0.051,33.2,0.07511426,-0.024114260000000005,D
640,2021-05-27 16:00:00,0.061,35.5,0.110281794,-0.049281794000000004,D
87,2021-05-04 15:00:00,0.074,30.4,0.110407015,-0.036407015,D
164,2021-05-07 20:00:00,0.044,31.5,0.057855434,-0.013855434,D
664,2021-05-28 16:00:00,0.046,35.1,0.099221956,-0.053221956,D
115,2021-05-05 19:00:00,0.042,32.7,0.078941156,-0.036941155999999996,D
399,2021-05-17 15:00:00,0.047,31.3,0.065225697,-0.018225697,D
232,2021-05-10 16:00:00,0.047,30.8,0.078796224,-0.031796224,D
