,datetime,PM10_simaj,RH,PM10_EcoMesure,residuals,RH_Id
296,2021-05-13 08:00:00,7.5,70.6,33.22336667,-25.723366669999997,C
1076,2021-06-14 20:00:00,10.4,60.0,19.61918333,-9.219183329999998,C
483,2021-05-21 03:00:00,41.4,54.2,78.02373333,-36.62373333,C
359,2021-05-15 23:00:00,26.9,58.6,97.48336667,-70.58336667,C
804,2021-06-03 12:00:00,10.3,60.5,39.79721667,-29.497216669999997,C
1361,2021-06-26 17:00:00,10.8,58.3,25.76753333,-14.967533329999998,C
408,2021-05-18 00:00:00,31.6,55.4,74.38406667,-42.784066669999994,C
250,2021-05-11 10:00:00,41.2,56.7,150.9685167,-109.7685167,C
266,2021-05-12 02:00:00,27.9,62.6,85.23515,-57.335150000000006,C
270,2021-05-12 06:00:00,23.2,65.5,91.92665,-68.72664999999999,C
411,2021-05-18 03:00:00,19.7,50.1,50.38186667,-30.68186667,C
817,2021-06-04 01:00:00,20.3,69.8,74.9329,-54.63290000000001,C
1432,2021-06-29 16:00:00,4.9,72.7,23.96546667,-19.06546667,C
80,2021-05-04 08:00:00,41.0,54.4,107.8047667,-66.8047667,C
863,2021-06-05 23:00:00,25.3,56.8,58.6753,-33.375299999999996,C
103,2021-05-05 07:00:00,46.5,58.5,106.1262333,-59.626233299999996,C
1417,2021-06-29 01:00:00,8.0,70.8,13.55455,-5.554550000000001,C
216,2021-05-10 00:00:00,40.8,59.5,124.0464,-83.24640000000001,C
0,2021-05-01 00:00:00,31.6,54.0,83.14563333,-51.545633329999994,C
1365,2021-06-26 21:00:00,8.9,65.4,13.82308333,-4.923083329999999,C
504,2021-05-22 00:00:00,55.3,37.9,161.4671667,-106.16716670000001,B
1164,2021-06-18 12:00:00,13.0,41.9,10.00741667,2.9925833300000004,B
717,2021-05-30 21:00:00,112.2,30.6,304.9514333,-192.75143330000003,B
909,2021-06-07 21:00:00,23.3,33.2,69.95033333,-46.65033333000001,B
106,2021-05-05 10:00:00,59.7,43.3,107.1833833,-47.4833833,B
32,2021-05-02 08:00:00,7.4,41.5,23.97081667,-16.57081667,B
610,2021-05-26 10:00:00,71.0,32.5,186.7205833,-115.72058329999999,B
558,2021-05-24 06:00:00,19.9,48.0,43.30635,-23.406350000000003,B
276,2021-05-12 12:00:00,45.6,36.9,142.6219667,-97.02196670000001,B
554,2021-05-24 02:00:00,42.7,39.7,90.50165,-47.801649999999995,B
1241,2021-06-21 17:00:00,13.0,40.1,33.04241667,-20.04241667,B
482,2021-05-21 02:00:00,38.5,49.0,101.4756667,-62.975666700000005,B
925,2021-06-08 13:00:00,29.3,26.1,51.14368333,-21.84368333,B
605,2021-05-26 05:00:00,48.6,36.8,154.0900526,-105.49005260000001,B
1146,2021-06-17 18:00:00,25.1,29.6,39.12408333,-14.024083329999996,B
11,2021-05-01 11:00:00,6.4,26.1,40.02803333,-33.62803333,B
305,2021-05-13 17:00:00,23.4,33.8,41.16721667,-17.767216670000003,B
1133,2021-06-17 05:00:00,7.4,49.8,19.1027,-11.702699999999998,B
625,2021-05-27 01:00:00,60.4,27.5,214.6235,-154.2235,B
608,2021-05-26 08:00:00,56.2,38.4,130.9407167,-74.7407167,B
544,2021-05-23 16:00:00,30.1,10.8,66.00105,-35.901050000000005,A
472,2021-05-20 16:00:00,37.8,12.0,74.08525,-36.285250000000005,A
542,2021-05-23 14:00:00,29.8,11.3,61.79293333,-31.992933329999996,A
621,2021-05-26 21:00:00,66.9,21.9,153.1049833,-86.20498329999998,A
738,2021-05-31 18:00:00,53.3,19.5,205.97955,-152.67955,A
161,2021-05-07 17:00:00,30.8,17.8,59.00268333,-28.202683330000003,A
456,2021-05-20 00:00:00,11.8,18.5,28.95688333,-17.15688333,A
999,2021-06-11 15:00:00,17.1,15.5,17.83795,-0.7379499999999979,A
1001,2021-06-11 17:00:00,11.9,16.4,18.15753333,-6.257533329999999,A
547,2021-05-23 19:00:00,36.9,10.2,134.32575,-97.42575,A
612,2021-05-26 12:00:00,68.1,23.0,150.3333,-82.23330000000001,A
47,2021-05-02 23:00:00,23.9,21.3,58.72601667,-34.82601667,A
66,2021-05-03 18:00:00,37.1,4.1,120.2913,-83.19130000000001,A
22,2021-05-01 22:00:00,24.5,23.5,58.36455,-33.86455,A
422,2021-05-18 14:00:00,13.8,7.9,37.1808,-23.380799999999997,A
44,2021-05-02 20:00:00,27.7,8.4,73.02246667,-45.32246667,A
376,2021-05-16 16:00:00,7.6,17.3,27.56741667,-19.96741667,A
39,2021-05-02 15:00:00,12.5,6.2,21.81555,-9.315550000000002,A
90,2021-05-04 18:00:00,29.9,5.5,36.65046667,-6.750466670000002,A
515,2021-05-22 11:00:00,49.0,23.6,116.4617667,-67.4617667,A
1401,2021-06-28 09:00:00,7.6,78.5,15.6785,-8.0785,D
1057,2021-06-14 01:00:00,5.5,92.0,14.59225,-9.09225,D
1257,2021-06-22 09:00:00,25.6,83.1,56.39956667,-30.799566669999997,D
1107,2021-06-16 03:00:00,19.4,79.1,41.0809,-21.6809,D
1226,2021-06-21 02:00:00,8.1,77.7,23.54041667,-15.44041667,D
1056,2021-06-14 00:00:00,15.0,89.1,14.6494,0.3506,D
1251,2021-06-22 03:00:00,13.6,79.3,25.86305,-12.263050000000002,D
1260,2021-06-22 12:00:00,23.3,84.1,87.53078333,-64.23078333000001,D
1299,2021-06-24 03:00:00,22.8,93.5,133.5694667,-110.7694667,D
1368,2021-06-27 00:00:00,4.4,77.5,12.14775,-7.74775,D
1388,2021-06-27 20:00:00,7.5,78.9,23.21146667,-15.71146667,D
1031,2021-06-12 23:00:00,12.9,85.1,50.91601667,-38.01601667,D
1200,2021-06-20 00:00:00,11.5,79.7,6.283783333,5.216216667,D
1422,2021-06-29 06:00:00,16.3,82.7,72.0011,-55.7011,D
1034,2021-06-13 02:00:00,14.3,92.2,114.8726833,-100.57268330000001,D
1036,2021-06-13 04:00:00,13.1,89.7,84.28261667,-71.18261667,D
791,2021-06-02 23:00:00,16.8,82.3,137.8911667,-121.09116670000002,D
872,2021-06-06 08:00:00,21.7,77.4,102.9190333,-81.21903329999999,D
1202,2021-06-20 02:00:00,4.5,81.4,3.400233333,1.099766667,D
1189,2021-06-19 13:00:00,12.4,89.7,52.07443333,-39.67443333,D
