,datetime,PM10_simaj,Temp Ext,PM10_EcoMesure,residuals,Temp_Id
510,2021-05-22 06:00:00,41.1,20.8,115.13165,-74.03164999999998,C
1300,2021-06-24 04:00:00,24.2,20.1,159.26105,-135.06105000000002,C
1281,2021-06-23 09:00:00,18.8,21.3,41.76811667,-22.968116669999997,C
236,2021-05-10 20:00:00,37.3,21.8,111.43905,-74.13905,C
770,2021-06-02 02:00:00,34.0,23.2,120.0560667,-86.0560667,C
1201,2021-06-20 01:00:00,11.2,20.5,5.681066667,5.518933333,C
357,2021-05-15 21:00:00,36.3,25.9,90.82308333,-54.523083330000006,C
843,2021-06-05 03:00:00,14.1,20.8,101.40555,-87.30555000000001,C
480,2021-05-21 00:00:00,38.5,24.5,105.1325667,-66.6325667,C
1133,2021-06-17 05:00:00,7.4,22.1,19.1027,-11.702699999999998,C
167,2021-05-07 23:00:00,110.4,26.1,328.1608,-217.7608,C
728,2021-05-31 08:00:00,41.9,21.9,127.9686833,-86.0686833,C
1124,2021-06-16 20:00:00,16.1,28.2,26.49303333,-10.393033329999998,C
1015,2021-06-12 07:00:00,33.9,21.9,143.8576,-109.95759999999999,C
261,2021-05-11 21:00:00,20.8,25.4,112.5026667,-91.70266670000001,C
1457,2021-06-30 17:00:00,22.3,28.7,57.02375,-34.723749999999995,C
779,2021-06-02 11:00:00,17.2,23.6,51.6753,-34.475300000000004,C
287,2021-05-12 23:00:00,37.7,25.6,108.2298,-70.5298,C
585,2021-05-25 09:00:00,73.0,24.0,187.1725581,-114.1725581,C
228,2021-05-10 12:00:00,34.4,25.1,100.4238667,-66.02386670000001,C
1057,2021-06-14 01:00:00,5.5,19.4,14.59225,-9.09225,B
1304,2021-06-24 08:00:00,27.1,20.0,199.26035,-172.16035,B
294,2021-05-13 06:00:00,8.1,19.9,25.16078333,-17.06078333,B
414,2021-05-18 06:00:00,17.7,19.0,25.57395,-7.873950000000001,B
1081,2021-06-15 01:00:00,5.3,19.9,35.48211667,-30.182116670000003,B
1058,2021-06-14 02:00:00,4.6,19.6,21.92015,-17.320149999999998,B
1206,2021-06-20 06:00:00,7.9,19.9,32.55343333,-24.65343333,B
412,2021-05-18 04:00:00,13.2,19.6,32.44551667,-19.245516670000004,B
1423,2021-06-29 07:00:00,17.5,18.6,70.53396667,-53.03396667,B
30,2021-05-02 06:00:00,9.4,17.0,28.71951667,-19.31951667,B
1085,2021-06-15 05:00:00,6.3,19.8,19.23195,-12.93195,B
29,2021-05-02 05:00:00,8.8,17.6,32.40021667,-23.60021667,B
1447,2021-06-30 07:00:00,13.2,20.0,10.14455,3.0554499999999987,B
462,2021-05-20 06:00:00,15.9,18.6,32.8543,-16.954300000000003,B
1349,2021-06-26 05:00:00,6.3,18.4,21.35441667,-15.054416669999998,B
1036,2021-06-13 04:00:00,13.1,19.4,84.28261667,-71.18261667,B
245,2021-05-11 05:00:00,19.7,20.0,52.6771,-32.97710000000001,B
1303,2021-06-24 07:00:00,24.7,19.7,130.7649333,-106.06493329999999,B
1419,2021-06-29 03:00:00,13.7,20.0,30.17046667,-16.47046667,B
56,2021-05-03 08:00:00,44.7,17.2,91.61816667,-46.91816666999999,B
642,2021-05-27 18:00:00,38.8,35.7,103.2211833,-64.42118330000001,D
39,2021-05-02 15:00:00,12.5,31.1,21.81555,-9.315550000000002,D
280,2021-05-12 16:00:00,27.3,32.8,61.21981667,-33.91981667,D
1095,2021-06-15 15:00:00,10.3,30.1,32.7838,-22.4838,D
401,2021-05-17 17:00:00,29.3,33.0,50.07875,-20.77875,D
932,2021-06-08 20:00:00,55.4,31.2,118.1010667,-62.701066700000005,D
907,2021-06-07 19:00:00,19.7,33.5,49.68281667,-29.982816670000002,D
569,2021-05-24 17:00:00,40.1,33.6,72.19889831,-32.09889831,D
904,2021-06-07 16:00:00,12.3,33.7,35.86945,-23.56945,D
255,2021-05-11 15:00:00,32.8,30.4,105.5717,-72.77170000000001,D
15,2021-05-01 15:00:00,25.6,30.5,50.98271667,-25.38271667,D
542,2021-05-23 14:00:00,29.8,32.5,61.79293333,-31.992933329999996,D
210,2021-05-09 18:00:00,15.6,32.0,82.30421667,-66.70421667000001,D
687,2021-05-29 15:00:00,30.6,33.4,71.14071667,-40.54071667,D
665,2021-05-28 17:00:00,36.3,35.2,97.74725,-61.44725,D
953,2021-06-09 17:00:00,30.8,34.6,66.30571667,-35.50571667,D
641,2021-05-27 17:00:00,39.0,35.6,101.5275667,-62.527566699999994,D
283,2021-05-12 19:00:00,13.6,32.3,62.94063333,-49.340633329999996,D
91,2021-05-04 19:00:00,17.1,30.8,25.46598333,-8.365983329999999,D
1005,2021-06-11 21:00:00,36.4,30.2,51.94391667,-15.543916670000002,D
