,datetime,NO2_simaj,RH,NO2_eLichens,residuals,RH_Id
1152,2021-06-18 00:00:00,0.01,52.5,0.035874043,-0.025874043,C
887,2021-06-06 23:00:00,0.013,72.5,0.056042943,-0.043042943,C
76,2021-05-04 04:00:00,0.015,53.9,0.048656738,-0.033656738,C
1332,2021-06-25 12:00:00,0.012,52.0,0.051752527,-0.039752526999999996,C
364,2021-05-16 04:00:00,0.009,59.7,0.029808927,-0.020808926999999998,C
678,2021-05-29 06:00:00,0.013,58.9,0.035479007,-0.022479007000000002,C
273,2021-05-12 09:00:00,0.02,59.9,0.031234743,-0.011234742999999998,C
1266,2021-06-22 18:00:00,0.028,53.0,0.058235807,-0.030235807,C
1314,2021-06-24 18:00:00,0.018,53.4,0.067168005,-0.049168005,C
216,2021-05-10 00:00:00,0.009,59.5,0.038772996,-0.029772995999999996,C
965,2021-06-10 05:00:00,0.011,70.1,0.039345878,-0.028345878,C
368,2021-05-16 08:00:00,0.006,61.4,0.030393218,-0.024393218,C
780,2021-06-02 12:00:00,0.019,54.4,0.038375337,-0.019375337000000003,C
873,2021-06-06 09:00:00,0.034,70.2,0.037288626,-0.003288625999999996,C
913,2021-06-08 01:00:00,0.01,59.8,0.041928892,-0.031928892,C
1221,2021-06-20 21:00:00,0.012,68.1,0.046429317,-0.034429317,C
1268,2021-06-22 20:00:00,0.028,57.3,0.049022358,-0.021022358,C
1417,2021-06-29 01:00:00,0.007,70.8,0.033203848,-0.026203848000000002,C
176,2021-05-08 08:00:00,0.028,62.0,0.041753741,-0.013753740999999996,C
560,2021-05-24 08:00:00,0.013,52.7,0.043286126,-0.030286126000000003,C
254,2021-05-11 14:00:00,0.013,39.5,0.055477465,-0.042477465,B
33,2021-05-02 09:00:00,0.013,35.7,0.020660851,-0.0076608510000000015,B
283,2021-05-12 19:00:00,0.01,25.7,0.055230683,-0.045230683,B
719,2021-05-30 23:00:00,0.009,35.4,0.046924096,-0.037924096,B
97,2021-05-05 01:00:00,0.009,39.9,0.048090301,-0.039090301,B
734,2021-05-31 14:00:00,0.015,29.3,0.078949787,-0.063949787,B
