,datetime,NO2_simaj,Temp Ext,NO2_eLichens,residuals,Temp_Id
675,2021-05-29 03:00:00,0.011,22.5,0.041956285,-0.030956285000000004,C
453,2021-05-19 21:00:00,0.013,25.5,0.036179778,-0.023179778000000005,C
456,2021-05-20 00:00:00,0.021,23.2,0.034158883,-0.013158883,C
549,2021-05-23 21:00:00,0.019,28.6,0.056149486,-0.037149485999999995,C
1246,2021-06-21 22:00:00,0.01,25.5,0.047807012,-0.037807012,C
1354,2021-06-26 10:00:00,0.012,22.6,0.024585426,-0.012585426,C
455,2021-05-19 23:00:00,0.016,23.8,0.037104353,-0.021104353,C
459,2021-05-20 03:00:00,0.018,20.5,0.035549947,-0.017549947,C
1014,2021-06-12 06:00:00,0.017,21.6,0.036139539,-0.019139538999999997,C
1041,2021-06-13 09:00:00,0.013,21.7,0.02901578,-0.01601578,C
330,2021-05-14 18:00:00,0.016,30.0,0.071052092,-0.055052092,C
725,2021-05-31 05:00:00,0.012,22.1,0.037618652,-0.025618652000000002,C
936,2021-06-09 00:00:00,0.007,25.4,0.03872617,-0.03172617,C
1,2021-05-01 01:00:00,0.011,22.7,0.042263245,-0.031263244999999995,C
251,2021-05-11 11:00:00,0.025,26.0,0.039850257,-0.014850256999999999,C
249,2021-05-11 09:00:00,0.042,22.7,0.038379849,0.003620151000000002,C
965,2021-06-10 05:00:00,0.011,23.3,0.039345878,-0.028345878,C
597,2021-05-25 21:00:00,0.01,28.8,0.04801242,-0.03801242,C
837,2021-06-04 21:00:00,0.023,25.4,0.046652261,-0.023652261,C
898,2021-06-07 10:00:00,0.015,25.2,0.023336862,-0.008336862,C
1181,2021-06-19 05:00:00,0.007,20.0,0.036500452,-0.029500452000000003,B
57,2021-05-03 09:00:00,0.049,19.9,0.035987952,0.013012048000000005,B
1035,2021-06-13 03:00:00,0.009,19.3,0.033718262,-0.024718261999999998,B
789,2021-06-02 21:00:00,0.015,19.2,0.065633644,-0.050633644000000005,B
55,2021-05-03 07:00:00,0.046,15.5,0.04895258,-0.0029525800000000033,B
438,2021-05-19 06:00:00,0.032,19.1,0.036091755,-0.0040917550000000025,B
461,2021-05-20 05:00:00,0.032,19.0,0.042014379,-0.010014378999999997,B
1420,2021-06-29 04:00:00,0.013,19.9,0.030711658,-0.017711657999999998,B
1057,2021-06-14 01:00:00,0.012,19.4,0.034017952,-0.022017951999999997,B
1036,2021-06-13 04:00:00,0.008,19.4,0.034585931,-0.026585931,B
1059,2021-06-14 03:00:00,0.009,19.6,0.031337926,-0.022337926,B
414,2021-05-18 06:00:00,0.022,19.0,0.037892996,-0.015892996,B
440,2021-05-19 08:00:00,0.036,19.6,0.048517544,-0.012517544000000005,B
823,2021-06-04 07:00:00,0.016,17.5,0.035054176,-0.019054176,B
795,2021-06-03 03:00:00,0.01,18.8,0.033251968,-0.023251967999999998,B
1326,2021-06-25 06:00:00,0.03,19.7,0.043294131,-0.013294131,B
1352,2021-06-26 08:00:00,0.02,19.2,0.039455098,-0.019455098,B
101,2021-05-05 05:00:00,0.013,19.1,0.039978954,-0.026978954,B
794,2021-06-03 02:00:00,0.008,18.7,0.033086365,-0.025086365,B
33,2021-05-02 09:00:00,0.013,19.6,0.020660851,-0.0076608510000000015,B
89,2021-05-04 17:00:00,0.008,31.9,0.058106348,-0.050106348,D
17,2021-05-01 17:00:00,0.004,31.5,0.035480771,-0.031480771000000005,D
64,2021-05-03 16:00:00,0.005,31.1,0.030911206,-0.025911206,D
879,2021-06-06 15:00:00,0.012,32.0,0.089971215,-0.077971215,D
1097,2021-06-15 17:00:00,0.008,32.1,0.076026596,-0.068026596,D
114,2021-05-05 18:00:00,0.01,33.0,0.073080062,-0.063080062,D
1118,2021-06-16 14:00:00,0.007,30.4,0.066669309,-0.059669309,D
116,2021-05-05 20:00:00,0.027,31.6,0.057556223,-0.030556222999999997,D
402,2021-05-17 18:00:00,0.007,32.7,0.039084176,-0.032084176,D
1170,2021-06-18 18:00:00,0.01,30.5,0.056623608,-0.046623608,D
497,2021-05-21 17:00:00,0.009,32.6,0.076390895,-0.067390895,D
208,2021-05-09 16:00:00,0.006,32.0,0.074373936,-0.068373936,D
593,2021-05-25 17:00:00,0.008,34.3,0.080777867,-0.072777867,D
279,2021-05-12 15:00:00,0.008,31.7,0.05837453,-0.05037453,D
952,2021-06-09 16:00:00,0.009,33.8,0.112143262,-0.103143262,D
639,2021-05-27 15:00:00,0.008,34.5,0.107323564,-0.099323564,D
1095,2021-06-15 15:00:00,0.007,30.1,0.070770399,-0.06377039899999999,D
1100,2021-06-15 20:00:00,0.02,31.4,0.05370578,-0.033705780000000005,D
519,2021-05-22 15:00:00,0.006,32.5,0.067062314,-0.061062314,D
955,2021-06-09 19:00:00,0.016,35.1,0.063047314,-0.04704731399999999,D
