,datetime,PM10_simaj,RH,PM10_eLichens,residuals,RH_Id
559,2021-05-24 07:00:00,29.2,51.9,41.63755,-12.437549999999998,C
269,2021-05-12 05:00:00,22.6,64.5,104.5574333,-81.95743329999999,C
1017,2021-06-12 09:00:00,30.2,52.9,49.22753333,-19.02753333,C
1402,2021-06-28 10:00:00,14.1,73.6,25.65793333,-11.55793333,C
152,2021-05-07 08:00:00,36.8,53.7,137.1597167,-100.35971669999999,C
969,2021-06-10 09:00:00,44.6,70.7,148.3463333,-103.7463333,C
993,2021-06-11 09:00:00,59.1,69.0,232.1456333,-173.0456333,C
811,2021-06-03 19:00:00,17.4,67.5,87.06906667,-69.66906667,C
1016,2021-06-12 08:00:00,36.0,62.5,96.58465,-60.584649999999996,C
264,2021-05-12 00:00:00,30.9,59.1,97.94063333,-67.04063332999999,C
227,2021-05-10 11:00:00,45.0,52.2,114.2708167,-69.2708167,C
357,2021-05-15 21:00:00,36.3,51.9,90.82308333,-54.523083330000006,C
1387,2021-06-27 19:00:00,10.9,74.2,23.01943333,-12.119433329999998,C
221,2021-05-10 05:00:00,19.5,69.7,115.1456,-95.6456,C
970,2021-06-10 10:00:00,45.7,64.5,144.69795,-98.99794999999999,C
1263,2021-06-22 15:00:00,15.4,67.7,156.7044333,-141.3044333,C
983,2021-06-10 23:00:00,43.4,58.0,205.3850333,-161.9850333,C
966,2021-06-10 06:00:00,34.5,73.2,139.44545,-104.94545,C
1245,2021-06-21 21:00:00,16.2,50.6,50.47896667,-34.27896667,C
1355,2021-06-26 11:00:00,15.9,55.0,41.91371667,-26.01371667,C
31,2021-05-02 07:00:00,10.5,46.9,28.28586667,-17.78586667,B
464,2021-05-20 08:00:00,35.5,37.4,74.54263333,-39.04263333,B
1336,2021-06-25 16:00:00,9.9,37.1,17.2449,-7.344900000000001,B
1021,2021-06-12 13:00:00,10.1,32.5,22.05713333,-11.95713333,B
708,2021-05-30 12:00:00,62.3,31.5,145.4811167,-83.1811167,B
564,2021-05-24 12:00:00,40.9,32.4,74.89111667,-33.991116670000004,B
514,2021-05-22 10:00:00,62.0,28.0,140.7012,-78.7012,B
207,2021-05-09 15:00:00,19.3,28.0,71.68891667,-52.38891667,B
948,2021-06-09 12:00:00,41.0,48.7,122.0216167,-81.0216167,B
70,2021-05-03 22:00:00,52.2,25.6,136.89545,-84.69545000000001,B
1359,2021-06-26 15:00:00,6.3,41.8,17.40668333,-11.10668333,B
1148,2021-06-17 20:00:00,26.1,39.9,42.1143,-16.0143,B
278,2021-05-12 14:00:00,36.8,34.7,107.1916,-70.3916,B
261,2021-05-11 21:00:00,20.8,47.7,112.5026667,-91.70266670000001,B
923,2021-06-08 11:00:00,35.6,36.0,65.36078333,-29.760783330000002,B
135,2021-05-06 15:00:00,41.8,26.0,117.9309667,-76.1309667,B
743,2021-05-31 23:00:00,62.4,46.5,165.7378667,-103.3378667,B
329,2021-05-14 17:00:00,36.1,33.9,39.57058333,-3.4705833299999966,B
699,2021-05-30 03:00:00,52.6,43.9,188.63535,-136.03535,B
1155,2021-06-18 03:00:00,3.4,50.0,11.88351667,-8.48351667,B
592,2021-05-25 16:00:00,40.4,14.5,83.93927273,-43.53927273,A
475,2021-05-20 19:00:00,39.4,12.2,71.50376667,-32.103766670000006,A
688,2021-05-29 16:00:00,30.7,18.1,96.80741667,-66.10741666999999,A
905,2021-06-07 17:00:00,15.5,18.0,29.72586667,-14.225866669999998,A
614,2021-05-26 14:00:00,49.1,18.3,108.2793833,-59.179383300000005,A
1003,2021-06-11 19:00:00,15.3,17.6,17.1597,-1.8597000000000001,A
428,2021-05-18 20:00:00,35.1,12.8,69.54151667,-34.44151666999999,A
93,2021-05-04 21:00:00,25.5,9.1,44.82098333,-19.320983329999997,A
928,2021-06-08 16:00:00,24.3,19.8,47.65251667,-23.352516669999996,A
566,2021-05-24 14:00:00,39.8,24.4,66.62806667,-26.82806667,A
116,2021-05-05 20:00:00,54.3,19.0,137.2783,-82.9783,A
66,2021-05-03 18:00:00,37.1,4.1,120.2913,-83.19130000000001,A
41,2021-05-02 17:00:00,19.4,5.6,33.43146667,-14.03146667,A
452,2021-05-19 20:00:00,33.6,13.0,47.28615,-13.686149999999998,A
544,2021-05-23 16:00:00,30.1,10.8,66.00105,-35.901050000000005,A
458,2021-05-20 02:00:00,11.1,23.8,20.16825,-9.06825,A
402,2021-05-17 18:00:00,22.7,15.0,47.39593333,-24.69593333,A
954,2021-06-09 18:00:00,34.8,18.3,213.1081,-178.30810000000002,A
451,2021-05-19 19:00:00,22.5,10.6,46.25521667,-23.755216670000003,A
500,2021-05-21 20:00:00,44.9,12.7,87.47248333,-42.572483330000004,A
244,2021-05-11 04:00:00,33.7,76.6,78.00463333,-44.30463333,D
1448,2021-06-30 08:00:00,11.3,77.5,11.56526667,-0.26526666999999904,D
1086,2021-06-15 06:00:00,5.8,90.3,20.77235,-14.972349999999999,D
1233,2021-06-21 09:00:00,17.9,80.3,43.91148333,-26.011483330000004,D
1272,2021-06-23 00:00:00,13.8,81.4,21.15748333,-7.357483330000001,D
1187,2021-06-19 11:00:00,7.3,87.7,42.26103333,-34.96103333,D
1259,2021-06-22 11:00:00,23.2,81.3,62.95793333,-39.75793333,D
846,2021-06-05 06:00:00,18.9,83.2,95.56096667,-76.66096667,D
1277,2021-06-23 05:00:00,4.8,82.8,23.51241667,-18.71241667,D
1189,2021-06-19 13:00:00,12.4,89.7,52.07443333,-39.67443333,D
1300,2021-06-24 04:00:00,24.2,91.4,159.26105,-135.06105000000002,D
774,2021-06-02 06:00:00,17.6,79.0,68.58251667,-50.98251667,D
1322,2021-06-25 02:00:00,9.7,88.6,35.1165,-25.416500000000003,D
1201,2021-06-20 01:00:00,11.2,81.7,5.681066667,5.518933333,D
1250,2021-06-22 02:00:00,14.0,76.0,41.19633333,-27.19633333,D
1055,2021-06-13 23:00:00,13.6,89.8,53.06906667,-39.46906667,D
1204,2021-06-20 04:00:00,1.7,87.4,3.00325,-1.30325,D
1391,2021-06-27 23:00:00,5.8,81.4,11.33545,-5.53545,D
1293,2021-06-23 21:00:00,14.3,83.4,29.69141667,-15.391416669999998,D
1227,2021-06-21 03:00:00,7.8,79.6,18.0378,-10.2378,D
